778.0,1092.0,1365.0,1602.0,1809.0,15.0,19.0
999.0,1398.0,1748.0,2058.0,2338.0,20.0,19.0
90.0,90.0,NaN,NaN,NaN,2.0,20.0
260.0,343.0,398.0,425.0,425.0,5.0,20.0
528.0,733.0,905.0,1046.0,1159.0,10.0,20.0
753.0,1042.0,1282.0,1481.0,1644.0,15.0,20.0
985.0,1363.0,1680.0,1944.0,2165.0,20.0,20.0
90.0,90.0,NaN,NaN,NaN,2.0,21.0
265.0,352.0,409.0,438.0,438.0,5.0,21.0
529.0,736.0,911.0,1057.0,1175.0,10.0,21.0
749.0,1039.0,1287.0,1500.0,1684.0,15.0,21.0
992.0,1383.0,1722.0,2018.0,2280.0,20.0,21.0
90.0,90.0,NaN,NaN,NaN,2.0,22.0
262.0,347.0,403.0,431.0,431.0,5.0,22.0
534.0,744.0,920.0,1066.0,1185.0,10.0,22.0
779.0,1090.0,1358.0,1587.0,1782.0,15.0,22.0
993.0,1376.0,1698.0,1967.0,2190.0,20.0,22.0
90.0,90.0,NaN,NaN,NaN,2.0,23.0
262.0,347.0,403.0,431.0,431.0,5.0,23.0
508.0,698.0,851.0,974.0,1070.0,10.0,23.0
772.0,1078.0,1340.0,1565.0,1757.0,15.0,23.0
1019.0,1431.0,1793.0,2113.0,2397.0,20.0,23.0
90.0,90.0,NaN,NaN,NaN,2.0,24.0
262.0,347.0,403.0,431.0,431.0,5.0,24.0
526.0,731.0,904.0,1047.0,1162.0,10.0,24.0
780.0,1099.0,1380.0,1630.0,1852.0,15.0,24.0
993.0,1382.0,1714.0,2000.0,2247.0,20.0,24.0
90.0,90.0,NaN,NaN,NaN,2.0,25.0
265.0,352.0,409.0,438.0,438.0,5.0,25.0
520.0,718.0,882.0,1015.0,1121.0,10.0,25.0
770.0,1071.0,1325.0,1538.0,1714.0,15.0,25.0
1017.0,1419.0,1761.0,2049.0,2291.0,20.0,25.0
88.0,88.0,NaN,NaN,NaN,2.0,26.0
265.0,352.0,409.0,438.0,438.0,5.0,26.0
531.0,738.0,913.0,1056.0,1172.0,10.0,26.0
772.0,1078.0,1340.0,1565.0,1757.0,15.0,26.0
995.0,1384.0,1715.0,1997.0,2239.0,20.0,26.0
86.0,86.0,NaN,NaN,NaN,2.0,27.0
265.0,352.0,409.0,438.0,438.0,5.0,27.0
529.0,736.0,911.0,1057.0,1175.0,10.0,27.0
789.0,1110.0,1391.0,1636.0,1849.0,15.0,27.0
1016.0,1425.0,1781.0,2090.0,2359.0,20.0,27.0
90.0,90.0,NaN,NaN,NaN,2.0,28.0
270.0,360.0,420.0,450.0,450.0,5.0,28.0
531.0,738.0,913.0,1056.0,1172.0,10.0,28.0
794.0,1117.0,1400.0,1646.0,1858.0,15.0,28.0
1013.0,1415.0,1760.0,2055.0,2307.0,20.0,28.0
90.0,90.0,NaN,NaN,NaN,2.0,29.0
265.0,352.0,409.0,438.0,438.0,5.0,29.0
528.0,733.0,905.0,1046.0,1159.0,10.0,29.0
767.0,1070.0,1331.0,1555.0,1748.0,15.0,29.0
993.0,1382.0,1714.0,2000.0,2247.0,20.0,29.0
90.0,90.0,NaN,NaN,NaN,2.0,30.0
262.0,347.0,403.0,431.0,431.0,5.0,30.0
520.0,718.0,882.0,1015.0,1121.0,10.0,30.0
747.0,1032.0,1272.0,1473.0,1641.0,15.0,30.0
990.0,1376.0,1705.0,1987.0,2231.0,20.0,30.0
90.0,90.0,NaN,NaN,NaN,2.0,31.0
265.0,352.0,409.0,438.0,438.0,5.0,31.0
531.0,738.0,913.0,1056.0,1172.0,10.0,31.0
775.0,1082.0,1342.0,1561.0,1745.0,15.0,31.0
993.0,1376.0,1698.0,1967.0,2190.0,20.0,31.0
90.0,90.0,NaN,NaN,NaN,2.0,32.0
260.0,343.0,398.0,425.0,425.0,5.0,32.0
521.0,724.0,895.0,1037.0,1153.0,10.0,32.0
766.0,1067.0,1323.0,1542.0,1727.0,15.0,32.0
1006.0,1402.0,1742.0,2032.0,2281.0,20.0,32.0
90.0,90.0,NaN,NaN,NaN,2.0,33.0
262.0,347.0,403.0,431.0,431.0,5.0,33.0
531.0,738.0,913.0,1056.0,1172.0,10.0,33.0
799.0,1128.0,1417.0,1669.0,1889.0,15.0,33.0
1016.0,1425.0,1781.0,2090.0,2359.0,20.0,33.0
90.0,90.0,NaN,NaN,NaN,2.0,34.0
262.0,347.0,403.0,431.0,431.0,5.0,34.0
