estimator,N_hat,T,alpha
Chao,516.3090636571475,5.0,10.0
Conway-Maxwell-Poisson,132249.92715663667,5.0,10.0
Huggins,252.42029970451495,5.0,10.0
Jackknife k = 1,7.950823348508745,5.0,10.0
Jackknife k = 2,12.780219989491505,5.0,10.0
Jackknife k = 3,16.53319408662307,5.0,10.0
Jackknife k = 4,18.543919092182744,5.0,10.0
Jackknife k = 5,18.543919092182744,5.0,10.0
Pseudolikelihood,331.2280840750063,5.0,10.0
Schnabel,332.5400198760048,5.0,10.0
Turing,342.85887380570097,5.0,10.0
Turing Geometric,856.2027591420809,5.0,10.0
Zelterman,519.2834846035447,5.0,10.0
Chao,143.29742362278057,10.0,10.0
Conway-Maxwell-Poisson,1452.6714190260225,10.0,10.0
Huggins,78.90259458206175,10.0,10.0
Jackknife k = 1,12.718481382888005,10.0,10.0
Jackknife k = 2,22.745612199081606,10.0,10.0
Jackknife k = 3,33.97877034817227,10.0,10.0
Jackknife k = 4,45.68077524117854,10.0,10.0
Jackknife k = 5,57.092070030756716,10.0,10.0
Pseudolikelihood,101.10240476950032,10.0,10.0
Schnabel,91.28251712100557,10.0,10.0
Turing,96.39252102979509,10.0,10.0
Turing Geometric,212.8660809553314,10.0,10.0
Zelterman,148.42000294350544,10.0,10.0
Chao,106.39858065514558,15.0,10.0
Conway-Maxwell-Poisson,459.9933519106875,15.0,10.0
Huggins,72.44945623031136,15.0,10.0
Jackknife k = 1,18.368673999823297,15.0,10.0
Jackknife k = 2,32.69836974720137,15.0,10.0
Jackknife k = 3,49.39651387886867,15.0,10.0
Jackknife k = 4,68.30794057012562,15.0,10.0
Jackknife k = 5,89.33999387514478,15.0,10.0
Pseudolikelihood,126.08321541813817,15.0,10.0
Schnabel,76.32377797979211,15.0,10.0
Turing,79.90635024283159,15.0,10.0
Turing Geometric,169.1754397943102,15.0,10.0
Zelterman,111.28671293954083,15.0,10.0
Chao,78.04307487216484,20.0,10.0
Conway-Maxwell-Poisson,290.70134563072634,20.0,10.0
Huggins,57.500829989054004,20.0,10.0
Jackknife k = 1,20.7932041333536,20.0,10.0
Jackknife k = 2,36.438304066647326,20.0,10.0
Jackknife k = 3,55.67057863967853,20.0,10.0
Jackknife k = 4,80.06331414031318,20.0,10.0
Jackknife k = 5,111.31865574374476,20.0,10.0
Pseudolikelihood,84.42763917420909,20.0,10.0
Schnabel,57.18299694308017,20.0,10.0
Turing,58.879462077471274,20.0,10.0
Turing Geometric,121.43994444707658,20.0,10.0
Zelterman,84.05084147759399,20.0,10.0
