estimator,N_hat,T,alpha
Chao,1141.0630763354293,5.0,5.0
Conway-Maxwell-Poisson,9095.387669768159,5.0,5.0
Huggins,781.5213237144553,5.0,5.0
Jackknife k = 1,252.06,5.0,5.0
Jackknife k = 2,327.828,5.0,5.0
Jackknife k = 3,376.3226666666667,5.0,5.0
Jackknife k = 4,400.0725,5.0,5.0
Jackknife k = 5,400.0725,5.0,5.0
Pseudolikelihood,942.1715937519709,5.0,5.0
Schnabel,914.0298025356996,5.0,5.0
Turing,931.8135837496048,5.0,5.0
Turing Geometric,2216.11695860446,5.0,5.0
Zelterman,1140.6328367569433,5.0,5.0
Chao,932.1407441249621,10.0,5.0
Conway-Maxwell-Poisson,1476.3872590978356,10.0,5.0
Huggins,840.0865609339779,10.0,5.0
Jackknife k = 1,459.269,10.0,5.0
Jackknife k = 2,608.7489999999999,10.0,5.0
Jackknife k = 3,721.3568333333334,10.0,5.0
Jackknife k = 4,805.6935476190476,10.0,5.0
Jackknife k = 5,868.157798611111,10.0,5.0
Pseudolikelihood,891.0023519418243,10.0,5.0
Schnabel,836.9717708701703,10.0,5.0
Turing,847.7117373767774,10.0,5.0
Turing Geometric,1709.6005225071196,10.0,5.0
Zelterman,932.6656859245841,10.0,5.0
Chao,941.4535689314002,15.0,5.0
Conway-Maxwell-Poisson,1312.144672360826,15.0,5.0
Huggins,926.0753475385205,15.0,5.0
Jackknife k = 1,621.4773333333333,15.0,5.0
Jackknife k = 2,808.3764761904763,15.0,5.0
Jackknife k = 3,942.2613992673993,15.0,5.0
Jackknife k = 4,1037.873536935287,15.0,5.0
Jackknife k = 5,1105.967318986569,15.0,5.0
Pseudolikelihood,957.2401869846939,15.0,5.0
Schnabel,856.0221018422941,15.0,5.0
Turing,872.363394069817,15.0,5.0
Turing Geometric,1635.8315648540538,15.0,5.0
Zelterman,945.2114949180194,15.0,5.0
Chao,941.5807255981767,20.0,5.0
Conway-Maxwell-Poisson,1198.8361507640557,20.0,5.0
Huggins,978.4578957416701,20.0,5.0
Jackknife k = 1,753.4084999999999,20.0,5.0
Jackknife k = 2,949.9310789473685,20.0,5.0
Jackknife k = 3,1075.7685087719299,20.0,5.0
Jackknife k = 4,1154.1282445820434,20.0,5.0
Jackknife k = 5,1201.097421729876,20.0,5.0
Pseudolikelihood,989.4560588059263,20.0,5.0
Schnabel,861.7045588383859,20.0,5.0
Turing,880.4684049431416,20.0,5.0
Turing Geometric,1559.2642016101156,20.0,5.0
Zelterman,948.7623070972747,20.0,5.0
