a_hat,N_hat,Nu_hat,No,trial,T,alpha,N,type
-999.0,466.6019287109375,258.6019287109375,208,1011,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,604.1413173675537,323.1413173675537,281,1011,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,731.4202308654785,401.4202308654785,330,1011,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,259.009033203125,153.009033203125,106,1012,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,428.6678466796875,212.6678466796875,216,1012,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,596.8037109375,308.8037109375,288,1012,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,735.6250686645508,388.6250686645508,347,1012,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,235.70335388183594,128.70335388183594,107,1013,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,407.4944305419922,202.4944305419922,205,1013,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,611.9114990234375,328.9114990234375,283,1013,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,709.848575592041,379.848575592041,330,1013,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,255.40576934814453,152.40576934814453,103,1014,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,391.6344909667969,187.63449096679688,204,1014,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,634.9288177490234,354.92881774902344,280,1014,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,669.002685546875,341.002685546875,328,1014,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,233.85223388671875,125.85223388671875,108,1015,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,407.43933868408203,196.43933868408203,211,1015,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,543.5122394561768,260.51223945617676,283,1015,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,629.0280609130859,301.02806091308594,328,1015,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,253.08761596679688,143.08761596679688,110,1016,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,389.2947463989258,176.29474639892578,213,1016,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,455.39093017578125,175.39093017578125,280,1016,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,649.6957244873047,321.6957244873047,328,1016,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,251.41239166259766,140.41239166259766,111,1017,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,403.0914611816406,191.09146118164062,212,1017,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,517.8440418243408,230.84404182434082,287,1017,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,639.5732364654541,296.5732364654541,343,1017,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,236.02011108398438,128.02011108398438,108,1018,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,429.5735092163086,216.5735092163086,213,1018,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,611.3613929748535,334.3613929748535,277,1018,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,721.0354804992676,396.0354804992676,325,1018,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,204.06875610351562,99.06875610351562,105,1019,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,401.12000274658203,202.12000274658203,199,1019,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,674.1593322753906,396.1593322753906,278,1019,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,658.4258460998535,323.4258460998535,335,1019,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,215.5352783203125,107.5352783203125,108,102,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,406.30047607421875,209.30047607421875,197,102,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,533.5915374755859,263.59153747558594,270,102,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,718.4369506835938,396.43695068359375,322,102,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,242.95985412597656,131.95985412597656,111,1020,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,342.6804962158203,128.6804962158203,214,1020,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,497.52405738830566,200.52405738830566,297,1020,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,688.4603500366211,338.4603500366211,350,1020,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,254.602783203125,142.602783203125,112,1021,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,382.8479995727539,171.8479995727539,211,1021,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,525.6568489074707,247.6568489074707,278,1021,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,627.0517578125,299.0517578125,328,1021,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,290.5509948730469,180.55099487304688,110,1022,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,520.2840957641602,319.28409576416016,201,1022,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,708.0893249511719,436.0893249511719,272,1022,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,810.3389892578125,493.3389892578125,317,1022,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,256.1365509033203,146.1365509033203,110,1023,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,422.8106689453125,218.8106689453125,204,1023,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,448.8791847229004,171.8791847229004,277,1023,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,625.928825378418,296.92882537841797,329,1023,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,248.78369140625,136.78369140625,112,1024,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,372.4599132537842,151.45991325378418,221,1024,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,532.4365348815918,254.4365348815918,278,1024,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,668.4884338378906,340.4884338378906,328,1024,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,254.3491439819336,141.3491439819336,113,1025,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,383.1799545288086,174.1799545288086,209,1025,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,542.7205505371094,258.7205505371094,284,1025,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,673.9688835144043,330.9688835144043,343,1025,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,231.5673828125,119.5673828125,112,1026,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,412.64060974121094,201.64060974121094,211,1026,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,604.9936218261719,332.9936218261719,272,1026,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,766.3750991821289,448.3750991821289,318,1026,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,265.73316955566406,147.73316955566406,118,1027,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,357.92887687683105,138.92887687683105,219,1027,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,457.3134174346924,168.31341743469238,289,1027,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,720.9833984375,392.9833984375,328,1027,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,244.99319458007812,136.99319458007812,108,1028,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,393.043701171875,185.043701171875,208,1028,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,610.7271194458008,328.7271194458008,282,1028,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,565.7799491882324,239.77994918823242,326,1028,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,232.38885498046875,124.38885498046875,108,1029,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,408.22802734375,202.22802734375,206,1029,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,526.8302154541016,246.83021545410156,280,1029,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,846.2832317352295,527.2832317352295,319,1029,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,243.24453735351562,141.24453735351562,102,103,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,461.58599853515625,260.58599853515625,201,103,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,659.4044799804688,385.40447998046875,274,103,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,824.7935905456543,505.7935905456543,319,103,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,242.7743911743164,131.7743911743164,111,1030,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,321.6127014160156,104.61270141601562,217,1030,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,614.0252285003662,325.0252285003662,289,1030,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,619.0933876037598,288.09338760375977,331,1030,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,250.22625732421875,142.22625732421875,108,1031,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,416.2797546386719,206.27975463867188,210,1031,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,465.25421142578125,190.25421142578125,275,1031,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,637.6640300750732,306.66403007507324,331,1031,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,262.1663360595703,145.1663360595703,117,1032,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,387.33721923828125,185.33721923828125,202,1032,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,493.8540267944336,227.8540267944336,266,1032,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,632.9541015625,312.9541015625,320,1032,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,248.75747680664062,137.75747680664062,111,1033,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,472.3287048339844,244.32870483398438,228,1033,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,629.8433303833008,329.8433303833008,300,1033,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,802.2942047119141,458.29420471191406,344,1033,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,287.70550537109375,181.70550537109375,106,1034,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,445.8194274902344,238.81942749023438,207,1034,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,526.7180633544922,246.7180633544922,280,1034,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,710.1164302825928,383.1164302825928,327,1034,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,222.3633041381836,111.3633041381836,111,1035,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,423.60767364501953,208.60767364501953,215,1035,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,560.8406448364258,270.8406448364258,290,1035,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,633.4400463104248,292.4400463104248,341,1035,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,257.4112854003906,141.41128540039062,116,1036,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,364.11297607421875,152.11297607421875,212,1036,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,530.2445678710938,258.24456787109375,272,1036,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,647.4460964202881,328.4460964202881,319,1036,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,243.87933349609375,139.87933349609375,104,1037,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,331.4873352050781,113.48733520507812,218,1037,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,508.59463691711426,229.59463691711426,279,1037,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,645.5765228271484,313.57652282714844,332,1037,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,248.61557006835938,143.61557006835938,105,1038,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,347.4464111328125,145.4464111328125,202,1038,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,552.6620483398438,272.66204833984375,280,1038,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,656.6286239624023,325.62862396240234,331,1038,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,236.57281494140625,125.57281494140625,111,1039,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,450.8357906341553,231.83579063415527,219,1039,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,594.8155269622803,313.8155269622803,281,1039,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,688.971134185791,365.971134185791,323,1039,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,217.7390899658203,115.73908996582031,102,104,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,411.324462890625,207.324462890625,204,104,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,632.6681518554688,352.66815185546875,280,104,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,726.3544845581055,394.35448455810547,332,104,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,252.8579864501953,141.8579864501953,111,1040,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,385.373779296875,174.373779296875,211,1040,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,525.9660339355469,253.96603393554688,272,1040,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,700.4117736816406,381.4117736816406,319,1040,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,229.7232666015625,125.7232666015625,104,1041,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,392.2736358642578,183.2736358642578,209,1041,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,465.7802276611328,187.7802276611328,278,1041,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,663.0450706481934,349.04507064819336,314,1041,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,256.3338317871094,139.33383178710938,117,1042,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,415.9694519042969,203.96945190429688,212,1042,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,571.0491905212402,285.04919052124023,286,1042,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,679.7972011566162,344.7972011566162,335,1042,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,260.8017578125,144.8017578125,116,1043,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,411.2681884765625,197.2681884765625,214,1043,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,526.937385559082,248.93738555908203,278,1043,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,676.3947296142578,341.3947296142578,335,1043,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,265.19773864746094,148.19773864746094,117,1044,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,344.5183753967285,119.51837539672852,225,1044,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,545.9391326904297,249.9391326904297,296,1044,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,616.6166954040527,274.61669540405273,342,1044,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,251.01014709472656,138.01014709472656,113,1045,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,381.06717681884766,174.06717681884766,207,1045,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,570.9516468048096,293.95164680480957,277,1045,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,678.9265594482422,357.9265594482422,321,1045,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,252.11074829101562,142.11074829101562,110,1046,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,382.46240997314453,173.46240997314453,209,1046,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,496.75695419311523,217.75695419311523,279,1046,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,603.1165370941162,266.1165370941162,337,1046,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,227.32269287109375,122.32269287109375,105,1047,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,410.71746826171875,206.71746826171875,204,1047,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,606.218204498291,336.218204498291,270,1047,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,716.6718368530273,394.67183685302734,322,1047,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,234.61021423339844,124.61021423339844,110,1048,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,399.8056411743164,186.8056411743164,213,1048,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,615.6715145111084,328.6715145111084,287,1048,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,841.8560028076172,511.8560028076172,330,1048,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,244.49974060058594,134.49974060058594,110,1049,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,400.384765625,192.384765625,208,1049,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,619.4008255004883,346.4008255004883,273,1049,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,642.1526679992676,313.1526679992676,329,1049,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,263.62139892578125,147.62139892578125,116,105,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,387.19820404052734,178.19820404052734,209,105,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,512.1164073944092,233.11640739440918,279,105,15,0.5,1000.0,Pseudolikelihood one-parameter
