estimator,N_hat,T,alpha
Chao,225.8458891846507,5.0,1.0
Conway-Maxwell-Poisson,16401.391764094402,5.0,1.0
Huggins,95.08312050415607,5.0,1.0
Jackknife k = 1,8.610723640679776,5.0,1.0
Jackknife k = 2,13.63187458855091,5.0,1.0
Jackknife k = 3,17.490149072043085,5.0,1.0
Jackknife k = 4,19.551200214463513,5.0,1.0
Jackknife k = 5,19.551200214463513,5.0,1.0
Pseudolikelihood,124.9427437777339,5.0,1.0
Schnabel,123.60563766061362,5.0,1.0
Turing,130.25276024281018,5.0,1.0
Turing Geometric,324.5443537013641,5.0,1.0
Zelterman,230.04908887926328,5.0,1.0
Chao,99.54216324182059,10.0,1.0
Conway-Maxwell-Poisson,906.419106581898,10.0,1.0
Huggins,52.5733327117866,10.0,1.0
Jackknife k = 1,15.404297544136275,10.0,1.0
Jackknife k = 2,26.186925686872666,10.0,1.0
Jackknife k = 3,37.802302401312495,10.0,1.0
Jackknife k = 4,49.670418686343346,10.0,1.0
Jackknife k = 5,61.17198773384754,10.0,1.0
Pseudolikelihood,135.69569329755484,10.0,1.0
Schnabel,58.9736893202106,10.0,1.0
Turing,61.92032379371631,10.0,1.0
Turing Geometric,135.61455880276378,10.0,1.0
Zelterman,105.69862172242597,10.0,1.0
Chao,70.83953283257195,15.0,1.0
Conway-Maxwell-Poisson,398.28848531226726,15.0,1.0
Huggins,40.84639421620175,15.0,1.0
Jackknife k = 1,18.162974523644998,15.0,1.0
Jackknife k = 2,30.20758162041887,15.0,1.0
Jackknife k = 3,44.520511417827635,15.0,1.0
Jackknife k = 4,61.87738007795934,15.0,1.0
Jackknife k = 5,82.69591441441564,15.0,1.0
Pseudolikelihood,158.36015999650567,15.0,1.0
Schnabel,42.84958113124446,15.0,1.0
Turing,43.286622109882565,15.0,1.0
Turing Geometric,90.11162697872588,15.0,1.0
Zelterman,78.52257282641798,15.0,1.0
Chao,55.459531112019775,20.0,1.0
Conway-Maxwell-Poisson,214.02455699651586,20.0,1.0
Huggins,33.298202953209135,20.0,1.0
Jackknife k = 1,19.474552574572726,20.0,1.0
Jackknife k = 2,31.710800283824273,20.0,1.0
Jackknife k = 3,47.53983158249689,20.0,1.0
Jackknife k = 4,68.83524599969076,20.0,1.0
Jackknife k = 5,96.8750216086815,20.0,1.0
Pseudolikelihood,131.63925130176924,20.0,1.0
Schnabel,33.26817366075322,20.0,1.0
Turing,32.85400909737778,20.0,1.0
Turing Geometric,65.95688590523203,20.0,1.0
Zelterman,64.48242265935362,20.0,1.0
