a_hat,Nu_hat,N_hat,No,trial,T,alpha,N,type
0.1535692874953891,4212.7811887319995,4311.7811887319995,99,120,5,2.0,1000,Beta-binomial
0.13003523746801987,5082.166652779428,5309.166652779428,227,120,10,2.0,1000,Beta-binomial
0.165211160986881,3480.0026293052165,3813.0026293052165,333,120,15,2.0,1000,Beta-binomial
0.22267215852554142,2495.8422511476897,2873.8422511476897,378,120,20,2.0,1000,Beta-binomial
0.6503165379414056,1031.0503299066522,1482.0503299066522,451,120,25,2.0,1000,Beta-binomial
1.1151876176675224,631.3140476956569,1123.3140476956569,492,120,30,2.0,1000,Beta-binomial
1.0031139205263724,649.282161768469,1170.282161768469,521,120,35,2.0,1000,Beta-binomial
0.8796379518996318,704.994668694204,1300.994668694204,596,120,40,2.0,1000,Beta-binomial
0.882850375209691,659.7783033006086,1284.7783033006085,625,120,45,2.0,1000,Beta-binomial
1.3148561497604416,435.26507241741353,1089.2650724174136,654,120,50,2.0,1000,Beta-binomial
9.208493410473995e7,2762.6871431921422,2929.6871431921422,167,120,5,2.0,5000,Beta-binomial
6.099095309538087e9,3880.191461375543,4268.191461375543,388,120,10,2.0,5000,Beta-binomial
0.12602267416803634,26797.241258378035,27286.241258378035,489,120,15,2.0,5000,Beta-binomial
4.1176871589948245,3646.1473731583174,4251.147373158317,605,120,20,2.0,5000,Beta-binomial
2.0780305459151447,4065.232168523595,4855.232168523595,790,120,25,2.0,5000,Beta-binomial
1.462518942370734,4496.56995998385,5394.56995998385,898,120,30,2.0,5000,Beta-binomial
0.3875176710743211,9258.05212494149,10289.05212494149,1031,120,35,2.0,5000,Beta-binomial
0.607405613636256,7099.891143232182,8297.891143232182,1198,120,40,2.0,5000,Beta-binomial
1.0464339876211275,4553.453013156227,5874.453013156227,1321,120,45,2.0,5000,Beta-binomial
1.6946078173694497,3533.561296143193,4932.5612961431925,1399,120,50,2.0,5000,Beta-binomial
1.0380161231172554e8,1734.691591622498,1840.691591622498,106,120,5,2.0,10000,Beta-binomial
0.698917531134934,10929.582505568818,11503.582505568818,574,120,10,2.0,10000,Beta-binomial
0.13181342722106887,49613.503380660884,50483.503380660884,870,120,15,2.0,10000,Beta-binomial
0.13438405853993818,46716.65733821333,47713.65733821333,997,120,20,2.0,10000,Beta-binomial
0.44557044106507276,18507.862983379342,19605.862983379342,1098,120,25,2.0,10000,Beta-binomial
18.91479280623944,6099.469201769902,7392.469201769902,1293,120,30,2.0,10000,Beta-binomial
72.18902449302679,5331.16502065486,6814.16502065486,1483,120,35,2.0,10000,Beta-binomial
18.893520554350182,5934.000425718707,7550.000425718707,1616,120,40,2.0,10000,Beta-binomial
5.701454916331387e11,5483.983373561642,7198.983373561642,1715,120,45,2.0,10000,Beta-binomial
12.854065143978442,6096.1454157626995,8055.1454157626995,1959,120,50,2.0,10000,Beta-binomial
