N,edges
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
10000,99945
