N,edges
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
10000,49985
