tweet_id	text	author_id	in_reply_to_user_id	retweeted	mentions	replied_to	quoted
1596388826867531776	"RT @Arwenstar: “As a film maker, do you support mandatory vaccines on film sets?”

“I support mandatory vaccines. Period.”

Never forget th…"	1267322979140108288		1.5962571726395802e+18	['21947445']		
1596388827957952514	"RT @KieronMoyles: Just a reminder about Matt Hancock.
He wasted millions giving PPE contracts to Michele Mone &amp; his pub landlord.
He sent s…"	806571494037946368		1.5962593752319508e+18	['124461963']		
1596388829190987776	RT @LWhalfmoon: @sexytori17 It’s not and never was about Covid.  It was always about compliance and control!	113082356		1.5963499966092943e+18	['1511417809380814853', '1257572576869576704']		
1596388829350469637	"RT @1goodtern: Why does SARS-CoV-2 damage appear in such different ways in different people?
You have probably all known the answer to that…"	814581784637751296		1.5960925759368274e+18	['960817018193764352']		
1596388829463998464	RT @WalkerBragman: @TaylorLorenz @mxtaliajane Outside of the fantastic Ed Yong, The Atlantic’s pandemic coverage has been absolutely ridicu…	1558216942137139200		1.5963634535011738e+18	['479724576', '208725869', '173774813']		
1596388831518896128	"RT @MeetJess: We have to realize that 2019 life isn’t coming back. COVID will be with us for many years. 
« Living with it » for me means f…"	17546698		1.5962674021359985e+18	['312412918']		
1596388831938256897	RT @TomJumboGrumbo: If you’ve been thinking about adopting an NYCACC dog, do it now. @ElayneBoosler and Tails of Joy are offering a generou…	1212447056360439810		1.595619477756203e+18	['798054644853407744', '79031518']		
1596388831908855808	Every way the Covid Jab Poisons Your Body  https://t.co/SxDdOcrQUN	610943786					
1596388832613920769	"Sir @iamnagarjuna garu. Am from Warangal Dist Telangana State.Could u please provide some financial help to buy a 2nd hand SUV so that I can run a cab for hire purpose,Coz I only know how to drive.This COVID period made my family such a bad condition with no job
Plz help me sir🙏"	991220223645798400			['120990817']		
1596388833142403072	"RT @ErinMcCreary: two years,
26,769 unique patients, and
27,108 infusions later
the monoclonal antibody for treatment of COVID-19 program c…"	18844088		1.5953999061135565e+18	['294402379']		
1596388834043785216	RT @RisetteMD: Just remembering one of the saddest moments in my life was when, at the end of a three week stretch working during the Delta…	2285438640		1.5958477944677827e+18	['1549164560204038144']		
1596388834354216960	during &amp; after covid, everyone &amp; everything changed…	1142890777715982336					
1596388835075756032	"RT @fbtoast: Doctors and nurses died for lack of proper PPE, just so the likes of Michelle Mone could line their pockets.
#PPEScandal 
#Tor…"	1239318499996164096		1.596370055482196e+18	['19701496']		
1596388835264729089	RT @Nkosi_Dlamini_: Strange isn't it? The piano songs that dropped during peak covid are way better than what has been released since lockd…	1396554727089967110		1.596383465565479e+18	['4180103950']		
1596388836418129920	@BradfordKitson @RobertJReinigSr @dbongino is that what they lied to you? So basically when things went well it was because Obama started it and Trump just benefited, when Biden literally fails the easiest to predict withdrawal it's because of Trump? When the vaccine came out it was because Biden made it in his basement.	3454518857	28607764.0		['28607764', '566741427', '232901331']	1.596246220057768e+18	
1596388837068247040	RT @dr_cottrell: Listen very carefully.  The virus has proteins that activate pathways that can lead to cancer.  That means it is MORE risk…	732074705142734848		1.596384139359318e+18	['1303683749406793729']		
1596388838917959680	"RT @RachelReevesMP: People are sick of being ripped off by the Conservatives. 

£3.5 billion of public contracts to Tory friends and donors…"	1366529276137332737		1.5957030294788874e+18	['34374472']		
1596388838837932032	"RT @_ahania: A Canadian citizen Akshay Kumar donated 25 crores for COVID relief

An Indian citizen Rana ayyub scammed 1 crores from Indian…"	162990064		1.5960346549809357e+18	['1040306315342610437']		
1596388838997622785	"RT @morethanmySLE: If you are still wearing a mask to protect yourself &amp; others from Covid, please reply with 😷

😷😷😷😷😷😷😷😷"	3981135263		1.5962829343525765e+18	['812361923304034304']		
1596388839299465216	Beneath the hazy sky.. https://t.co/XFcwiIFhXa #goodmusic #musiclife #musicmake #newmusic #musicvideo #viralvideo  #fans #workingfromhome #EnergyCrisis	1510781350902706180					
1596388839928610817	RT @Chesschick01: When was the exact moment you realized COVID was being used to manipulate the population?	1431445114652594180		1.596216988145025e+18	['36134346']		
1596388842558423040	RT @dr_cottrell: HIV connection.  E protein from SARS-CoV-2 and BET. https://t.co/9QAlgREEfl	31215687		1.596381117858603e+18	['1303683749406793729']		
1596388843124465664	RT @fleccas: Found another parody account, @elonmusk. Please delete.	1586321082054676480		1.5952359165698703e+18	['233000889', '44196397']		
1596388844433461248	"RT @guyverhofstadt: Everyone went through the pandemic &amp; goes through the war in Ukraine. 

Ireland is the best, UK worst performer… I wond…"	1093187445103964160		1.5953679300275118e+18	['856010760']		
1596388844605435904	RT @hodgetwins: So the vaccinated account for a majority of Covid-19 deaths. So, is it ok to say now that the vaccine was a money grab for…	2337649740		1.595557593405358e+18	['18584875']		
1596388844689330176	RT @David__Osland: Some people are more angry with nurses for going on strike than they are with Michelle Mone for selling nurses defective…	1330211227461685249		1.596149201657688e+18	['3407247983']		
1596388847989858304	RT @CAllderladd: When Dan did lockdown it allowed health care workers some breathing space at a frantic time...thank you Dan for leading us…	2769947215		1.5962714004611604e+18	['4839819043']		
1596388848094703616	RT @colonelhogans: Covid lockdowns were extremely hard on people’s mental health and financial well being. But they saved millions of lives…	412631330		1.5962150201441075e+18	['341327946']		
1596388850682953729	RT @eiryngs: Here it is, a crowdsourced compilation of COVID safety &amp; public health related sales – to help us upgrade protection and care…	61284622		1.596039709557674e+18	['186878595']		
1596388852087853056	RT @LetsGoBrando45: This is your brain 🧠…. This is your brain on the vaccine. https://t.co/LiyhLRlYgb	171232928		1.5963555287409623e+18	['1518644583109910528']		
1596388852595400706	RT @BBolander: walgreens vaccine webpage giving me fucking riddles when all i want is a booster https://t.co/TqP6Caqqkh	3098689843		1.5962159150788977e+18	['84966500']		
1596388852767535106	RT @hodgetwins: So the vaccinated account for a majority of Covid-19 deaths. So, is it ok to say now that the vaccine was a money grab for…	1586061869780983811		1.595557593405358e+18	['18584875']		
1596388854122303488	"RT @MHaffizJ: Kutuk itu mudah

While mega PPV has its shortcoming in terms of ventilation, but it maximise the efficiency of allocating hum…"	955054635051466752		1.5963783275346452e+18	['99091086']		
