tweet_id	text	author_id	in_reply_to_user_id	quoted	mentions	retweeted	replied_to
1596542982072979456	RT @theresafromwpg: I’ve been hearing speculation that some people won’t wear masks because mask wearing is equated with weakness &amp; fear. W…	1256229205542612994			['1480026144770457600']	1.5964960044878643e+18	
1596542982152503296	"RT @Arwenstar: “As a film maker, do you support mandatory vaccines on film sets?”

“I support mandatory vaccines. Period.”

Never forget th…"	1395590658455375872			['21947445']	1.5962571726395802e+18	
1596542982299475968	RT @PhantomPower14: Tory Baroness Michelle Mone’s family allegedly profits £65m during the pandemic for unusable PPE but @ScotTories bang o…	1317040750094356481			['2542032578', '171876607']	1.5964954036747633e+18	
1596542982647615489	RT @judyannaggie: Michigan schools tried to use COVID aid for equity consulting, vaping and motion detectors | Just The News https://t.co/z…	1041624996265701378			['489894993']	1.5965057832308736e+18	
1596542983520018433	@Chesschick01 When they started talking about the 15 days to flatten the curve lockdowns.	539579460	36134346.0		['36134346']		1.596216988145025e+18
1596542983817506816	RT @Shirle1967: @BeatlemaniaUK One song  can't  highlight  Paul’s  skills  as  a musician.  He  is a  musical  geniuses. Paul recorded his…	1090961687362990081			['813688917438373888', '3072560477']	1.596489106208723e+18	
1596542983859744768	RT @thebradfordfile: Fauci gave a deposition under oath this week confirming he was lying through the entire pandemic. So naturally, the me…	2206909855			['3406938525']	1.5965374492489564e+18	
1596542983742029824	"@CalvinMcgettig1 @RealJamesWoods Does the ""data"" discern whether or a vaccine was taken?"	1463267438280134658	1.5041125326923817e+18		['1504112532692381696', '78523300']		1.5965263439482225e+18
1596542983918292998	RT @razzlededazzle: Our politicians may as well be serial killers by this point. I mean the ones that push for vaccines. Mainstream media t…	1212887918139723778			['416500767']	1.5964007743552594e+18	
1596542984123977729	RT @Co2Review: How to think like an aerosol scientist this holiday season to stay healthy https://t.co/FdXoT4IlG2	408077631			['1529271905580158977']	1.596494402394153e+18	
1596542984475901952	RT @austinramzy: Lockdown protests reported in Beijing as well	1461232438256930820			['45808079']	1.5964354289699717e+18	
1596542985076080640	RT @Derricktgoat: REMEMBER, Trudeau was put back in Office with just 20.3 % support of 27.5 million registered voters, with only 62% voting…	2155166828			['1195329078758391808']	1.5965377748779336e+18	
1596542985977884674	"RT @Lowkey0nline: The family of 5-year old Yusuf Mahmud Nazir were told by his GP that he needed immediate hospital care. 

They ""begged an…"	257896015			['1024352074048434177']	1.5964475468301066e+18	
1596542986380537857	RT @TheRioTimes: Riots in Haizhu District, Guangzhou, China over harsh Covid lockdowns https://t.co/Ik0EFEeisj	1220061101355950080			['62620320']	1.5965397941501174e+18	
1596542986598240257	"@WADeptHealth Go back to hell Satan! 
Covid is a cult!

Mask cover the faces of Gods beautiful creation 

That’s The only purpose of a mask 
because Satan hates God’s creation

Woman 

BREASTFEED! 

Freaking psychopaths!"	1573761577051987977	59545968.0		['59545968']		1.5961884750403666e+18
1596542986665439237	I bet you still wear a mask 🤣 https://t.co/fLxeDRkVEE	1478070735427948546					
1596542986698993664	RT @laralogan: So now we are already ruled by an unelected one world government.	485210872			['1098091506886471680']	1.5962071211037164e+18	
1596542987080962050	"RT @DiedSuddenly_: After the release of #DiedSuddenly, the Health Organizations have been forced to respond. 

Their response? 

It’s not t…"	1569863877239926785			['1577761560394665984']	1.596231410502738e+18	
1596542986791297025	The winners and losers of the pandemic https://t.co/yolpcMYhg1 via @YouTube	1512039848839892999			['10228272']		
1596542987051618306	RT @RealJamesWoods: I’ve never commented on the COVID vaccine. I do have questions, however. If you DON’T get the jab, you’ll get zero side…	1559012091402625024			['78523300']	1.5965153365722767e+18	
1596542986959323136	RT @showdemandvalu1: “So at that point, I went back to management. I said you know what, ‘I can’t do this. What you’re asking me to do is j…	1490598485577515008			['967171996667834370']	1.5619148506656727e+18	
1596542986761797633	@MrDannyTeal @TBD77 @hoothathuh @CachePast @SSZ1967 @mhunt081266 @0800_KSMY_ASS @5shezz4 @troydee @ryanbeed @ammejo1 @cbeckj @TakethatCt @djchicus @maryloupatey @dann58638436 @MFuzzbox @NathanaelYoung @Agent2Dark @VikingRefusenik @Hampson14Jane @JiminyC24 @ShockTraumaRN @CHSdoctor @jilel76 @MrQuantity @Joe09396262 @rw_christian @RayDoobay @sickofitall2222 @ptcjoneses @MinnesotaExpat @basil_ireton @The_Ouroboros__ @carlsmythe @PLHartungRN @BoredofFools @goingtogetugly @AtomsksSanakan @InCytometry @msabouri @yellowmazzymoo @RjSnout @Jeffrey_Ferland @IainMulady @AndyKyr This has already been answered. By all means, it’s your choice to be gullible, but trying to dissuade others from getting vaccinated by posting misinformation is dangerous. https://t.co/4xdfIhSBki	3173671839	335989573.0	1.5965045789121454e+18	['335989573', '401644523', '1430386214453010434', '1440798112285483012', '27222745', '979698486559035392', '510761564', '1459116335871393797', '16574461', '5608632', '1301065927', '1209670848', '806249761422639105', '138460507', '623780427', '1417829452722081795', '1566562360353071106', '409577762', '1548000787069947905', '1587784574108573696', '1517063267293835264', '1384250520387211264', '1518930570163765248', '1318751360733663232', '567163070', '4572006255', '1465052105639698434', '959587383393116160', '862794896276508673', '1392895684458778627', '996886441291603968', '2671279038', '880227624475402240', '2333981615', '227117166', '1323988009935609857', '1574891619333152778', '3157997533', '874191251087572992', '403684405', '22096733', '438726085', '1494466420037595137', '2311107865', '2174481686', '555375397']		1.5965408797196698e+18
1596542986954809344	@MIkeYerian2 @cstroeckw You can get long Covid from Covid. It's not new. They call it post-viral disease and people get it from FLU, EBV etc for ages. Also people do sometimes  get the similar basket of illnesses from vaccination. It's not either/or. It's both. What you are saying is propaganda.	1294817149043773440	1.5945552549048484e+18		['1594555254904848386', '4736778327']		1.5963577076528292e+18
1596542987378380803	RT @Xx17965797N: Official UK document from the Ministry of Health reveals Convid never existed. This now being the case means the masks, lo…	2479698816			['1552407495255199745']	1.5964351920208773e+18	
1596542987680763905	@InvestigatorCps Another day of coming down from RSV, what a kick ass virus. The upside it was not Covid, I hope everyone can avoid it. Just feel very weak but I will be ready tomorrow	3313455674	73973309.0		['73973309']		1.5965420780197806e+18
1596542988192301060	"RT @MeetJess: COVID-19 diagnosis raises risk of heart attack, stroke 

« In the week after a COVID-19 diagnosis, the risk of a first heart…"	1419593473041354754			['312412918']	1.5962936263168287e+18	
1596542988166909953	"RT @fascinatorfun: Death of a 5 yr old boy for want of a hospital bed: Severe tonsillitis turned to pneumonia and organ failure.

""The NHS…"	835239487			['282914879']	1.59630239606152e+18	
1596542988833894400	RT @toadmeister: Dr. Angus Dalgleish, a Professor of Oncology, wrote to Dr. Kamran Abbasi, the Editor in Chief of the BMJ, to alert him to…	274494074			['18809812']	1.596542150342316e+18	
1596542989983440896	I have seen a couple of videos by embalmers showing these long white rubber-like clots. Scary stuff. https://t.co/qvFAGzwhn5	2829547713		1.595893348035752e+18			
1596542990046138375	RT @JoJoFromJerz: They didn’t care when he mocked a disabled man, bragged about sexual assault, lied about a pandemic, incited an insurrect…	74727567			['818893114979061761']	1.596539673190359e+18	
1596542990255886337	RT @RealJamesWoods: Please participate in this poll if, and only if, you were vaccinated for COVID-19. Whether you had one or more boosters…	3949725369			['78523300']	1.5965221787022991e+18	
1596542990759051266	can’t answer this poll 🤷💪 https://t.co/aKRoLFpU8h	1132235424141926400		1.5965221787022991e+18			
1596542990906200065	@BruceOksol @RomTheRoger @LynAldenContact Thank you - as expected the death rate climbed together with the start of the vaccine campaign. Should it not be the other way around ?	1569039472959815681	19233073.0		['19233073', '1280372319248998406', '823766058909761536']		1.5965272886986875e+18
1596542991594033152	I agree 100% https://t.co/gmDNa5MTh5	893233269352693760		1.5959758806142362e+18			
1596542991740829696	RT @toadmeister: Dr. Angus Dalgleish, a Professor of Oncology, wrote to Dr. Kamran Abbasi, the Editor in Chief of the BMJ, to alert him to…	1502405006854656005			['18809812']	1.596542150342316e+18	
1596542991551930368	RT @RealJamesWoods: I’ve never commented on the COVID vaccine. I do have questions, however. If you DON’T get the jab, you’ll get zero side…	1216316186			['78523300']	1.5965153365722767e+18	
1596542991875076096	"RT @SParnis: If Victorians vote tomorrow according using the Covid19 response as their yardstick, remember this:
for much of that time, we…"	443687084			['961299362']	1.596100835108262e+18	
1596542992290304000	RT @justkeeprunin71: “ I wasn’t tyrannical enough” 🤦🏻‍♀️	2570817713			['1018525840320049152']	1.5963168983373947e+18	
1596542992156065792	"How Personal Freedom was Hijacked

""an obsessive, one-size-fits-all pandemic management scheme that did not distinguish risk categories was unreasonable and oppressive from the outset.""

""... the difference between plausibility and science ...""

https://t.co/sQV0PSbcUf"	1545913393550327810					
1596542992416116737	@RepMTG If I’m not mistaken..more small businesses were lost due to trumps actions during the pandemic. Mtg didn’t say a damn word then but she’s running her big mouth now. Typical..	48093879	1.3443565767868662e+18		['1344356576786866176']		1.5964947475685704e+18
1596542993544392704	RT @v_j_freeman: Vaccine nonchalance appears to have set in. 9m over 50s yet to have their boosters with even the oldest age brackets faili…	25327586			['158037850']	1.5965272165814313e+18	
1596542993577938944	"RT @Orcs2Elves: Remember fondly when we were told that we were protecting others if we got vaccinated? Since scientifically debunked. 

Tho…"	1585413139407020032			['48215538']	1.596540022089343e+18	
1596542993594748930	@pdonde2 @soledadobrien Your boy was the one who tried to brush the pandemic aside with false happy talk and bleach injections. Stop changing your own subjects.	848189444347891714	220088623.0		['220088623', '26548315']		1.5965291448753316e+18
