tweet_id	text	author_id	in_reply_to_user_id	quoted	mentions	replied_to	retweeted
1596347001104666626	RT @Emmanuel_Rach: Following intermittent periods of online learning during the Covid-19 pandemic, Alberta Premier Danielle Smith won’t per…	1330727760403185664			['581450356']		1.596245891002032e+18
1596347001339535360	RT @RobertKennedyJr: Yes, we do! “We all deserve to know how involved Dr. Fauci was in the censorship of the American people during the COV…	1335685019348598784			['337808606']		1.596151300798165e+18
1596347001246973953	"RT @RepMTG: Covid-19 is becoming the pandemic of the vaccinated.

We must investigate the thousands of VAERS reports of vaccine injuries an…"	1469764502820372493			['1344356576786866176']		1.595541557305811e+18
1596347001654087680	RT @RobertKennedyJr: The death last year of a 14-year-old Irish teen 3 weeks after he received Pfizer’s COVID vaccine has sparked a “consid…	1386891684412338177			['337808606']		1.596242318792614e+18
1596347003889410048	This is MAD https://t.co/yMuCLuTXvZ	1283270972578107394		1.5959591606754386e+18			
1596347004120354817	RT @Aaron_Derfel: 1) Canada's chief public health officer confirmed for the first time Friday that the country has officially entered uncha…	1866084140			['161505969']		1.5963300378335355e+18
1596347005340622848	WTH is chest feeding? https://t.co/6k23i58tli	4214406586		1.5961884750403666e+18			
1596347006179364864	Black Friday online shopping will hit a new record this year, even though consumers headed back to physical stores as the pandemic waned - Black Friday #BlackFriday -  https://t.co/BUhtdlHJOO	1248916387617222658					
1596347006930538496	just right just before the start of covid, little did we know, lol .. https://t.co/jqlb0tdAz3	106062993		1.2155575743361106e+18			
1596347007568052226	@ColetteMandin They were never required before this so called pandemic. And they never prevented anything. Wake up already	1266435191200940035	636649732.0		['636649732']	1.596153334725251e+18	
1596347008553451520	RT @ChinaUncensored: More Covid protests https://t.co/6zyhZhx23R	1518936723291578370			['833100331']		1.5961151268093993e+18
1596347009497432064	"RT @MyBoxerLuvMac1: 💔Snoopy💔
#NYCACC #157851 9m
▪️To Be Killed: 11/29💉
▪️Pneumonia
▪️Can be killed anytime if condition worsens!
Amazing pu…"	167313697			['1214648962491269125']		1.5962322229522924e+18
1596347010109546497	RT @drsimonegold: In the last press briefing of his federal career, Dr. Anthony Fauci attacked those who refused the COVID-19 injections, c…	1511709733446688779			['806344552718045184']		1.5962870273011876e+18
1596347011166572544	"RT @woofmelb: Remember this was called ""Conspiracy Theory"" and people were tin wearing tin foil hats? Fack Check: #Truth - Metals confirmed…"	249357893			['244507428']		1.5963033664557097e+18
1596347011661729792	RT @VernonForGA: Watch him do same moon walk when he goes before a now controlled republican house during congressional hearings in 2023 on…	1518964349041356800			['900021957424447488']		1.596294888781398e+18
1596347012253089792	"RT @Leah_M_Howie: Things that are actual real risks to my children right now: covid and influenza.

Something that is not an actual risk to…"	274405808			['1228381984512069633']		1.596138976720601e+18
1596347012110200833	False information &amp; fake news have created fear among priority groups and the general population but our health educators dispelled every single myth associated with #COVID19 vaccine. We conducted more than 20 lacs IPC sessions and changed the scenario @JSIhealth @USAID_MOMENTUM https://t.co/AIuerHDRtX	798017350515597313			['21676073', '1319714157856509952']		
1596347013511417858	RT @POTUS: This Thanksgiving, families gathered with the peace of mind that comes with knowing that – because of vaccines – they were prote…	1442300204758147073			['1349149096909668363']		1.5961869569787167e+18
1596347013611671552	RT @GCR2022: @NicolaWillisMP @NewshubNationNZ You’re a f’king d!ck - they spent money keeping the vulnerable from dying &amp; keeping business…	17242852			['852501834312712192', '421375843', '116560338']		1.5962879018090045e+18
1596347015088185345	RT @AbduwelA: The #protestinUrumqi, protesters are still walking at the streets. They are demanding to cancel lockdown, they are walking ou…	1061234793713713155			['1076925599074172928']		1.5962691258186179e+18
1596347015642120192	"""Every heartbreaking story I hear of a family who sat beside the bed of a loved one, dying because they had believed that the vaccines were more dangerous than the disease, I take personally because I wish I could have done more,"" Trudeau said."	1411895114004238342					
1596347015100739584	"Amazon
iHealth COVID-19 Antigen Rapid Test, 2 Tests per Pack,FDA EUA Authorized OTC At-home Self Test, Results in 15 Minutes with No
 https://t.co/V6fxovfTrC"	1277996845281640448					
1596347016384507905	RT @corbs536: @Linkirk12 @CWUnews @floys1974 @DaveWardGS Our  postie was brilliant during covid, he used to get shopping for the elderly an…	2976912899			['2208728307', '1377244298429751296', '317691569', '1439982302877167616', '1650476935']		1.5958146280801894e+18
1596347017760055297	"RT @KimDotcom: Why has no ""journalist"" contacted the Embalmers who exposed the unprecedented rubber clots that have never been seen until t…"	58654886			['611986351']		1.59618659822771e+18
1596347018716205057	"When TF will it end? When? 

When half the world is gone??? https://t.co/3sgoJYIgCR"	1422953367396040704		1.5962960706858967e+18			
1596347019593150464	I got COVID within the first few months and made it fine.  So I figured I didn't need shot.  Then when second strain hit I got it again and managed it well again.  At this point I knew I did not need vaccination. https://t.co/qIJrD9fEhK	1470477151967264776		1.5961360820680827e+18			
1596347020305989632	RT @risetoflyy: Poison from above. Psychopaths	1117882918049865730			['54065567']		1.5961594244390134e+18
1596347019634741250	Nothing like multitasking while remotely working from home! Fucking a twink while conducting business. Haha https://t.co/lFnTCNxME7	1430685456195149828					
1596347022205890560	RT @visegrad24: Serious situation in China tonight with protests in several cities after a video from the high-rise fire killing 10 in Urum…	400919132			['1222773302441148416']		1.5962089051299758e+18
1596347022734499840	@Femi_Sorry Don't listen to her. She broke lockdown rules as well	1484069058639245316	234694571.0		['234694571']	1.596165814788313e+18	
