tweet_id	text	author_id	in_reply_to_user_id	mentions	quoted	replied_to	retweeted
1596417108367532032	"Please canceled schedule in China and bring WayV back to Korea before Beijing was 100% lockdown and can't take the return flight. They can't work in this critical situation. Please make a decision abt new plan and promote them in another countries.

@WayV_official @SMTOWNGLOBAL https://t.co/Vu7v5HF5rw"	2908161612		['1033994695595065347', '884378714']			
1596417110842146817	RT @sophieelsworth: Many panellists on @SkyNewsAust attacking the coverage by large sections of the media of the Victorian Labor Government…	1127460305355698176		['43797149', '16834659']			1.5964016771494461e+18
1596417110884093952	@DKthroughmyeyes @OXHarryH1 Information about daily life. Western propaganda has made people believe that people are put in quarantine and started, all kinds of crazy stuff. My daughter is a 2nd year med student. She's going to transfer to Peking University or Tsinghua University after she complete s this2/	190336357	190336357.0	['1187038010660941824', '795509171198263296']		1.5964163550202102e+18	
1596417111437770752	RT @RayhanAsat: It didn’t take long. The #Chinese gov announced that any individual who shares news about “the Fire in Uyghur #Urumqi city”…	1103001857608306694		['2211735352']			1.596144761735635e+18
1596417114164060161	@kelvmackenzie Nobody ever thought hard working dedicated nursing staff would be denied a reasonable wage by the same Government that is happy to throw away billions of £££ to friends and family in dodgy PPE contracts.	27028904	3037892906.0	['3037892906']		1.5962168417053327e+18	
1596417114398941185	RT @DrVicFielding: Question - has anyone ever heard a journalist suggest covid lockdowns are a political problem for NSW Liberals, or for N…	1158992563312791553		['139328853']			1.5964051764660183e+18
1596417114872897536	@Redeemer002 @Cassielforson I think all this reductions were useless because they didn't have any significant impact on the economy. Prices of goods were not reduced, the dollar ratio kept increasing, people were still suffering, other taxes(COVID-19 levy, e-levy, taxes on airtime and data etc	1404487511695626243	2243862381.0	['2243862381', '1120596248933883904']		1.5963895023769395e+18	
1596417115984388099	@VesperAegis @joanneReece8 @Russell35116668 @PeterSweden7 Lol the vaccine does not prevent spread....get out of here loser	739055189517307904	1.464775059034288e+18	['1464775059034288128', '1305792485290135552', '1593254172455231488', '707231479047315456']		1.5964165837523845e+18	
1596417116525076480	RT @Svenja_Eck: Happy release day @RAH_HELL and @felinelang! 😍🥳🤩	273386007		['738263863', '273386007', '90874615']			1.5962884662159278e+18
1596417116923723783	RT @ABrokenBattery: Highlights Baroness Brinton speaking at the Long Covid debate in the House of Lords 17 Nov 2022. She describes a study…	1489627229495697411		['904701759058305024']			1.5957179181589832e+18
