tweet_id	text	author_id	in_reply_to_user_id	quoted	retweeted	mentions	replied_to
1596533644457566208	Under Oath: Fauci in US 'can't recall details of his #Covid response' https://t.co/3fF7ViOXRn &amp; Trudeau in Canada says he 'didn't call the #unvaccinated names'. Sadly Australia is suffering from #StockholmSyndrome re-electing #WEF Dan Andrews-They all need to be in Jail at least https://t.co/LlGFP6Svo3	1539962179914346496		1.5654661484595364e+18			
1596533644797026305	"The best thing Covid done was troll the people out of hiding and let people see who they really were.
Thanks."	979529412495454208					
1596533644868218880	RT @StevieVanZandt: I can suggest it. But no one will do it. My wife Maureen still does it. She says everybody is insane and in denial abou…	41002137			1.596528752896639e+18	['23908002']	
1596533645225099264	@FrensWeMade Without covid and election rule changes he probably would have won by a landslide, rewarding platinum plan stuff. Would have been an interesting timeline	1330488850506866688	1.4299754838028206e+18			['1429975483802820614']	1.5965333719997604e+18
1596533645384507392	RT @JamieSale: Hundreds of Federal Employees Launch Legal Challenge Against Government’s COVID-19 Vaccine Mandate https://t.co/CXDZ6jSRBm	1264028598261907457			1.5963350440079565e+18	['195717987']	
1596533646697140224	"@kelmerica78 FYI: Keep an eye on those Flu Vaccines
https://t.co/yDYz2D5iFX"	1438867956604227585	2812234960.0			['2812234960']	1.5961544001371628e+18
1596533647003172864	"@HardinXIII @FoolElegant @ThomasGrissom @tedcruz Let me explain my ""thought process"".. Engineering has taught me  2 gather evidence and make an informed decision instead of declaring facts w/out evidence. Search 4 the number of US deaths from COVID. There r plenty of sources.  Listen to the opposing sides and attempt to verify."	27006477	1.2524053765003264e+18			['1252405376500326400', '1095762667812331526', '40248692', '23022687']	1.5962159953830257e+18
1596533647271919616	RT @PolitiBunny: Infuriating. Selfish adults took from children, they put these lockdowns on the children’s shoulders, they played politics…	53802091			1.5965151799357932e+18	['35051304']	
1596533647926243328	RT @RVCJ_FB: Covid cases in China... https://t.co/mnzhFwXLFN	922052134769606656			1.596401964023419e+18	['2835317718']	
1596533648693817347	RT @FiveTimesAugust: Hey no big deal @BillGates — you F’d up an entire generation’s education because you wanted to play scientist. And why…	1503829529982296067			1.5965258722612634e+18	['19956739', '50393960']	
1596533649108701186	"RT @BanounHelene: That's why my article suddenly got 18,000 views on Researchgate: Peter McCullough wrote about it!
https://t.co/NXDeFNApGE…"	1198641117283180545			1.59647982097161e+18	['1388763492317024261']	
1596533649675288576	RT @idolthv: its funny criminalkook was so afraid after loitering in clubs during pandemic's peak and drunk driving he ghosted his own fans…	1460047973874733063			1.596533118198063e+18	['1558505549003620352']	
1596533649725591552	@appleandtang @DanielAndrewsMP 1) Except this is not how alot of Victorians behaved during the Pandemic. I saw hatred, judgement, discrimination and downright cruelty everywhere and so many have been permanently scarred. The Victorian psyche has been changed forever 🥺	31604161	31328352.0			['31328352', '228535666']	1.5964919689383567e+18
1596533649977249793	"RT @johnrackham82: COVID was a scam to transfer wealth from you to the WEF and its partners. 

Once you understand that, you know a lot."	1594291912961396736			1.5965050554607493e+18	['1552067520575799298']	
1596533650069377028	RT @HackedOffHugh: « In total, the Government has written off £8.7 billion worth of PPE that is unusable, has passed its expiry date, or wa…	1487361298778279936			1.5962501084331459e+18	['914588454']	
1596533650342170624	RT @_Janey_J: ‘In early 2020 after the lockdown, people were being admitted to hospital and dying in large numbers - I think they were bein…	1591781766624415744			1.5964949489245512e+18	['1538833303863713796']	
1596533650711281667	RT @RealJamesWoods: I’ve never commented on the COVID vaccine. I do have questions, however. If you DON’T get the jab, you’ll get zero side…	15554960			1.5965153365722767e+18	['78523300']	
1596533650773790720	RT @juistheju: Please canceled schedule in China and bring TEN back to Korea before Beijing was 100% lockdown and can't take the return fli…	1401732019755782145			1.5964192615847936e+18	['4743145646']	
1596533650807721985	RT @Quest1743: Poor dog sick. Please pledge, foster, adopt. 🙏🙏🙏❤️	1214648962491269125			1.5962798764155412e+18	['376226841']	
1596533651260702720	RT @Grimreaperkia: The pandemic made me isolated af lol I’m not this introverted naturally. I gotta shake this because life is still moving…	953674693734797317			1.596514357986431e+18	['2607992300']	
1596533651784728576	@WeThePeople021 They need to return to their country of origin. They should not have more privileges than real Americans. We would be arrested for crossing a border illegally, not them though. They get a free ride, place and money and for some reason Covid doesn't matter if you're illegal.	1520069421267623936	2190348686.0			['2190348686']	1.5959342174979072e+18
1596533652372213760	RT @HiSha2020: @DrJamesOlsson They are amyloid plaques of self assembling, self-perpetuating spike #prions, which are lab-made defective AN…	750369871700062208			1.596289285556441e+18	['26445384', '1455311856092995585']	
1596533652963336201	RT @RealJamesWoods: Please participate in this poll if, and only if, you were vaccinated for COVID-19. Whether you had one or more boosters…	1586214942117707778			1.5965221787022991e+18	['78523300']	
1596533654104477697	RT @RobertKennedyJr: The death last year of a 14-year-old Irish teen 3 weeks after he received Pfizer’s COVID vaccine has sparked a “consid…	1328790376921096194			1.596242318792614e+18	['337808606']	
1596533654091620352	Once a piece of crap, always a piece of crap. https://t.co/71tpDDDnay	2848334122		1.5962571726395802e+18			
1596533654460960769	RT @RealJamesWoods: I’ve never commented on the COVID vaccine. I do have questions, however. If you DON’T get the jab, you’ll get zero side…	1585610406974083073			1.5965153365722767e+18	['78523300']	
1596533654985248770	"RT @jakeshieldsajj: If you are a grown man who was terrified of Covid you are a coward 

Work on Strengthening your mind and body so you wo…"	1586062078481162241			1.596421674705961e+18	['80233893']	
1596533655899250690	RT @rayconnolly: Just after I went into a coma in ICU with Covid in spring 2020 an Isle of Man couple got a grant from the govt to make PPE…	4912890909			1.5958215992189747e+18	['19111511']	
1596533656503328770	@Eric_Schmitt Fauci is a Liar &amp; a Crook he made Millions off Covid scare! MAGA🇺🇸	822476679247437824	101852818.0			['101852818']	1.5961731857830707e+18
1596533656570695680	RT @ThiaBallerina: If they were able to provide “free” vaccines, they can provide free insulin, free inhalers, free eye glasses, free heari…	1471530768635629569			1.596517281190015e+18	['4874513699']	
1596533656864129025	RT @CanadaFreedom18: No one has spread more covid disinformation than Trudeau. Till this day he claims that the mRNA injection stops you fr…	1021570025206018048			1.5962356092108636e+18	['1481725971111809029']	
1596533657413373953	RT @joeolivermd: Kids are testing positive for Influenza + RSV at the same time. Probably also Covid. Now would be a superb time to get you…	80134549			1.5962860168426988e+18	['1089917743275667457']	
1596533657707360257	"RT @MeetJess: Long COVID could be leading to a wave of erectile dysfunction as the pandemic invades our sex lives

We don't have all the da…"	1384514429694382081			1.5963232734402068e+18	['312412918']	
1596533657904480257	RT @humanrights4BC: Every six days, a woman is killed by her intimate partner in Canada. During the pandemic, violence against women in Can…	251730281			1.5965042411194573e+18	['1164680344269803520']	
1596533658395217920	@mirandadevine This can’t be real. If they want to seriously put this ridiculous excuse forward as science then anyone that is nervous about the vaccine should be able to opt out for medical reasons just like being allergic.	1588965312178933760	32201297.0			['32201297']	1.5965328757168783e+18
1596533658420072449	I use to love ❤️ #Georgecloony https://t.co/uAn7XChBzs	1556945654521499649		1.5962571726395802e+18			
1596533658923552771	"@johnrich @MMFlint https://t.co/Cr1ZEAH3Vw
Trump '20 tariffs, added to 2018-2019 tariffs, cost U.S. consumers $461.1 billion annually. Cost to average household = $3,614. Tariffs wiped out deregulation gains. America led the civilized world in Covid death rate. Job losses. Farm foreclosures. #MAGA"	803043716780920833	16869718.0			['16869718', '20479813']	1.5962706204003123e+18
1596533659728609280	"RT @Lowcountry1Girl: All-knowing Dr. Fauci's memory suddenly vanishes when he has to testify.

Fauci is the man who single-handedly wrecked…"	1489759514056224771			1.5965023269274132e+18	['895286614431346688']	
1596533660777267201	RT @simbu_tamilnadu: Youth are on streets for &gt;2 years fighting for justice. On #ConstitutionDay aspirants @ Mahasatyagraha 4 Covid Relief…	1557388336691437568			1.596442551912915e+18	['1557388336691437568']	
1596533661083774988	RT @BookerSparticus: Fauci was deposed. He couldn't remember much, but emails confirm he and others knew the Wuhan Lab was the origin. Let'…	1586403383103086592			1.596491302472147e+18	['1046102582643642373']	
1596533661725495296	"A poll ONLY for those who've gotten the Jab.
Don't vote if you aren't jabbed. Keep it accurate. https://t.co/Ax9rWWJmEq"	2941630979		1.5965221787022991e+18			
1596533662249525249	"RT @MyGineration: We are apparently paying £770,000 per day to store unusable PPE.
WHY?
if it's unusable WHY ARE WE STORING IT????"	1277740466			1.5960629175893524e+18	['41312616']	
1596533662476283904	Pneumocystis carinii-An organism that causes pneumonia in immunodeficient individuals, such as people with AIDS.	1587450955557179396					
1596533662459498497	RT @DrJohnB2: Multifocal Necrotizing Encephalitis and Myocarditis after BNT162b2 mRNA Vaccination against COVID-19 : https://t.co/BAcZhxm1b…	1469578052380282881			1.5965257153100677e+18	['1400013985202704385']	
1596533662279163904	Ghana in the Global playstore watching the update pending animation https://t.co/5kRPpXL4e2 https://t.co/4AG2FC0PPg	1104738162532909068		1.596232279562625e+18			
1596533662954455041	@marklunn123 @SpartaJustice It’s not a vaccine. Prove me wrong?	1365483978744995841	19355617.0			['19355617', '1576104206531960832']	1.5964823182517453e+18
1596533664812216320	RT @DrEliDavid: Little known fact: N95 masks are effective against computer viruses as well 💪 https://t.co/9ibi0Agpk6	1308215803			1.596514708475052e+18	['801203059359678464']	
1596533664938332161	RT @InternetHippo: I think the pandemic was the first time many people were forced to adjust their behavior out of consideration for others…	1150123778258722817			1.596239466779226e+18	['19638752']	
1596533665164845057	RT @idolthv: its funny criminalkook was so afraid after loitering in clubs during pandemic's peak and drunk driving he ghosted his own fans…	1494210702521028608			1.596533118198063e+18	['1558505549003620352']	
1596533665072152578	"RT @KMH777555111: Please consider helping, thank you! 
#dogsoftwitter #RescueDogs #pets #doglovers #AdoptDontShop #FostersSaveLives #FOSTER…"	1214648962491269125			1.5962530272409108e+18	['1467231186359668737']	
1596533665726881792	RT @JedediahBila: If the “vaccine” were safe and effective, they wouldn’t have needed to mandate it to try to force you to take it.	1386891684412338177			1.5965212694739804e+18	['60680268']	
1596533665663963137	"@RonnyJacksonTX The C19 vaccine is just as harmful and advocated, even forced by the CDC, Biden, Fauci...and others.
Proof 👇
Covid Vaccine Scientific Proof Lethal
https://t.co/ptFav5LoPQ"	1577307002	1.2019534030998938e+18			['1201953403099893760']	1.595624336043479e+18
1596533666011750402	"RT @premnsikka: UK restaurants going bust at a faster rate than during the pandemic as masses lack disposable income.

Yet govt is inflicti…"	1199580775			1.5946269500977725e+18	['2461924214']	
1596533666536370177	RT @PeacockFlu: Over the past few months something interesting has happened with the evolution of SARS-CoV-2 - rather than discrete clonal(…	970596409975156737			1.5964926725538693e+18	['441328915']	
1596533666842566663	RT @patriotmary4: A Government that Makes A Vaccine Mandatory..  Without NOT knowing Adverse Reactions  Is NOT A Government For a Republic.…	1453657842846683136			1.596531069855142e+18	['1520465227183276034']	
1596533667106807809	"@Ruth45080116 I passed on the flu vaccine at my doctor's office a week before I left because ""I never get the flu"". Looks like that streak finally ended.😬😯🤣
I am feeling much better now."	828997344477663232	1.3932215818124739e+18			['1393221581812473857']	1.5965223531182244e+18
1596533667333300224	"RT @Emer_OToole: If this madness continues, children are going to die here this winter. I believe that.

My asthmatic 1-year-old had pneumo…"	3317309857			1.5959852811187814e+18	['1347183613']	
1596533667765145602	RT @calgarylady: @vgclements1 Most of the illnesses come from vaccines. The Spanish flu was just a vaccine experiment gone wrong. It was on…	747854342334480385			1.596519914688639e+18	['16480319', '747854342334480385']	
1596533667991793665	Here comes another scamdemic https://t.co/QXYQVEJwFk	1420028126650851341		1.5965133653539717e+18			
1596533668889366528	"RT @toba: Tell your rep: NO on SJR63 (a joint resolution ENDING the declared National COVID Emergency)!

Terminating this declaration could…"	2812369343			1.596299453459501e+18	['11154512']	
1596533669090709505	RT @jenniferzeng97: At Xihangangang Gezhouba community in #Chengdu city, #CCPChina, the residents removed the iron fence and walked out of…	417027706			1.59648689086097e+18	['2313027666']	
1596533670046830593	RT @_stevenrod: No it’s because one threw for 4283 yards and 43 touchdowns in a pandemic	1422002109495578624			1.5965274803448054e+18	['164079093']	
