tweet_id	text	author_id	in_reply_to_user_id	quoted	retweeted	mentions	replied_to
1596302127533629440	I hugged my Aunt Eunice and my Uncle Eddie today for the first time since before COVID-19. I have lived with a secret fear that I would see them next at one of their funerals. Eddie is my dad's baby brother.	15925432					
1596302127642861568	"Short thread, but really good. 
Great comments too. https://t.co/ONuoWdtVW7"	1521300016651984899		1.5962172445684163e+18			
1596302128364261379	"RT @MyBoxerLuvMac1: 💔Picante💔
#NYCACC #157114 4h
▪️To Be Killed: 11/29💉
▪️Pneumonia
▪️Can be killed anytime if cond worsens!
Sweet girl's 💔…"	1153720297515868160			1.5962329779308544e+18	['1214648962491269125']	
1596302129022799872	RT @RisetteMD: Just remembering one of the saddest moments in my life was when, at the end of a three week stretch working during the Delta…	71654435			1.5958477944677827e+18	['1549164560204038144']	
1596302129664491521	"RT @hugh_mankind: ""Very, very, very, very safe. They're safe as any vaccine and may be safer than many."" 🧐

-Dr. Oveda Fuller, FDA Virologi…"	210140254			1.596184107947524e+18	['256057148']	
1596302130335326209	RT @TheRickyDavila: What I find fascinating about Hunter Biden is that slumlord Jared Kushner was paid $2B for selling them intel whilst al…	31340927			1.596239080152408e+18	['341190477']	
1596302132013330432	RT @RobertKennedyJr: The death last year of a 14-year-old Irish teen 3 weeks after he received Pfizer’s COVID vaccine has sparked a “consid…	1527237956993712128			1.596242318792614e+18	['337808606']	
1596302132042665984	Have you looked at the infection fatality rates? Covid was never a public health emergency. Survival rates remain off the charts. https://t.co/pWbyF27OXf	1404448623698583563		1.5962625265594286e+18			
1596302132797669376	RT @Eric_Schmitt: Another tidbit from Fauci depo: In Feb ‘20 he emailed a friend advising her masks were ineffective. Confirmed again on Ma…	849086412481863680			1.5961731857830707e+18	['101852818']	
1596302133867196419	#China experienced 30,000 new #COVID cases on 23 November in #largest_outbreak, #lockdowns imposed across the country now threatens 3global_supply_chains and weaken #world_economic_growth https://t.co/01NVVT14L4 - CHINA'S COVID RULES A THREAT FOR ALL	2857747237					
1596302134282108929	RT @CEOAdam: Unconfirmed press reports that Amazon will release movies theatrically in 2023 made my Thanksgiving a great one. I hope yours…	60987295			1.595700812864422e+18	['399216451']	
1596302135087419392	RT @ABrokenBattery: Highlights Baroness Brinton speaking at the Long Covid debate in the House of Lords 17 Nov 2022. She describes a study…	2896665965			1.5957179181589832e+18	['904701759058305024']	
1596302135636934661	"RT @MeetJess: We have to realize that 2019 life isn’t coming back. COVID will be with us for many years. 
« Living with it » for me means f…"	834928236001886208			1.5962674021359985e+18	['312412918']	
1596302135964368896	"RT @smc429: Dr. Jerome Adams is ""struggling"" since working for Trump as Surgeon General.
What did he expect would happen when he lied to an…"	196202006			1.5961628650979533e+18	['23554832']	
1596302136509243392	RT @KimDotcom: The #DiedSuddenly documentary creates a panic amongst the propaganda media which has sold the Covid vaccines 24/7. That’s gr…	2218343029			1.5961710505467617e+18	['611986351']	
1596302136794832898	RT @newscientist: Promising universal flu vaccine could protect against 20 strains https://t.co/j8LpcdF0gG	35930386			1.5963015157021164e+18	['19658826']	
1596302137062932480	RT @dailyhaechan: haechan was quarantined &amp; recovering from covid when the preparations for tds2 meeting took place 🥹 https://t.co/y6kprvdO…	3282309432			1.596130533918081e+18	['984773738926256138']	
1596302137205850112	RT @LawMike: I'm A Celebrity thrown into chaos over Covid outbreak in campsite ahead of final - more theatrics to reinforce the agenda… htt…	1215236300317609988			1.5961298003969966e+18	['2891904027']	
1596302137247428609	RT @InternetHippo: I think the pandemic was the first time many people were forced to adjust their behavior out of consideration for others…	1534644462583832576			1.596239466779226e+18	['19638752']	
1596302137658687488	RT @TheDAGWOOD13: RED ALERT: New WHO pandemic treaty in final stages, would overrule the US Constitution and unleash medical dictatorship,…	1528545975966523393			1.5960101790025114e+18	['1542669006645080064']	
1596302137843032064	RT @jsolomonReports: Watch:  China sees another record for Covid cases  | Just The News https://t.co/V2HXJFf9ej	532793173			1.596297203362173e+18	['523248016']	
1596302138350641152	RT @thevivafrei: Go to hell, Pete.	109544270			1.5962907409041572e+18	['96906231']	
1596302138673860608	RT @bees_oz: @SofiaAnnieW @ABCmediawatch @RACGP @abcnews @BreakfastNews Please remove Bennett from all broadcasts for disinformation. This…	504144034			1.596290333436162e+18	['1244104702788165635', '2357945628', '23046015', '54737188', '2768501', '16463397']	
1596302138594021379	RT @ScottAdamsSays: Unlike American oil that causes climate change, this Venezuelan oil is green as can be. Some say it cures Covid when ru…	2935088015			1.5961514703025848e+18	['2853461537']	
1596302142528274432	RT @UntoldbyTerry: Covid has stripped our immune systems. That’s why the flu and RSV are rocking the fuck out of ppl.	1209757608			1.5950661645475635e+18	['1516878340933795840']	
1596302142796709888	RT @TheRickyDavila: What I find fascinating about Hunter Biden is that slumlord Jared Kushner was paid $2B for selling them intel whilst al…	151521926			1.596239080152408e+18	['341190477']	
1596302143283408897	"RT @Susiemagooziee: BILL 36 in BC Canada, will make COVID-19 Vaccinations MANDATORY permanently, for all healthcare staff.

#RIPBCHealthcar…"	1348704939611197441			1.5960038044321833e+18	['829879817180901376']	
1596302144201580545	@pulte Mine are always on too. $Tforever917 . im in the hospital for pneumonia and the flu . i could really use some help.. And im a single mother.. 😥	1473097598101766149	25029495.0			['25029495']	1.596301386282664e+18
1596302145237946368	RT @ztisdale: @CTVNews Well yeah, he spread vaccine misinformation. He said they were safe and effective.	1518717146603433989			1.5962532514014044e+18	['50800784', '203123011']	
1596302145565102080	RT @haveigotnews: As I’m a Celeb! Is rocked by a Covid outbreak, Matt Hancock says he knows someone who can source PPE for just 29 million…	4858269533			1.596112656355795e+18	['125370749']	
1596302145598390272	RT @Eric_Schmitt: Another tidbit from Fauci depo: In Feb ‘20 he emailed a friend advising her masks were ineffective. Confirmed again on Ma…	1532550654094462978			1.5961731857830707e+18	['101852818']	
1596302147142008834	RT @GoodLawProject: Documents revealed in our litigation showed civil servants saying they were “drowning” in bids for Covid contracts that…	515981577			1.5957305732004454e+18	['818455148271964160']	
1596302147859144705	@EricMMatheny You didn’t pay attention in class Eric. The idea was that in many cases it would mitigate the effects of Covid and that may have saved many lives. You may not believe it but at least we’re still here to debate it.	1516877090611675139	2730264319.0			['2730264319']	1.5962629977896387e+18
1596302148220116992	RT @black__dubIiner: if your parents didn’t vaccinate you as a baby who was born during the “vaccines cause autism” media frenzy, it’s neve…	78135684			1.5961385313022935e+18	['823384899449212933']	
1596302148316418049	RT @SolNataMD: I remember how 2 years ago we almost had no flu 😷. Then society got poisoned by disinfo that masks r useless &amp; vaccines r ha…	39926518			1.5961496493284557e+18	['825922405453402115']	
1596302148828020737	RT @EricMMatheny: You were told if you got these vaccines you weren’t going to get covid. That the virus stops with the vaccinated. If you…	1257036568541515778			1.5961510243180257e+18	['2730264319']	
1596302149168037888	"RT @ChirpyChet: @GOV2UK I mean you couldn't make this up:
PPE Medpro declines to say how it would repay millions if told to do so 

For the…"	1212371718213267456			1.5962972708611072e+18	['1494799852571607040', '1344256277518692354']	
