tweet_id	text	author_id	in_reply_to_user_id	retweeted	mentions	replied_to	quoted
1596545935722553349	RT @RobertKennedyJr: Yes, we do! “We all deserve to know how involved Dr. Fauci was in the censorship of the American people during the COV…	1430915299075936258		1.596151300798165e+18	['337808606']		
1596545935852867585	RT @HackedOffHugh: « In total, the Government has written off £8.7 billion worth of PPE that is unusable, has passed its expiry date, or wa…	2480016410		1.5962501084331459e+18	['914588454']		
1596545936297447424	RT @jordanbpeterson: Can't the pharmaceutical companies do their own goddamn advertising?	760560572		1.5964838459933778e+18	['95092020']		
1596545936381005824	RT @Xx17965797N: Official UK document from the Ministry of Health reveals Convid never existed. This now being the case means the masks, lo…	1325679989396660224		1.5964351920208773e+18	['1552407495255199745']		
1596545936557326339	RT @roller2426: Covid or Flu.. ahhh.. doesn't matter. https://t.co/b449l58kvw	817119992101662725		1.596375035736109e+18	['1547146050859053056']		
1596545937467265024	RT @toadmeister: Dr. Angus Dalgleish, a Professor of Oncology, wrote to Dr. Kamran Abbasi, the Editor in Chief of the BMJ, to alert him to…	1570467307851337728		1.596542150342316e+18	['18809812']		
1596545937622863872	@prakashraaj @akshaykumar @RichaChadha Btw Prakash just tell me, how much funds you've donated during covid? Akshay Kumar did.. not only to BMC or Maharashtra Govt but he did to Indian Govt. You Prakash have been using we public to watch your movies but what have you returned to society in time of need #Justasking	790857608970153984	141527741.0		['141527741', '31348594', '207888272']	1.5961897249089782e+18	
1596545937802936321	RT @CsiHawkins: Did Musk combine Starnet's sportsbook patents in a Trudeau program of body-count games? On 'Vigilant-Guardian' 9/11, did Tr…	1291373946806378496		1.5963613986654822e+18	['1022728507967725568']		
1596545937807065089	"RT @david_r_morgan: What I'd do on my first day as Prime Minister.

1. Declare the WEF a terrorist organisation
2. Repeal amnesty for vacci…"	2920097591		1.596326117668946e+18	['1108431749820882947']		
1596545938125770752	RT @InternetHippo: I think the pandemic was the first time many people were forced to adjust their behavior out of consideration for others…	2771264804		1.596239466779226e+18	['19638752']		
1596545938411368450	RT @RealJamesWoods: Please participate in this poll if, and only if, you were vaccinated for COVID-19. Whether you had one or more boosters…	943126987610165251		1.5965221787022991e+18	['78523300']		
