tweet_id	text	author_id	in_reply_to_user_id	quoted	mentions	replied_to	retweeted
1596506988401524736	Feature it on @NftsJunggle https://t.co/MudTQ8X0lm	1582028793702514688		1.5965067352331796e+18	['1482230417583644673']		
1596506988556558337	"@wrytings @CityNewsTO @JoannaLavoie Anger good. Welcome to the party!

But remember a pandemic response is apolitical unless the politicians and media make it one. Target you response where it belongs."	101080191	1.4788182022516367e+18		['1478818202251636740', '12993222', '17182152']	1.5965059737698632e+18	
1596506988413755392	"So you don't want to wear a mask because you're tough 🤣🤣🤣🤣🤣🤣 that doesn't make you tough it makes you weak and selfish. 

Thread by @healthyheating on Thread Reader App https://t.co/B84ytEPPXy"	3309350937			['63217258']		
1596506988795543552	RT @JaroGiesbrecht: Prime Minister @JustinTrudeau today dismissed claims that police in Ottawa were on the verge of executing a plan to cle…	1176112850454142977			['807787995940036608', '14260960']		1.5963333742345708e+18
1596506988820959232	RT @TheRealTBone: Next time I get you booked on @StephMillerShow, I have one small request…	831606285086900225			['38721398', '80944550']		1.5963410306677637e+18
1596506989064228864	RT @Aliyah73607185: @PeterboroughCC #MuhammadQasimDreams 5 May 2020 - The collapse of the world economy due to Covid 19. Fact I: 8 June 202…	1525267245546745856			['1295723253118492678', '76591376']		1.596496551727485e+18
1596506989143670788	"RT @sailorrooscout: Them: The COVID-19 vaccines don’t work. The majority of hospitalizations/deaths/infections are fully vaccinated. 

Me:…"	39329923			['3140868280']		1.5961740736120914e+18
1596506989324292097	RT @HusnainYaqoob10: If we do not occupy the Houses of Allāh for prayers (in particular Fajr/Isha), then like the Churches they will close.…	1393887169006112771			['1212831893424459776']		1.5964241608754504e+18
1596506989198462976	"The people who saw this disaster unfold went on to protest.

The protests had an effect, as the the Xinjiang government announced to ease the COVID lockdown.

The people ""low risk"" areas will be allowed to leave their homes for some periods per day... https://t.co/W3P2uNkf6d"	1377590686032277510	1.3775906860322775e+18			1.5965069849830031e+18	
1596506991111049218	RT @backtolife_2023: A teenager who was given the Pfizer COVID-19 vaccine died just three weeks later, an inquest has been told. The death…	31579226			['1109532876310302721']		1.5965011999809987e+18
1596506991240704000	RT @Windoctorx: Twitter &amp; Elon Musk should stream scientists from both sides stating their arguments on Covid Vaccines and let THE PEOPLE d…	905865959772229636			['909879719734251521']		1.596488181473579e+18
1596506991412879362	RT @WritesBright: The government has written off £8.7 billion in PPE that can't be used or was bought at inflated prices – almost exactly t…	47573765			['2737003958']		1.5964935147619656e+18
1596506991614386176	RT @_StareDecisis: People are now aware of the #Depopulation agenda of genocidal maniacs using #Covid19 scam and #DeathShots. If you still…	883776703595663362			['881157653011075073']		1.5964884851117957e+18
1596506993639956481	"RT @DiedSuddenly_: After the release of #DiedSuddenly, the Health Organizations have been forced to respond. 

Their response? 

It’s not t…"	1587252949004214272			['1577761560394665984']		1.596231410502738e+18
1596506993623453697	"RT @CournanJane: Did you forget to mention they let people burn alive after locking them in a burning building in an effort to ""contain"" a…"	1586211409351909379			['1479559015856316417']		1.5964846868761272e+18
1596506993728315392	RT @HSECommHealth1: COVID-19 Dose 1, Dose 2, 1st, 2nd and 3rd boosters vaccinations will be available to eligible cohorts at Mohill Primary…	103819575			['1249996933080461312']		1.5961612811066286e+18
1596506994751733763	RT @Harmindarboxoff: #SRK's #Pathaan teaser is the biggest success on YouTube for a bollywood movie in recent post pandemic times	1595111585550589953			['1421503989091246086']		1.5965028287089418e+18
