tweet_id	text	author_id	in_reply_to_user_id	mentions	retweeted	quoted	replied_to
1596430108180578304	@CTVNews You mean the missinformation that the vaccine prevents transmission (it doesnt) or that it prevents getting infected (it doesnt) ... is that the missinformation hes talking about?	2959211381	203123011.0	['203123011']			1.5962480037650596e+18
1596430108457570304	RT @bemy10velyjay: Please canceled schedule in China and bring WayV back to Korea before Beijing was 100% lockdown and can't take the retur…	3024653299		['731900980862705664']	1.5964106757602222e+18		
1596430108411441157	RT @bemy10velyjay: Please canceled schedule in China and bring WayV back to Korea before Beijing was 100% lockdown and can't take the retur…	1015796531926978561		['731900980862705664']	1.5964106757602222e+18		
1596430108990255106	RT @bemy10velyjay: Please canceled schedule in China and bring WayV back to Korea before Beijing was 100% lockdown and can't take the retur…	1954247652		['731900980862705664']	1.5964106757602222e+18		
1596430109103177729	RT @bentv_sh: China's epidemic prevention has been upgraded again. Starting from the 26th, Tesla's Shanghai factory has undergone nucleic a…	2693713662		['735545167']	1.5963043214232125e+18		
1596430109594058752	"RT @CMO_England: The 'flu season has started with hospital admissions rising, especially in children and the elderly. 

If you are eligible…"	775744029757702146		['1178622443814084608']	1.5961197690020045e+18		
1596430109824745474	"RT @WistfulCass: No wonder Dido Harding &amp; John Penrose are grinning from ear to ear 😠 

Only she (and probably 'they') know what happened t…"	26261563		['372805464']	1.5962131001470525e+18		
1596430110680391681	"RT @fitterhappierAJ: For people saying post-viral illnesses existed before Long Covid:

Of Course. But the changes in Long Covid are unprec…"	1419394448430145540		['88589013']	1.5961955019967447e+18		
1596430110596689921	RT @CounsellingSam: When we clapped for #nurses who would have thought we'd be here now, with the Health Secretary betraying them? They sav…	1127187787147616256		['1291302591184461824']	1.5964139258009682e+18		
1596430110739021825	RT @LetsGoBrando45: This is your brain 🧠…. This is your brain on the vaccine. https://t.co/LiyhLRlYgb	238585636		['1518644583109910528']	1.5963555287409623e+18		
1596430111892381696	"RT @mjavinod: 👇 A brand to remember
A brand to avoid like plague or #COVID19 
As insensitive as #RichaChadha https://t.co/C2X6r0EwZP"	1527253267126046720		['1129737385837715456']	1.5963232439712154e+18		
1596430113373143043	RT @BobWilk73230025: If you need a jab to be protected against the virus, and a jab to boost it, and another three jabs to boost those, but…	1587956504984010754		['1528966033284993026']	1.5963707276949176e+18		
1596430113671118848	"RT @danaparish: What is he talking about? 

Reported for disinformation."	845785991910584320		['89243448']	1.5949577160780677e+18		
1596430114350301185	"RT @DrJohnB2: Age and sex stratified incidence rates for 15 adverse events of covid-19 vaccines in eight countries:
https://t.co/oKaragWay4…"	1366113960194408451		['1400013985202704385']	1.5961824083738993e+18		
1596430114707103745	@MargaretOGorm12 Lime .. I asked for a slice of lime in my Corona in my local 🤦🏻‍♀️🤣	48961005	1.2144604848811295e+18	['1214460484881129472']			1.596225226056282e+18
1596430115147501569	RT @ChinaUncensored: More Covid protests https://t.co/6zyhZhx23R	1267760190725685248		['833100331']	1.5961151268093993e+18		
1596430115193651201	"RT @LongCovidHell: A 5yo boy has died of pneumonia due to a lack of resources.

Doctors are concerned about the unsustainable pressure on c…"	1362029442881769479		['1225382429080391680']	1.5964257602352046e+18		
1596430115403358208	RT @bemy10velyjay: Please canceled schedule in China and bring WayV back to Korea before Beijing was 100% lockdown and can't take the retur…	1208759548967673856		['731900980862705664']	1.5964106757602222e+18		
1596430115382398976	I have covid (does a lil dance to cope)	1320572890735988736					
1596430115839578114	RT @PierreYDurand: Belgian aid worker #OliverVandecasteele was arrested in Iran last February on charges yet unknown. He’s being held incom…	1143843517938245632		['945706076607000576']	1.5682099326541537e+18		
1596430117215125506	China Xinjiang: Urumqi rocked by Covid lockdown protests after deadly fire https://t.co/5SdI7UuLTz	1567187424630939648					
1596430117374668800	RT @YX_yangyang_YX: Please canceled schedule in China and bring WayV back to Korea before Beijing was 100% lockdown and can't take the retu…	212914223		['1014830232849666048']	1.5964230203480842e+18		
1596430117429215233	RT @RachelSmethers: LEAKED: The Conservative politicians who referred companies to the PPE 'VIP lane'. No wonder they wanted to keep this c…	1271873179896725504		['3077557533']	1.5959224802454774e+18		
1596430117630509056	@ReesiePeacie I feel you! It feels terrifying to not know what will happen next while living with long covid. Sometimes I feel alone because I haven't met other young people that still takes the pandemic seriously. The only thing that I can do is keep masking and have hope. Send u love	1135633389548113920	9.29063291531309e+17	['929063291531309056']			1.596383325278466e+18
1596430118419058688	RT @johnnydubb1: This is what Mr &amp; Mrs Jeremy Hunt wanted here, &amp; no doubt still do.	1213426644108505088		['1189540202072682498']	1.5964267982080287e+18		
1596430119241154560	RT @juistheju: Please canceled schedule in China and bring TEN back to Korea before Beijing was 100% lockdown and can't take the return fli…	1175288307019702274		['4743145646']	1.5964192615847936e+18		
1596430119870111745	"@FoxNews Lets just take facts. First lets see how small virusses are 50 nm to 140 nm (Covid). They have no mass and float around everywhere. They don't need ""droplets"" to spread so masks preventing 300nm will not keep them out as you should know by now."	1147527897252544512	1367531.0	['1367531']			1.596295179870548e+18
1596430120595718150	"RT @i_nautilus: Questions a sane person might ask: ""Why can't money wasted on useless PPE not be refunded? If it's faulty or not fit for us…"	3266673671		['153490014']	1.5964086592731382e+18		
1596430121258606592	u can tidy your hair and wash your hands, and by that tim       https://t.co/fRhmyKt9c4	1403654496610181121					
1596430122047115265	RT @HackedOffHugh: « In total, the Government has written off £8.7 billion worth of PPE that is unusable, has passed its expiry date, or wa…	385059087		['914588454']	1.5962501084331459e+18		
1596430122067935232	"RT @WallStreetSilv: A new quarantine camp is being built in China's Guangzhou city and designed to detain 87,000 people. 

If authorities s…"	1541508024329814017		['1366565625401909249']	1.5958062644869448e+18		
1596430122340339713	"RT @premnsikka: Baroness Mone's £22m from PPE contracts is the latest example of political sleaze.
List is endless - cash for honours, poli…"	1264574066750562305		['2461924214']	1.5962041550432133e+18		
1596430123582226432	"RT @woehrlejill: BOTH DEAD FROM PNEUMONIA
I yr old Mulan Died today after suffering for weeks at NYCACC
NO EXCUSE FOR NOT GETTING THIS DISE…"	1235055517619216385		['703375133617086465']	1.596397955120255e+18		
1596430124152655872	RT @JamesMelville: “It’s pretty clear young people don’t get sick from the disease very often…we probably, if we knew what we know today, w…	80125598		['20675681']	1.5964283683914793e+18		
1596430124416737280	RT @Roni56248402: @kelvmackenzie 12 years of Tory austerity have brought nurses to this. They’re not heartless, just realistic. They risked…	139664221		['1254054380548038656', '3037892906']	1.596412910812926e+18		
1596430125805232128	"RT @DrJohnB2: ""COVID-19 vaccination may be associated with rare cases of the development of keratitis ... Physicians should be aware of the…"	908305949198340096		['1400013985202704385']	1.5398803349254636e+18		
1596430125935087618	"@trundismemberer @ResistEvil4806 @UnchainedCub @Zephyrblue415 @alexmeshkin Ridiculous. On that basis, covid-19 infection and every other pathogen you're exposed to on a daily basis alters your DNA.
Keep stretching! 😆 🤣 😂"	1194357719714738177	1.583697458445529e+18	['1583697458445529088', '1443365288192397313', '1364341939865329664', '1322611026', '17250666']			1.596382026575532e+18
1596430126509879296	"So, after the anti vaxxers have terrified you into not getting vaccinated, when you get vaccinated the side effects you will suffer are from being too scared to get vaccinated! 

Oh my god ha ha ha 😂😂😂 https://t.co/xuTIrbpGNV"	1139092998				1.596231410502738e+18	
1596430128451559424	@PerKlausen5 https://t.co/kyCb5Nhaqo... just anoter moron tweet.	1499308676	1.1291081354263716e+18	['1129108135426371584']			1.596133704866599e+18
1596430128824844291	RT @JamesMelville: “It’s pretty clear young people don’t get sick from the disease very often…we probably, if we knew what we know today, w…	1536431545		['20675681']	1.5964283683914793e+18		
1596430129009393665	RT @paulfrewDUP: Out of this 4738 only 2735 were over 18 and could avail of the vaccine certificate if they had wanted to that is. The week…	1278014090		['1242407754']	1.5960714467026207e+18		
1596430129395212288	RT @TheQuint: In a major overhaul in about six decades, the central government decided to revise the Prevention of Cruelty to Animals Act (…	1549975710017941504		['2982269822']	1.5964268804960748e+18		
1596430129328451584	RT @JayneZirkle: Following deadly fire in building where residents were locked in due to the CCP’s Zero-Covid policy	17361088		['1073773247743836161']	1.596425233812312e+18		
1596430129722707968	RT @DavidGr07837209: ABC Election Broadcast and ABC staff are suggesting Labor is losing votes because of its pandemic response - without e…	4303485095		['1191855827667128320']	1.5964141156980818e+18		
1596430130435751938	RT @CorneliaBeeking: Richtig. „Breathtaking“	4053727697		['43695552']	1.5964240522095903e+18		
1596430130674794496	"RT @BladeoftheS: Matt Hancock 40,000 killed in Care Homes.
£2,500,000,000 spent on useless PPE in his VIP lane which gave out profit to his…"	1484792482940571651		['1455903807389458436']	1.5964061191356948e+18		
1596430131022569473	RT @ChrisFi65328659: Lessons to be learnt from South Africa  15-20% vaccinated no one talks about the COVID all has been open a long time a…	796464529907519488		['1465951739551621122']	1.596402143673598e+18		
1596430131215863808	@LayahHeilpern I’m all for vaccines but not when people are purposefully told lies, packaged as “science” to make them consume them.	1097614234614226946	1.097614234614227e+18	['455937214']			1.5964296341151457e+18
1596430131471556608	@Ettel_wen Look, Ireland shut down the whole everything over covid, life stopped, you could imagine what they’d be like even even on bullet flew.  Life carries on. If you can make life even a little bit bearable through the unbearable that says a lot about your spirit and character.	893571681524088832	1.226432762103636e+18	['1226432762103635968']			1.5964123987974554e+18
1596430131765342209	"“What you fear, you attract, what you face, disappears”

Just sayin’ https://t.co/Xyr6Lmejme"	2726959474				1.344413348155302e+18	
1596430132583239682	RT @hutch__man: £Billions of unusable PPE being stored at almost a £million a day. Why? Either burn it or send it to a country that can! Wh…	1509818361861095457		['251241037']	1.5961109833484861e+18		
1596430133019045888	RT @David__Osland: Some people are more angry with nurses for going on strike than they are with Michelle Mone for selling nurses defective…	31374288		['3407247983']	1.596149201657688e+18		
1596430134009303040	RT @JennyTa22393082: If Dan gets in you and your kids will be forced jabbed with who knows what, and your children will be taken away to qu…	1424555255547654148		['1517306589748903937']	1.5962678738442322e+18		
1596430134349033472	"RT @Grouse_Beater: Mone Snookered

Medpro given huge equipment (PPE) contracts, after an introduction by Tory peer Mone, has declined to sa…"	723105665611370496		['2971636169']	1.5962685439388262e+18		
1596430135229489153	RT @BBolander: walgreens vaccine webpage giving me fucking riddles when all i want is a booster https://t.co/TqP6Caqqkh	574372450		['84966500']	1.5962159150788977e+18		
1596430135699591169	RT @GoodLawProject: We’re proud to have been involved in uncovering the PPE VIP Lane – and we’re continuing to press for transparency on ho…	938315586689556481		['818455148271964160']	1.5961825810198077e+18		
1596430138417483776	Raw material prices surge as pandemic supply disruptions are compounded by war in Ukraine	1529045301364940800					
1596430138656587781	If you read one thing on here today, make sure it’s this. Fantastic 👏🏻 https://t.co/kO1EBm2VWG	49655897				1.5958698356233748e+18	
1596430139302125568	RT @staleylab: This work from lead by Yi Zeng has found a great home @MolecularCell. If you're interested in branch-points, timing of splic…	1130235845712195584		['782982204896993280', '1345385060']	1.5962462038383944e+18		
1596430139344228352	"RT @songpinganq: https://t.co/EWU4ofUo8N

Chinese health workers are checking these COVID detainees's body temperatures in a quarantine cam…"	2974315713		['1374317368361447434']	1.5950673580869222e+18		
1596430140233244672	RT @neilgibbons: England aren't playing badly. This game is simply the result of global factors, not least the effects of the pandemic and…	1683892428		['28197128']	1.5962430017347502e+18		
1596430140744953856	RT @carolvorders: 'Lady' Mone broke Lords' code &amp; was seemingly involved in fraud while nurses &amp; doctors slaved all hours to save people in…	1098290415810342913		['175420754']	1.5955579152843653e+18		
1596430140699185153	RT @bemy10velyjay: Please canceled schedule in China and bring WayV back to Korea before Beijing was 100% lockdown and can't take the retur…	1592553626962366465		['731900980862705664']	1.5964106757602222e+18		
1596430140895944704	RT @haechanprints: haechan in quarantine when they had a meeting for the tds2.. https://t.co/hWphhBRZPo	1167004473064976385		['1385532826762706947']	1.5961301468758917e+18		
1596430141160583169	"RT @DrJBhattacharya: ""Emily Jo was never warned of the myocarditis risk or informed about the risk-benefit profile. “When I took Aiden to g…"	1518756088308371456		['1427361863830949908']	1.596200183297024e+18		
1596430142255288321	RT @paulfrewDUP: This time last year ⁦@healthdpt⁩ put out misinformation which media spread without checking. They said there had been a SU…	1278014090		['1242407754', '296260628']	1.596070537482031e+18		
