tweet_id	text	author_id	in_reply_to_user_id	quoted	replied_to	retweeted	mentions
1596500638564843520	Can California avoid third devastating COVID-19 winter wave? https://t.co/PNvowETDc2	285748320					
1596500639223513092	RT @MohdShukriYajid: A nostalgic return with MSU team to Brunei after almost 3 yrs. Looking forward to refresh efforts temporarily halted d…	753448382778126336				1.5964220897074872e+18	['68570845']
1596500639861067776	"RT @IsaiahLCarter: Problem is, that ""liberation"" involves perpetual compliance with everything the Utopians demand; no matter how nonsensic…"	1263604554110832645				1.5963427692656558e+18	['97000212']
1596500640221609985	RT @Beathhigh: During lockdown I started doing Duolingo. Yesterday I completed my 800th consecutive day. And then deleted the app. The refi…	62305909				1.596367554460586e+18	['38466098']
1596500640938819584	RT @1kilroywashere: @DawnButlerBrent @AnnBattle1 @guardian This 👉ITV News reveals £8.7 billion of losses on PPE in government accounts http…	1143848268				1.5964758973975101e+18	['119806126', '114505454', '375005958', '87818409']
1596500641140330496	RT @bobscartoons: @LayahHeilpern Every single thing that the scientists and politicians had done prior to the 'vaccine' rollout was totally…	1241519613223088134				1.5961564737171907e+18	['118044673', '455937214']
1596500641366839296	RT @jryerson1: This Emerfency Act  Inquiry shows us all what #democracy looks like . Always messy, always better than the alternative. @The…	415920555				1.596495204894511e+18	['1040069642']
1596500641605877762	"RT @DiedSuddenly_: After the release of #DiedSuddenly, the Health Organizations have been forced to respond. 

Their response? 

It’s not t…"	4900801590				1.596231410502738e+18	['1577761560394665984']
1596500642175934464	"RT @EricTopol: Evolution of the Omicron family of variants
https://t.co/UnFls9aXeq by @CorneliusRoemer @LongDesertTrain @PeacockFlu and col…"	589390524				1.5963189253308662e+18	['86626845', '3407623283', '1001011166393585664', '441328915']
1596500642431844352	RT @Derricktgoat: Remember in 2020, when Trudeau/Tam said if we just get 60% of the population vaccinated we could get herd immunity and wo…	1325631341329850368				1.5964901925541437e+18	['1195329078758391808']
1596500643161993218	RT @jeffreyatucker: Incredibly, this is still up! https://t.co/kxDLUTP6II	1586213787690045443				1.5962070723158385e+18	['23485648']
1596500643673669634	"RT @KimDotcom: The vaccines now kill more people than Covid? Look at the EU death numbers for the last 5 months:

155,343 above average dea…"	1431588975278501893				1.5959232960881009e+18	['611986351']
1596500644000542720	RT @docbenjisays: The COVID cases are up. With NCR and Cebu taking the lead, I’d recommend that when you go out you keep those masks on. An…	28081520				1.5964782537239716e+18	['50531898']
1596500644281847810	RT @UnSubtleDesi: Barkha Dutt has the uncanny habit of capitalising on dead bodies. She had done exactly that during COVID as well. At that…	1576515116656644096				1.5964033070563328e+18	['17741799']
1596500645066182656	@waynemullins The Covid lockdowns started right after the first impeachment.	1584582380915924993	23526758.0		1.59624897405875e+18		['23526758']
1596500645451747328	RT @aginnt: China stands up to the new communist COVID lockdowns. https://t.co/VTEIAazxlf	4213686250				1.596197465904005e+18	['184789840']
1596500645850533889	RT @RobertKennedyJr: After analyzing more than 7 years of Massachusetts death certificates, independent investigator John Beaudoin, Sr., un…	1416018517976039427				1.595173745165013e+18	['337808606']
1596500646307500038	RT @EricMMatheny: You were told if you got these vaccines you weren’t going to get covid. That the virus stops with the vaccinated. If you…	1465790680932962304				1.5961510243180257e+18	['2730264319']
1596500646479683586	"RT @WallStreetSilv: A new quarantine camp is being built in China's Guangzhou city and designed to detain 87,000 people. 

If authorities s…"	38280473				1.5958062644869448e+18	['1366565625401909249']
1596500647419019269	RT @SpartaJustice: mRNA NEWS: Two U.S. Doctors state For the first time in my career Doctors are killing patients. They gave them the acade…	996190274				1.596423506644054e+18	['1576104206531960832']
1596500648841056264	RT @WritesBright: The government has written off £8.7 billion in PPE that can't be used or was bought at inflated prices – almost exactly t…	267872975				1.5964935147619656e+18	['2737003958']
1596500649947955201	@nathaliejacoby1 Yes! I still wear a mask in crowded places and the grocery store.	946062993086808064	1.2804787318748488e+18		1.5962491281406812e+18		['1280478731874848769']
1596500650069827586	RT @EricMMatheny: Despite readily available video evidence, I’m shocked that people still deny that they were told: if you get the vaccine,…	1586864533305450496				1.5962629977896387e+18	['2730264319']
1596500650313273344	RT @drsimonegold: In the last press briefing of his federal career, Dr. Anthony Fauci attacked those who refused the COVID-19 injections, c…	1585800666382934016				1.5962870273011876e+18	['806344552718045184']
1596500650279723008	"RT @Roman_Baber: Don't blame Covid  for your or your loved ones':

- late diagnosis 
- surgery canceled 
- depression 
- child's regression…"	1593968768732078080				1.5961271763231293e+18	['3064984647']
1596500650942087168	"RT @kacdnp91: Dr. Malone: Ron Johnson’s COVID-19 Hearings Will Disseminate Left’s COVID-19 Lies And Manipulation

Malone is NOT controlled…"	1405285598110248964				1.5963618553748849e+18	['1180955037301915649']
1596500650783047680	From day 1!!!!! https://t.co/LTIKsJVVbb	1586171892389519360		1.596216988145025e+18			
1596500651244421120	"RT @mark16pg: Vic now goes into a new 12 month lockdown to celebrate re election of Dear Leader.

Sheep are excited.

All public servants h…"	234064602				1.5964857995369185e+18	['982098893348323328']
1596500651890343937	RT @ABC: The omicron variant is driving U.S. COVID-19 case counts higher in many places just in time for the holiday season. https://t.co/j…	37821578				1.596500327242797e+18	['28785486']
1596500651785310212	RT @terrychristian: US Wall street financial experts pointing out brexit as the reason for the weak pound , not Covid or Ukraine https://t.…	3377768921				1.596475356696961e+18	['18063173']
1596500652582133760	RT @HackedOffHugh: « In total, the Government has written off £8.7 billion worth of PPE that is unusable, has passed its expiry date, or wa…	161664878				1.5962501084331459e+18	['914588454']
1596500652825661446	"RT @Arwenstar: “As a film maker, do you support mandatory vaccines on film sets?”

“I support mandatory vaccines. Period.”

Never forget th…"	458173780				1.5962571726395802e+18	['21947445']
1596500653303627782	"China has found that it can use its Covid isolation system for arbitrarily detaining people it doesn't like. 

It won't give that up in a hurry... https://t.co/glDQGppZXp"	921982802169597952		1.5959744876313313e+18			
1596500653471399939	RT @JamesCTobias: After a long #FOIA fight, I just received a bunch of new unredacted emails detailing the Feb 1 2020 teleconference betwee…	22070275				1.5950968883736494e+18	['1944680329']
1596500653731450880	"RT @KendiEthier: #NYCACC
💔Today is KILL DAY 11/26💉
🔹Healthy🐶
🚑MEDICAL🚑⛑️PNEUMONIA🐶 
All need heroes #Fosters &amp; #Pledges r needed to get N.E…"	17792787				1.5964884394779853e+18	['1057717100']
1596500654163656704	RT @David__Osland: If trade unions were in any way responsible for the waste of hundreds of millions of pounds on defective PPE, you bet th…	2728907742				1.5964444234825318e+18	['3407247983']
1596500654067007489	RT @JDMayger: And car travel showing a similar effect, although not as stark. (I’m guessing people find it easier to isolate in cars and al…	21810329				1.596500613608919e+18	['434898720']
1596500654360760321	"RT @DiedSuddenly_: After the release of #DiedSuddenly, the Health Organizations have been forced to respond. 

Their response? 

It’s not t…"	1402903208				1.596231410502738e+18	['1577761560394665984']
1596500654453043202	RT @Iancoll94354676: PPE is a huge scandal waiting to happen. Jenrick announced the imminent arrival of PPE from Turkey on live TV before i…	1100542186733690880				1.5964961273685197e+18	['902620050636595203']
1596500655178670081	"論文
Antineutrophil Cytoplasmic Antibody-associated Vasculitis
after COVID-19 Vaccination with Pfizer-BioNTech
https://t.co/DkvMyud9p9"	898563616915378176	8.985636169153782e+17		1.5965006222617682e+18		
1596500655207862273	COVID-19 and Diabetes | WebMD https://t.co/38s6oQdOC4	4646663235					
1596500655279308801	"RT @Direthoughts: MPs across house condemn what one called ‘sickening, shameful’ disclosures about Covid procurement
https://t.co/JapVLeTKxT"	1036656913675628545				1.5958128902374564e+18	['55370662']
1596500655233171465	RT @chrismartenson: Proof that being rich &amp; famous offers no protection from falling hook, line and sinker for #pharmaganda	1595133864590163977				1.596499069119402e+18	['36442519']
1596500655396769793	RT @TGTM_Official: Xinjiang Urumqi residential building fire, the last words of the victims on the 16th floor before they were burned to de…	1468851097540259841				1.596161933937234e+18	['1500639956737597442']
