tweet_id	text	author_id	in_reply_to_user_id	retweeted	mentions	replied_to	quoted
1596298072828829696	"RT @dockaurG: ""Denial of the truth never leads to a good place. When public health policy is based on a demonstrably false narrative, it is…"	724270662160777216		1.5962978207092244e+18	['4086538637']		
1596298073080467457	RT @alexmeshkin: As I've said since 2020 to Doctors, Friends and Colleagues. SARS-2 damages each person's weakest organs.	876303480		1.5961140950480404e+18	['17250666']		
1596298072384241666	"RT @R_H_Ebright: ""For about a year, scientists who..secretly thought that the virus..escaped from a lab..colluded in telling the media..thi…"	4786238905		1.5962841221120737e+18	['47791337']		
1596298073256652800	@GaryMarcellus @Amymac75 @Concern70732755 They don’t stop transmission! Ugh! What don’t you get…even if she had gotten vaxxed…she still would have gotten Covid and then given it to others. So why would she have to get vaxxed?? Please explain!!!	1518987475972071424	1584734425.0		['1584734425', '1544912271595278337', '1355216628737339395']	1.5962007815770644e+18	
1596298073457954816	@CraginFR @rowanshole @HoardinGordon @duglasmontes86 @BitecoferStan @realDonaldTrump Yea it is.... China virus . Bull crap it's covid19 it's been around for a long long damn time.	1556699592493830145	1.5868872992873554e+18		['1586887299287355392', '2508830144', '2880139191', '1578608591665176577', '1343003543893061633', '25073877']	1.5954756961846026e+18	
1596298073751199744	RT @CrabbBrendan: Omicron continues its enormous toll; 18,671 deaths (17.0%) more than the baseline ave to Aug 31. Actuaries will refine do…	1310642464248729600		1.596253183302828e+18	['2341433004']		
1596298074116468736	"@RonCross_67 @GeorgeTakei @Jordan666Ann Putting on a show instead of doing something for the country??
You mean like Dems concentrating on phony impeachment instead of COVID-19 ?"	1587980512727015425	1.2554662633520947e+18		['1255466263352094722', '237845487', '1228466049151991808']	1.5962586123718574e+18	
1596298074342969345	"RT @thephysicsgirl: Anyone who has/researches #longcovid, what would you want the general public to know about your experience/research?

I…"	710406332		1.596295752820568e+18	['529126022']		
1596298074632388608	RT @Mesnia1016: @TomiLahren What was that about vaccines? https://t.co/kCb5wPlPZK	911360726526189569		1.5959109772828713e+18	['1448309514499932161', '468646961']		
1596298074690723840	"RT @VolumePrintcess: ""Common sense would tell you that if you have a man standing in front of you, telling you he's going to reduce the wor…"	1519371242733809666		1.596260094798631e+18	['1700112116']		
