tweet_id	text	author_id	in_reply_to_user_id	retweeted	mentions	replied_to	quoted
1596435473018540032	RT @Uyghur_American: The girls talk about how they have all been very compliant, that others would have rioted by now but they haven’t, and…	1278345954668630018		1.5961366569599918e+18	['1075435039008219136']		
1596435473379229698	RT @ndTheMainSource: Manufactured deaths = Fear = Willingness to take Vaxx = Actual Pandemic #TurboCancer	18252547		1.5961924925961257e+18	['1402426050341183490']		
1596435473911943168	RT @HectorM14597776: Hello people. I had COVID.23 lol 😂	1587930802700025858		1.5964025174576538e+18	['1482086278912872449']		
1596435475157295104	"RT @guyverhofstadt: Everyone went through the pandemic &amp; goes through the war in Ukraine. 

Ireland is the best, UK worst performer… I wond…"	621958645		1.5953679300275118e+18	['856010760']		
1596435476080386050	RT @IATA: Today's #weeklychart analyzes the divergence in between inbound &amp; outbound travel in 🇯🇵  following the recent relaxation of #COVI…	961945350176235520		1.5964351112803983e+18	['27067896']		
1596435475887104000	"@KristenMeghan Maybe it's just semantics not ignorance 
https://t.co/WcUmDDRC2k"	3025671539	21943222.0		['21943222']	1.5932394515890463e+18	
1596435475967152128	China’s Covid protests grow after apartment blaze kills 10 https://t.co/9VZkUWoupX	1363799331766231040					
1596435476486901760	"@Bill_Swindle @DougKorman I am skeptical about the accuracy of this information. the information that I take as approximately correct is based on who is behind it.
Behind this information, are untrustworthy sources, that have so far shown loyalty to those who started this chaos.
https://t.co/o5bAggCdQD"	1334383344163942400	2385973956.0		['2385973956', '1088063244072337408']	1.5964327072102523e+18	
1596435477711982593	RT @J_K_AU: Victorian Liberals and media outlets have blown it by not backing in the government’s pandemic response. #VicVotes2022 #springs…	931484515		1.596435395767853e+18	['1255711945342115840']		
1596435478408224769	RT @Ericdun19416783: Not once in near 3 years have I heard any reports of covid in Ukraine 👁️👁️	1383140750792200192		1.5964162606986813e+18	['1310661294786318339']		
1596435478919938049	RT @WritesBright: Billions of pounds wasted on dud equipment, funnelled into the pockets of Tory donors, with PPE now costing millions a da…	347810094		1.5961408381653975e+18	['2737003958']		
1596435479054147585	"RT @DrAseemMalhotra: Launch a Public Inquiry into the approval process for covid-19 vaccines

We want the Government to launch a Public Inq…"	1511510885348483078		1.5961530268884787e+18	['472777204']		
1596435479289036800	RT @InternetHippo: I think the pandemic was the first time many people were forced to adjust their behavior out of consideration for others…	353333156		1.596239466779226e+18	['19638752']		
1596435479507144705	RT @Bhagwan79575921: @GovindDotasra COVID health assistant ko noukry do	1594355662456500225		1.596111109349847e+18	['1508268796041400321', '4643150654']		
1596435479821709312	RT @paullewismoney: Tick tock - £770,000 a day is spent by Government storing unused and often useless PPE that’s over £250m a year https:/…	1516675338847326213		1.5964131787660452e+18	['221338206']		
1596435481264525312	RT @eyejosh: @JulianE95250219 @jeanid123 The BBC won’t mention this scandal because No 10 instructs the BBC - and No 10 knows that stealing…	402026873		1.5963150360995635e+18	['59305661', '1471933769049378827', '396011927']		
1596435481700360193	RT @susanarusli3: Hot missionary fuck #6 https://t.co/XkSH6V5TQd #SUSAN #Susana_Rusli #susanarusli #Toronto #StayHome @Tante_eci @vdsx2x @9…	1586978711756148737		1.2655624060062515e+18	['774036632152510464', '1197124362945482752', '832196045555765249']		
1596435482548006913	RT @neilgibbons: England aren't playing badly. This game is simply the result of global factors, not least the effects of the pandemic and…	1362538915404664835		1.5962430017347502e+18	['28197128']		
1596435482661236737	RT @TGTM_Official: Xinjiang Urumqi residential building fire, the last words of the victims on the 16th floor before they were burned to de…	1279774082859282433		1.596161933937234e+18	['1500639956737597442']		
1596435483990573056	"RT @guyverhofstadt: Everyone went through the pandemic &amp; goes through the war in Ukraine. 

Ireland is the best, UK worst performer… I wond…"	18525497		1.5953679300275118e+18	['856010760']		
1596435484603199488	@americadiaspora @atensnut The real downside of covid, is it shows how people will believe anything. Like you guys just flat out believing vaccines are bad even though the data shows they save lives. That’s the worrying thing. It’s the religion of ignorance. You won’t listen to scientists or healthcare	1452982187079446534	1.4529821870794465e+18		['169194976', '22677397']	1.596435245645136e+18	
1596435484850257920	RT @nypost: Huge COVID protests erupt in China's Xinjiang after deadly fire https://t.co/TqPbqmn0BM https://t.co/lsvVJvPWA2	1493379997586784256		1.596434232573776e+18	['17469289']		
