tweet_id	text	author_id	in_reply_to_user_id	mentions	retweeted	replied_to	quoted
1596331542854377475	Biden wastes billions on COVID boosters no one wants https://t.co/bynYUpGUnD via @nypost	4460047580		['17469289']			
1596331543215017984	RT @EricMMatheny: Despite readily available video evidence, I’m shocked that people still deny that they were told: if you get the vaccine,…	1488559848		['2730264319']	1.5962629977896387e+18		
1596331544003874816	RT @CarPatriot1: @waynemullins @Markrroberts21 That was part of it.  They also really wanted to create a Digital ID and Digital Passport.…	1075114367081951232		['1278133843996917761', '23526758', '1075114367081951232']	1.59632431074193e+18		
1596331544972779520	@david_r_morgan Same here, as soon as I heard the word COVID i knew something was very wrong and my bubble  burst seemingly  overnight. I have done nothing but research the past 2.5 years. The lies  we have been told! And finding out more and more .	1519359808482144256	1.108431749820883e+18	['1108431749820882947']		1.5636636841650217e+18	
1596331547065716737	RT @72powpow: 🇨🇳 - 100 million people now back in lockdown https://t.co/l4tvLOdEvL	1577022769543483392		['1480068057447821313']	1.596250355687256e+18		
1596331547535486977	RT @chokinghzard: Making our lil kitten wet and ready for when I'm home later from work is gonna be your job https://t.co/FELCgjDHbj	1396718428543586304		['75726437']	1.5959962683919688e+18		
1596331547564597249	@lilmissspanker I used to see a Dom pretty much once a month before covid hit it took me at least 8-9 vists before I felt comfortable enough to start being cheeky and backchatting her but once I did boy did those spankings feel 100x diffrent to the frist few lol	1134997909769007105	1.2694105277484605e+18	['1269410527748460544']		1.596331134153261e+18	
1596331547963039745	RT @kevin_barnett01: Tory peer Michelle Mone reportedly pocketed £29m of public money for unsafe PPE. The Lords must kick her out of Parlia…	1280426221046763521		['2993887901']	1.5963314546232648e+18		
1596331548290469888	@smoke_nd_pearlz Wasn’t she begging for Covid sperm two minutes ago ? Please stop entertaining birds	1167502597428629504	1.3418435407883264e+18	['1341843540788326410']		1.5963192489760686e+18	
1596331548919623680	RT @black__dubIiner: if your parents didn’t vaccinate you as a baby who was born during the “vaccines cause autism” media frenzy, it’s neve…	1410628932542599169		['823384899449212933']	1.5961385313022935e+18		
1596331548982353922	"RT @songpinganq: CHINA 🇨🇳, Chongqing city

Tens of thousands people taking to the streets to demand lift lockdown today. https://t.co/RBI8D…"	1512234890628145160		['1374317368361447434']	1.596174853266342e+18		
1596331550471512065	RT @AdamFit45249570: @la_kika_ @backtolife_2023 Yep, G20 summit has shown that they are preparing to make Vax ID a permanent prerequisite o…	1577631459866603520		['1316728690194239488', '7851372', '1109532876310302721']	1.596319098937516e+18		
1596331551272603648	RT @drsimonegold: In the last press briefing of his federal career, Dr. Anthony Fauci attacked those who refused the COVID-19 injections, c…	3842335276		['806344552718045184']	1.5962870273011876e+18		
1596331551507513346	RT @Honeyjoo09: Jooheon is your work from home husband earning 6 digits monthly. So he do wierd stuff at home and waiting for u to proudly…	762634595263053824		['1498453976173654016']	1.5960779681197056e+18		
1596331552664965121	I miss covid lockdown it was such a fun time for gaming 😭	928338176963424260					
1596331552945934336	RT @hodgetwins: Covid and the vaccine push showed us that the corruption is off the charts.	1417828559763161096		['18584875']	1.5963183104417915e+18		
1596331553172631552	RT @AgnusMunshin: Scott Morrison has confirmed he baptised and circumcised himself during the pandemic, as a necessary precaution.	943328498		['1468961041']	1.596020182547583e+18		
1596331554342866944	"RT @KimDotcom: The vaccines now kill more people than Covid? Look at the EU death numbers for the last 5 months:

155,343 above average dea…"	1567287154027515905		['611986351']	1.5959232960881009e+18		
1596331554544193537	@POTUS I was vaxxed and got COVID twice this year. Someone I know who was not vaxxed also caught it and recovered faster than I did. No more boosters for me.	1300209807719358466	1.3491490969096684e+18	['1349149096909668363']		1.5961869569787167e+18	
1596331554728710144	RT @Gailpol86986932: @NMBewitched @RonanFarrow All good questions - they have a pneumonia epidemic.	2222378376		['1396099268314902529', '939208429394051072', '340613443']	1.5963257433359647e+18		
