tweet_id	text	author_id	in_reply_to_user_id	retweeted	mentions	replied_to	quoted
1596535254587932673	RT @chantz_y: For the folks who don't care about the needs of the immunocompromised because that doesn't include them, I have some bad news…	627524667		1.596347060969943e+18	['18178850']		
1596535254579220480	"RT @Kathmarval: @HickieMd @chantalsaucier @doritmi He doesn't give rotavirus vaccines?
He doesn't give POLIO vaccines? What? WHAT? !!

Oh,…"	4937061		1.596531377696297e+18	['560801247', '1379940994263576576', '58778926', '54886540']		
1596535254663184384	RT @patcondell: This is what a digital ID leads to. This is what Klaus Schwab, Bill Gates, George Soros and the globalist World Economic Fo…	54420910		1.596454574990463e+18	['22657914']		
1596535255439400965	"RT @get_syawedis: @babydocwhit @ThinkerFl @vgclements1 The ""leading vaccine doctor"" at the hospital I goto for my babies' shots said there…"	1157468642369363969		1.5965174615409009e+18	['774694364371152896', '33395304', '1578097026599878656', '747854342334480385']		
1596535255581839361	"RT @MarioNawfal: Did you know that the US Fed set US bank reserve requirements to ZERO since the pandemic hit? 

And they have no plans to…"	1350848020733194242		1.5965154749800776e+18	['1319287761048723458']		
1596535255665901568	1 of 8… To understand WHY the vaccine can be so toxic as to kill some people, you must first understand what DNA and RNA do inside a cell and why injected naked DNA is inert (powerless to control cell machinery) and injected RNA is so powerful. #mRNA #COVID19	1337162858371670017					
1596535256123072512	"@cwebbonline Republican goal:  dictatorship.

#Republican voters know this and they don't care about #GOP lies.

Voters consider this:  When a party doesn't care if you're shot, die from COVID or die from lack of healthcare.

What makes you think they'll care when they've destroyed democracy?"	1348440721171259396	399178595.0		['399178595']	1.5961186304541532e+18	
1596535256256942080	RT @RealJamesWoods: I’ve never commented on the COVID vaccine. I do have questions, however. If you DON’T get the jab, you’ll get zero side…	1497725542845411329		1.5965153365722767e+18	['78523300']		
1596535256437633026	RT @RealJamesWoods: I’ve never commented on the COVID vaccine. I do have questions, however. If you DON’T get the jab, you’ll get zero side…	824953276269371392		1.5965153365722767e+18	['78523300']		
1596535256940584960	@watsonbiggs @guteren46142 @RealJamesWoods Irregardless, if a vaccine exacerbates a heart condition, what’s the point?	1590192470955937792	1.3167901881406218e+18		['1316790188140621831', '1514732706671833095', '78523300']	1.5965281491559752e+18	
1596535257498783746	RT @RealJamesWoods: Please participate in this poll if, and only if, you were vaccinated for COVID-19. Whether you had one or more boosters…	1589234356094107649		1.5965221787022991e+18	['78523300']		
1596535257612058625	RT @neilgibbons: England aren't playing badly. This game is simply the result of global factors, not least the effects of the pandemic and…	515932389		1.5962430017347502e+18	['28197128']		
1596535257699782656	"RT @fitterhappierAJ: Well, looks like they are acknowledging the immunological harm that SARS Cov 2 does

I told you all long ago, many tim…"	109658145		1.5962063842444698e+18	['88589013']		
1596535258224398338	"RT @mikegalsworthy: This is bombshell reporting into what must now be a raging national scandal.

For govt buddies to take many millions fr…"	1560373067884515330		1.5955004642331894e+18	['34247411']		
1596535258157125632	I thought Towson St was not seeded when they made the natty in 2013? No? https://t.co/Zj1WEZjRRN	1715768911					1.5965262151791534e+18
1596535258710962176	Throwback to lockdown when I bought a piercing kit and cam kept coming back to me for more piercings like an addict	752668900047847424					
1596535258895486976	RT @Nrg8000: Anti-lockdown protests and police brutality have reportedly spread to Korla city where one of the harshest assaults of Uyghur…	14205860		1.5965337763471237e+18	['375742729']		
1596535260493533188	RT @EckerleIsabella: Findings like this are exactly the reason why I have always argued that children too deserve protection from a new vir…	12001532		1.5957445539984712e+18	['2715046843']		
1596535261269483520	Michelle Mone: The Corrupt Tory Peer In The Million @novaramedia  Pound PPE Scam https://t.co/siOPXMYyHO via @YouTube	2190315380			['601148365', '10228272']		
1596535261793378306	"RT @mvmeet: 'Fights between people &amp; Govt authorities'

Currently, this is what's happening in China because of rise in COVID

Hope the med…"	1518797465251508224		1.5960302781576028e+18	['249520655']		
1596535261848117250	RT @RobertKennedyJr: Yes, we do! “We all deserve to know how involved Dr. Fauci was in the censorship of the American people during the COV…	1519029044435689473		1.596151300798165e+18	['337808606']		
1596535261709705216	"RT @OG97921596: @MeetJess ""1 in 22 will have a major cardiac event within 12 months of having caught Covid""
""1 in 5 will get #LongCovid 
""C…"	17817350		1.5963129397826068e+18	['1277432929837252608', '312412918']		
1596535262019887104	Just look at his face. Says all you need to know. #vaxxist #cult https://t.co/6yeGPToX6r	1510627718924173317					1.5959745908864696e+18
1596535262569717761	Absolutely Not...!!! That's totally wrong on so many levels... Repeat after me James... No one has the right to force you to do something against your will... We always had Laws for that kind of behavior... https://t.co/7YhJXE3RVo	4898771832					1.5965153365722767e+18
1596535263714770944	RT @drclairetaylor: 1/ Can someone tell me why we ‘shielded’ people to the point they were told not to OPEN A WINDOW-&amp; now tell them to go…	1171944913992335361		1.5952440931264635e+18	['1513942742715584520']		
1596535263714762752	RT @1goodtern: If Covid damages immune systems, you would expect to see an increase in the severity of outcomes of other infections.	844330210543722497		1.5964273252978074e+18	['960817018193764352']		
1596535264679460865	"RT @melonconsumer: Shunde, Foshan stampede

Nov 23 midnight, everyone in the city got red health codes for no reason, so they couldn't buy…"	1397795384337080320		1.596415076528816e+18	['1291933342707757056']		
1596535264616206336	@Chesschick01 as soon as I heard other countries were in lockdown and mandating masks and vaccines	1374447718542680081	36134346.0		['36134346']	1.596216988145025e+18	
1596535264469401600	@SteveDeaceShow We did not allow my SIL to get the jab due to the previous cancer.  He finally got covid in early October...he had a fever and felt like crap for a couple days and then was totally fine.  Neither me nor my daughter got it.  No big deal.	709933896045953024	7.09933896045953e+17		['177564016']	1.5965341859841516e+18	
1596535264872083459	Y’all was looking at me crazy and trying to convince me too smh https://t.co/wRdZs3YnKU	381898215					1.5958007905134674e+18
1596535266100973569	RT @MarshaBlackburn: Communist China's failed zero-COVID policy has resulted in record infections, destroyed livelihoods, and created a men…	1181389057760399361		1.5962906386049475e+18	['278145569']		
1596535266285879296	@dashofjazzblog @notcapnamerica One of my faves. El Farallon is fabulous and returning to your room each afternoon to a bucket of corona and some quac is pretty spectacular too!	4871002407	3044146839.0		['3044146839', '33913156']	1.596370800575189e+18	
1596535266528796672	"RT @RepMTG: Covid-19 is becoming the pandemic of the vaccinated.

We must investigate the thousands of VAERS reports of vaccine injuries an…"	58300415		1.595541557305811e+18	['1344356576786866176']		
1596535266801598464	RT @YourNHS2021: “The leaked documents reported on by the Guardian this week were compiled by HSBC, whose officials became concerned about…	2700947632		1.5962222195704218e+18	['1428722963898159111']		
1596535267711942657	"Harvard &amp; Johns Hopkins Publish Explosive Truth: Scientific Papers PROVE C19 Vaxx Is A Death Shot

https://t.co/MypGxGVLkI"	1588324679592415233					
1596535268571594753	RT @paullewismoney: Tick tock - £770,000 a day is spent by Government storing unused and often useless PPE that’s over £250m a year https:/…	1408864949787561985		1.5964131787660452e+18	['221338206']		
1596535269573926913	"@mgc1164w @tryna_do_rite @Girl2Poco @ColetteMandin It’s not a law that I must wear a motorcycle helmet in my state.
I still always wear one. Because it works.
I don’t wear a mask, because they don’t work."	1350599832046600192	27094207.0		['27094207', '1195185813606125570', '1466855809510301700', '636649732']	1.5963509520338289e+18	
1596535270458933256	RT @GuntherEagleman: It. Was. Never. A. Vaccine.	2171351015		1.5965189075187794e+18	['1355721251180961792']		
1596535270283022336	@EduardoDiGigant @AboveTheRink @Truthseekercha2 @SA89438217 @NeoScooch @aaronhoyland Yes, they were intended to stop the spread but they could only reduce it. Enough to stop the meltdown of our Healthcare system. Remember Italy before the vaccines?	1196241500364951552	1.5143729361021215e+18		['1514372936102121476', '1528432280322162688', '1572739698770018306', '1343687984994869249', '40514364', '189570603']	1.59651834391305e+18	
1596535270337261568	When and How Can Vaccine Particles Hurt You? - A Visualisation Exercise why dentists, anaesthesiologists, plasticsurgeons,etc would be subject to drastically strict measures to avoid intravascular 💉accidents,&amp;we wouldn’t care for a 💉roll out to billions? https://t.co/Y8eDVvNMnA	1383911611056853004					
1596535270517932033	@kelvmackenzie Heartless??? Just remind yourself what the whole of the NHS has had to put up with all through the pandemic. Then add to this the parking charges they face every time they go to work. Then see the massive staff reductions since Brexit!! That's just for starters!!	970595091516715008	3037892906.0		['3037892906']	1.5962168417053327e+18	
