tweet_id	text	author_id	in_reply_to_user_id	quoted	replied_to	mentions	retweeted
1596550239741165570	"just another POS who believes it’s up to them, it ain’t!
what’a dumbass!🖕 https://t.co/ovCD42vMHw"	1062832496319053826		1.5962571726395802e+18			
1596550240005656577	@RealJamesWoods In 1955 to 1963 the Polio vaccine was contaminated with the Simian virus but the govt continued to give it to children. No news flash, no warnings, not a damn thing. People got ill, people died. Only read about this in 2022.	1568628014900199427	78523300.0		1.5965221787022991e+18	['78523300']	
1596550240093757440	RT @Ian_Fraser: HSBC froze bank accounts linked to the Tory peer Michelle Mone and her husband Doug Barrowman during a probe into corrupt p…	3087491573				['93618872']	1.5965483925028209e+18
1596550240705736706	RT @zerohedge: COVID Lockdown Protests Erupt In Beijing, Xinjiang After Deadly Fire https://t.co/HDiVs6BQdT	1481122553368248322				['18856867']	1.596549659098755e+18
1596550240752046088	RT @laralogan: So now we are already ruled by an unelected one world government.	1586570037728534528				['1098091506886471680']	1.5962071211037164e+18
1596550241523666945	RT @ThePopTingz: China reports over 35,000 new daily coronavirus cases. https://t.co/ZZHUoboSwu	1478694878221684737				['1359293410847383558']	1.5963800524214968e+18
1596550241691389953	Is it winter allergies or COVID-19? https://t.co/TV6wxYTQWH	1517296356544684044					
1596550242996211712	"@AspLovePolitics @HaleyLamm As I'm reading this little branched off thread, I'm absolutely confused by everything you're saying. Half of it doesn't make sense. And now you're conflated the entire country of US and it's problems with a woman being forced to take a covid test.

Are you okay?"	382453035	1.1362654250277724e+18		1.5965374977688412e+18	['1136265425027772417', '293800001']	
1596550243503722496	RT @JoeBrolly1993: One of these women wrongly claimed £9,000 in benefits. The other lobbied her friend Michael Gove to award a £200m PPE co…	324054149				['1209336942']	1.5964963895419535e+18
1596550244296450048	RT @thebradfordfile: Fauci gave a deposition under oath this week confirming he was lying through the entire pandemic. So naturally, the me…	1583132970730258432				['3406938525']	1.5965374492489564e+18
1596550244430483457	RT @eveewing: I'm excited to support @marketboxchi which distributes fresh produce from local farms to neighbors across the South Side, and…	1450138939210207232				['19166519', '1565048773515980800']	1.5965470128785408e+18
1596550244497469441	"""Here are the key points: 1. You can catch Covid multiple times 2. Reinfections are common, not rare 3. Breakthrough infections are common 4. Covid can kill you months after you recover 5. It can cause brain damage"	600671169	600671169.0		1.5965501390107607e+18		
1596550245231767552	RT @zerohedge: COVID Lockdown Protests Erupt In Beijing, Xinjiang After Deadly Fire https://t.co/HDiVs6BQdT	534543758				['18856867']	1.596549659098755e+18
1596550245231607810	While Dr’s,  nurses get repeated COVID infections from being constantly exposed to an AIRBORNE virus that’s being RECKLESSLEY spread with zero mitigating factors bc Higgs doesn’t want to piss off the right wing anti-science voters by implementing a simple mask mandate!	23654986	23654986.0		1.5965502428368282e+18		
1596550246288482305	RT @TAMAGODE11: @DavidKrayden He remembers things differently	1347299993259020288				['1580574478324621313', '313307103']	1.596544417241899e+18
1596550246666219522	RT @HackedOffHugh: « In total, the Government has written off £8.7 billion worth of PPE that is unusable, has passed its expiry date, or wa…	2155001304				['914588454']	1.5962501084331459e+18
1596550247433396225	RT @RealJamesWoods: I’ve never commented on the COVID vaccine. I do have questions, however. If you DON’T get the jab, you’ll get zero side…	1326728950756765696				['78523300']	1.5965153365722767e+18
