tweet_id	text	author_id	in_reply_to_user_id	replied_to	mentions	retweeted	quoted
1596512393265381378	@profgalloway @PivotPod Agree, the past 2 years 4 us were the best financially; nearly died w covid but our business really flourished &amp; we profited like never before. I was in melt down but thankfully my husband reminded me it won’t last forever. Totally aware how devastating this was 4 many others	1425895987084681220	9273802.0	1.596300388558426e+18	['9273802', '1252599555968897024']		
1596512394314125312	"RT @dave43law: @BelindadeLucy Brexit was
- about removing protections for workers
- about removing health and safety
- removal of basic hum…"	56079508			['528674835', '1124345151642587136']	1.5964408114909307e+18	
1596512395140243461	"RT @DiedSuddenly_: After the release of #DiedSuddenly, the Health Organizations have been forced to respond. 

Their response? 

It’s not t…"	344227735			['1577761560394665984']	1.596231410502738e+18	
1596512395899592705	"RT @garethicke: 🚨Tonight on Right Now🚨

 ""We are living through a 'cost of lockdown crisis', so it begs the question, where were all the ec…"	705876097			['34236531']	1.5962253928929403e+18	
1596512396142694400	"RT @PierreKory: Poor woman dies 7 minutes after her booster… while still in the drugstore.  

Article states that the Coroner concluded tha…"	1229093726749970433			['2163723997']	1.5962960706858967e+18	
1596512396427743233	"RT @johnrackham82: COVID was a scam to transfer wealth from you to the WEF and its partners. 

Once you understand that, you know a lot."	2561734314			['1552067520575799298']	1.5965050554607493e+18	
1596512397707350017	"RT @BadrobotLinda: The pandemic was horrible for America and the world, but it showed us how incompetent DJT really was.

Reversing Roe was…"	3304320810			['1292476725977387010']	1.5965114861045432e+18	
1596512398407794689	RT @cindy_chojnicki: @fitswimmer09 @nathaliejacoby1 Your governor wouldn’t use federal COVID $$ for COVID but instead uses it to send asylu…	1499110773968281609			['4252893976', '33504583', '1280478731874848769']	1.5965029503353733e+18	
1596512399234072578	RT @PupLeo06: Pants off, cock out, stretcher on, enjoy and release. The first thing I do when I get home from a long day of work. https://t…	1071220982617124870			['2524134778']	1.526228130205053e+18	
1596512399007584256	"RT @premnsikka: UK Govt wants to recoup money from Michelle Mone-linked firm after PPE rejected as unusable.
PPE Medpro says it was OK; won…"	1895916308			['2461924214']	1.5965120071631135e+18	
1596512400047771649	social distancing kings https://t.co/dspVYOJuhV	1470892586273550340					1.5964921126396928e+18
1596512400085319681	RT @shmuelcshapira: More vaccinated people are dying of COVID than unvaccinated people, according to a recent report from Public Health Eng…	1488020084090093572			['1482660566112124931']	1.5961675764588872e+18	
1596512400068341761	"UK experts helped shut down Covid lab leak theory - weeks after being told it might be true 

Sir Patrick Vallance among scientists behind paper that stifled debate into the origins of the virus.

https://t.co/n4qgDiMVkH"	37396883					
1596512400970235909	RT @David__Osland: Some people are more angry with nurses for going on strike than they are with Michelle Mone for selling nurses defective…	1496274265787846657			['3407247983']	1.596149201657688e+18	
1596512401712709632	@ActivePatriotUK @canadiancarol1 Is that a COVID mask 😂😂😂	923564566138810368	1.1045245087094415e+18	1.5962262971976253e+18	['1104524508709441536', '3221117109']		
1596512403214471168	RT @profmiketoole: Govts need to inform the public the pandemic is not over. Increase vaccine boosters thru comm engagement rather than bor…	1214014188730798080			['26361656']	1.5960210215841505e+18	
1596512403856199681	RT @PeterTirschwell: With the LA-LB ship queue finally gone after 25 months and 766 days, Covid and a consumer spending surge are inadequat…	2804310446			['90894369']	1.5961289891014124e+18	
1596512404233682944	RT @PublicPriestley: While this PPE scandal is erupting again I'll tell you a little story and it is absolutely and 100% true. Get yourself…	595087800			['2845071124']	1.5965026134950257e+18	
1596512404074287104	Tory peer Michelle Mone reportedly pocketed £29m of public money for unsafe PPE. The Lords must kick her out of Parliament and force her to pay back every penny. Agree? Join me and sign the petition now: https://t.co/xS0oG1PDh3	781172612961632256					
