tweet_id	text	author_id	in_reply_to_user_id	quoted	mentions	replied_to	retweeted
1596493648577040384	This is absolutely something my husband would do 😂 @Selway1Mark https://t.co/Zzdy5GQYDa	442663893		1.5958698356233748e+18	['4838186417']		
1596493649516593153	opened the toilet using a bank card, there’s no paper, no water and the toilet overfills before it empties. great for covid and an already delayed journey. we’ve been on the road an hour and we’re only at heathrow and the toilet is already nearly full	1186276854661111808	1.1862768546611118e+18			1.5964828345372795e+18	
1596493650435125251	RT @_Janey_J: “In the first five months of 2021, you see an increase of 25% in the emergency calls for cardiac arrest &amp; heart attacks among…	1589346839115235328			['1538833303863713796']		1.596245591742632e+18
1596493651160354818	RT @michaelpbreton: I now understand that BILL 36 in BC Canada has passed. This will make COVID-19 Vaccinations MANDATORY permanently, for…	383796071			['2382229472']		1.5961965709778248e+18
1596493651731156992	RT @quill65: @lornamcfindy Covid cautious people are learning a sad truth that has existed for a long time: most people aren't as virtuous…	1161606975945433088			['1133919672925949952', '25680172']		1.596320939536683e+18
1596493651672457218	RT @jordanbpeterson: Can't the pharmaceutical companies do their own goddamn advertising?	3090124141			['95092020']		1.5964838459933778e+18
1596493652829736960	"@David19531501 @Michael80789776 @JonHlluk @BogCleaner1 @suastusa @Obohobofromnobo @Davidmetroland @luter_el @marcsaysmarc @SetCondiment @Matt_GS @andrewsibley15 @just2sayin @albaa_maha @lordgmanilson @HWick_Chris @Roblev0 @viv_cooper @of_flocks @Peter14306722 @Jimblindsone @ConraddKonnrad @Martin020455 @Holdstk @RonnieTheFrog @GarryMa21873970 @ShegorTheReador @bonarlaw1923 @wobski421 @bazcarter15 @Maggie29047241 @Swen_2017 @DrSimonAshworth @cathyby @GeoffBarton9 @RandyKite @SWEEDTRADER @thegrimbarian @MendeIeef @Victor96478703 @AndrewGarside3 @leftstance @TonytheRam82 @dg_davies @sheehyjr @TheGhos72578902 I think it's more important to reflect on what we did, the consequences (including the fall of a Government) and what could be done in future.

Because people mixed for work and shopping we didn't exactly quarantine.

I'd question did policies extend the pandemic?"	1591522008	8.895384082379448e+17		['889538408237944833', '1216314947719909381', '730413805239439361', '1473794832221057030', '3234462588', '980238396630159361', '3241418992', '1493660289836929033', '579778379', '1523727486290472961', '4414138582', '841665348927705088', '852525434', '1590013593428312064', '1565678176033972224', '84531901', '2619572922', '503070765', '1382322540434092037', '1417833370269229056', '1524376493144653824', '3063944812', '1465780378095038473', '998529107670560774', '882551213295882245', '1587351016428736514', '1503734790868148225', '1110233632898252800', '802094610', '849869413', '1078941549298360320', '916305113630814213', '855883779155648512', '106382065', '1064245093408956416', '1429065568724914181', '979261273', '224355362', '1576563434682040320', '1498297235062378502', '1189556030184808448', '170835152', '1535894022228541441', '2229799817', '368599676', '1475443294264078342']	1.5964924774221373e+18	
1596493652896915456	@AbdulQatiri @SHIB_gold Join this platform and start working from home interested members should click on link below to start immediately👇🏻👇🏻👇🏻https://t.co/4sBkx2U7XT	1527316117466730499	1.075014221627179e+18		['1075014221627179008', '1511147410587746308']	1.5963922275674726e+18	
1596493653798957063	"""Many other instances of plausible scientific claptrap or bad science have occurred during the Covid-19 pandemic.""

~ Harvey Risch

https://t.co/2hccjBbJsj"	1406055552879370240					
1596493652083478534	"Dr @PromesseCKaniki delivered yet another presentation in which he carried out the introduction of the AU COVID-19 Vaccination Bingwa Initiative to the Bingwas-in-training.

This presentation is imperative to the success of the Bingwas' deployment.

#AUBingwa 
#ShootYourShot https://t.co/FJhaEYHCR2"	1581074480264351744			['869952768710242304']		
