tweet_id	text	author_id	in_reply_to_user_id	retweeted	mentions	quoted	replied_to
1596516143396978688	RT @Tim_Burgess: A baroness, Michelle Mone was paid £29m via convoluted methods to avoid detection after supplying £200m of useless PPE via…	857907605099950081		1.5957322109085573e+18	['19429176']		
1596516144399409154	One British middleman was under investigation in Spain for money laundering at that time. https://t.co/BQekGgfyii	1586847483715534849				1.5964440282326876e+18	
1596516144567160832	RT @RealJamesWoods: I’ve never commented on the COVID vaccine. I do have questions, however. If you DON’T get the jab, you’ll get zero side…	2200017093		1.5965153365722767e+18	['78523300']		
1596516144927887367	"RT @MattH_4America: Remember, they said the covid lockdowns were ""good for the climate"""	868808773523124229		1.596330196344656e+18	['1430211561491206147']		
1596516144856371204	@Stratusdog42 @SuperMikhail1 @TondaMacC @aballinga Dude... The idea to impose these mandates is to stop the spread but if the vaccine doesn't stop the spread.. Then why force it on those, especially those with natural immunity.	1305169985808015361	766784684.0		['766784684', '1305520557975367681', '237842283', '150419399']		1.5965155031783875e+18
1596516144982429697	RT @Xx17965797N: Official UK document from the Ministry of Health reveals Convid never existed. This now being the case means the masks, lo…	232498197		1.5964351920208773e+18	['1552407495255199745']		
1596516145078882304	"@Mark9290296 @CriticalOne76 @ValValpuriam Embalmers aren’t doctors and that movie is full of… inaccuracies, to be nice. It’s a slick bit of propaganda though.

But if something is going on, it’s still better than the alternative of a pandemic. (Which actually would reduct the world population if left unchecked.)"	24820401	1.5964065902526587e+18		['1596406590252658688', '1552719395931160576', '2865410130']		1.596410195374379e+18
1596516145032568835	"#READ.... COVID PART 

 https://t.co/Mq8sAPshzd"	1575479698750144512					
1596516145712201728	"RT @Haggis_UK: Sarah Owen - ""We have all seen the shameful Guardian front page this morning, but the front page that sticks in my mind is t…"	65586117		1.595735473971921e+18	['351784239']		
1596516146249072640	RT @RealJamesWoods: I’ve never commented on the COVID vaccine. I do have questions, however. If you DON’T get the jab, you’ll get zero side…	383423720		1.5965153365722767e+18	['78523300']		
1596516145821089793	The CDC recommends that everyone ages 5 and older get an updated bivalent #COVID19 #booster for protection from recent strains if it has been at least 2 months since your last booster or final primary. Learn more: https://t.co/EnZxj8lnNU https://t.co/Kquh4PW8G1	1387108586623578112					
1596516146773385217	RT @DBMillerIMO: Sums it up pretty well.	4884213678		1.5965021467022254e+18	['781338327924473856']		
1596516148115558400	RT @InternetHippo: I think the pandemic was the first time many people were forced to adjust their behavior out of consideration for others…	2910298502		1.596239466779226e+18	['19638752']		
1596516150443388929	Mix of COVID, colds, flu and RSV creating unique coalition of viruses in western PA https://t.co/XNdmC7ATn5 via @bctimes	105177140			['16203795']		
1596516151521341442	do you have a link to your 2020 long Covid threads @james__glen?	1367842325444104197			['1194276599316791297']		
1596516153312313344	RT @gavi: Researchers estimating the economic benefits of #COVID19 vaccination in New York found a tenfold return on investment! Vaccines a…	2470812752		1.5964360981037957e+18	['97219875']		
1596516153412624384	RT @gehrig38: To be clear, not getting vaccinated means you are 100% guaranteed NOT to die from vaccine side effects and 99.8% protected fr…	710906066599415808		1.5949192431953224e+18	['14945261']		
1596516154105036800	Praying for china 🇨🇳 w this Covid  and the @Walmart victims that got shot smh 🤦‍♂️	35000208			['17137891']		
1596516155703070721	RT @PublicPriestley: While this PPE scandal is erupting again I'll tell you a little story and it is absolutely and 100% true. Get yourself…	1086322031141027840		1.5965026134950257e+18	['2845071124']		
1596516155971493890	"RT @KendiEthier: #NYCACC
💔Today is KILL DAY 11/26💉
🔹Healthy🐶
🚑MEDICAL🚑⛑️PNEUMONIA🐶 
All need heroes #Fosters &amp; #Pledges r needed to get N.E…"	1280863081		1.5964884394779853e+18	['1057717100']		
1596516156642570241	"RT @NewMillPaul: Did I tell you about the time my son failed his driving test for the second time?

He was really upset, so trying to be a…"	52380716		1.5958698356233748e+18	['1160306562663165962']		
1596516156923576321	RT @Tanyadomm: Wait u home from work like this 🍆 https://t.co/y3mMrxG9bQ	1424803274297851904		1.5964597100600402e+18	['1279686797392560130']		
1596516157254930435	RT @RealJamesWoods: I’ve never commented on the COVID vaccine. I do have questions, however. If you DON’T get the jab, you’ll get zero side…	1361349013027639298		1.5965153365722767e+18	['78523300']		
1596516157728645121	"RT @JamesBradleyCA: Joe Biden:

Shutdown the Keystone Pipeline which decreased our oil supply.

Opened the border to invasion during a “pan…"	1243930327		1.5961699164527002e+18	['1112724144427139072']		
1596516158047338496	A BIG NOOOO WAY especially for Ten to experience it for the fuckin second time. Please please dont ever waste his time again I beg u! @WayV_official @SMTOWNGLOBAL https://t.co/vtgxyUQ60P	1492302677392654338			['1033994695595065347', '884378714']	1.5964065779297935e+18	
