tweet_id	text	author_id	in_reply_to_user_id	mentions	retweeted	quoted	replied_to
1596427120519315456	"Please canceled schedule in China and bring TEN back to Korea before Beijing was 100% lockdown and can't take the return flight.

@NCTsmtown 
@WayV_official 
@SMTOWNGLOBAL"	3118461815		['4811011050', '1033994695595065347', '884378714']			
1596427121680785414	"RT @PilotPoli: Despite a pandemic. Despite red shirts. Despite numerous IBAC inquiries. Despite the media. Despite some real arrogance. 

2…"	1108565574		['1139254410']	1.596426656323113e+18		
1596427121710477312	RT @SpectatorOz: When it comes to #Woolworths and its #covid19 vaccine mandates, there are many ex-staff who will never forgive the superma…	463058325		['484468243']	1.5963230445110804e+18		
1596427121651769344	"RT @Stuart_Hood: @BBCJamesCook Here's the essense of what the media's subservience to the Brexitory Cult has reduced your precious ""union""…"	1086397159480676352		['17898001', '17024780']	1.595516275102724e+18		
1596427123056840705	RT @BreitbartNews: San Francisco hotels are demanding millions of dollars from the city to compensate them for damage incurred while housin…	1307220321548804099		['457984599']	1.596158966542672e+18		
1596427123484495872	"ASIDE FROM LONG COVID, A COVID INFECTION ELEVATES YOUR RISK OF A HOST OF AILMENTS AND SICKNESSES, SEEMINGLY INDEFINITELY; EACH REINFECTION INCREASES THOSE RISKS FURTHER, ALSO SEEMINGLY INDEFINITELY. 

https://t.co/gfnEAlgXPK"	308900763	308900763.0			1.5392188497191117e+18	1.596306865130029e+18
1596427124130598912	RT @LongBallToNoOne: State of the art	1645355329		['86889085']	1.5964175631387935e+18		
1596427124197433346	"China reports 35000 new daily COVID cases in the past 24 hours for the third straight day.

Over 91% of coronavirus patients that remain under medical observation in China don’t have any symptoms."	1368483755854270464					
1596427124294184960	RT @neilgibbons: England aren't playing badly. This game is simply the result of global factors, not least the effects of the pandemic and…	2988088321		['28197128']	1.5962430017347502e+18		
1596427124209946624	Oh hell no 😩😩😭 https://t.co/18SqZDcgiy	4342867841				1.5962257397452964e+18	
1596427124574822400	"RT @LongCovidHell: @LBC @mrjamesob The care home policy, which caused so many deaths, was ruled as ILLEGAL by the high court.

The “protect…"	422461282		['1225382429080391680', '20973388', '152656121']	1.5964197204666368e+18		
1596427125871214592	RT @steve_cureton: @kelvmackenzie I think you'll find responsibility for dead and dying lies with Tory Govt who have slashed beds,abandoned…	24606135		['2373784386', '3037892906']	1.5962011477104763e+18		
1596427127016284160	"RT @ManofBoogey: @TonyNikolic10 If he died instantly from the arrow thru the head and tested positive for covid, it's a covid death ..
The…"	237141734		['1185464470161612800', '1509291990705655810']	1.5963260741407252e+18		
1596427128270389250	"@TrolleyJohn @EddyJokovich Yes, they Have Tange man ready to report on how it was really a massive Lib win, despite losing their shirts.

The media &amp; the trogladyte Libs seem to believe Dan invented Covid."	2221785156	1312787592.0	['1312787592', '29420301']			1.596423871431082e+18
1596427128509435906	"RT @hrtcoups: The DAY has come, one of svt and carats biggest dream came true today on 26/11/22🤍 

what an emotional and sweetest time, 201…"	1128978416		['1168920228039987207']	1.5964266441680118e+18		
1596427129214095360	RT @BradleyCarl256: Ugandans in uganda stopped making sextapes now it's ugandans abroad.. this is now a pandemic😂	1394943386172510213		['1560360860119334914']	1.5963959072177644e+18		
1596427129256030208	RT @DrJohnB2: Histopathologically TMA-like distribution of multiple organ thromboses following the initial dose of the BNT162b2 mRNA vaccin…	1487664625965355013		['1400013985202704385']	1.5962230141477888e+18		
1596427132011687936	RT @joeolivermd: Kids are testing positive for Influenza + RSV at the same time. Probably also Covid. Now would be a superb time to get you…	40163749		['1089917743275667457']	1.5962860168426988e+18		
1596427133382930434	"RT @jenniferzeng97: “If we must die, you die together with us! “ “End the #lockdown!”
In #Urumqi #Xinjiang, angry people surrounded the gov…"	1096284322149986306		['2313027666']	1.5963500278904095e+18		
1596427133735227393	RT @HackedOffHugh: « In total, the Government has written off £8.7 billion worth of PPE that is unusable, has passed its expiry date, or wa…	1208115466507603968		['914588454']	1.5962501084331459e+18		
1596427133869514753	RT @eyejosh: @JulianE95250219 @jeanid123 The BBC won’t mention this scandal because No 10 instructs the BBC - and No 10 knows that stealing…	56066187		['59305661', '1471933769049378827', '396011927']	1.5963150360995635e+18		
1596427133781508096	timesofindia: We highlighted India's priorities of inclusive&amp;sustainable growth of climate finance, accelerated action on SDGs, our digital transformation story, how India has become pharmacy&amp;vaccine capital of world&amp;how we need multilateral reforms as far as institutions ar…	3944455453					
1596427134808924160	RT @Anic_en: I couldn't concentrate much on one painting due to the symptoms of COVID, but I wanted to draw. https://t.co/Mqv04pJGy1	1070114744009351168		['1023217061500055552']	1.5953865582609981e+18		
1596427135459426304	RT @hawfnagk: Please canceled schedule in China and bring WayV back to Korea before Beijing was 100% lockdown and can't take the return fli…	3234913404		['558411042']	1.5964237834010337e+18		
1596427136239562754	Seeing girls who talked shit about OF only to join the platform later on feels the same to me as people who died of COVID after they said COVID was a conspiracy	981666510660915201					
1596427136566714369	@SkyNewsAust This 'restauranteur' should look at how slow and inept the Federal government was in their response. It took action by Kevin Rudd to get vaccines ordered and moving. If the Feds had been quick off the mark instead of saying this is not a race we'd have had fewer shorter lockdowns	397034566	16834659.0	['16834659']			1.5960876746535076e+18
1596427137002651654	RT @RisetteMD: Just remembering one of the saddest moments in my life was when, at the end of a three week stretch working during the Delta…	38507128		['1549164560204038144']	1.5958477944677827e+18		
1596427137225224192	RT @LetsGoBrando45: This is your brain 🧠…. This is your brain on the vaccine. https://t.co/LiyhLRlYgb	1392745737360842752		['1518644583109910528']	1.5963555287409623e+18		
1596427137707175936	RT @PickardJE: - the @ft today asked both Tory peer Baroness Michelle Mone and her billionaire husband Douglas Barrowman whether any UK tax…	1430529942119452678		['69080476', '18949452']	1.5962523413840118e+18		
1596427137971621890	"RT @AGJeffLandry: Wow! It was amazing to spend 7 hours with Dr. Fauci. The man who single-handedly wrecked the U.S. economy based upon ""the…"	1119695227		['221491612']	1.5955381688534548e+18		
1596427142367432706	"What can we learn from the recent lockdown that could help one make better decisions? Who do we trust?
#hairtransplantation #hairtransplant
#hairloss
#hairrestoration #bald #balding #womenshairloss
#hairtransplantrepair #Fue #cosmeticsurgery 
https://t.co/xYU3FK1tjE"	1133165831465127936					
1596427142761689091	"RT @mikegalsworthy: This is bombshell reporting into what must now be a raging national scandal.

For govt buddies to take many millions fr…"	202087881		['34247411']	1.5955004642331894e+18		
1596427143017385987	Thanks to Adele Groyer, John Roberts and @ActuaryByDay  for another superb Friday Bulletin from COVID-19 Actuaries Response Group. Are we winning the battle but still losing the war? https://t.co/sro5tMerGk	81401555		['323471145']			
1596427143059476480	RT @ukhomeopath: figures also reveal the country suffered 8.5 times more excess deaths in 2021 following the roll-out of the Covid-19 injec…	1577292215264710656		['193618203']	1.5964194567793213e+18		
1596427146427510784	RT @juistheju: Please canceled schedule in China and bring TEN back to Korea before Beijing was 100% lockdown and can't take the return fli…	1286315293413748737		['4743145646']	1.5964192615847936e+18		
1596427147467403266	"@thevivafrei I think Pfizer's CEO is really ""A PIMP NAMED SLICKBACK"" cuz these politicians are outright vaccine ho's"	1381493962393849856	96906231.0	['96906231']			1.5962907409041572e+18
