tweet_id	text	author_id	in_reply_to_user_id	retweeted	mentions	replied_to	quoted
1596323735317123072	"RT @Arwenstar: “As a film maker, do you support mandatory vaccines on film sets?”

“I support mandatory vaccines. Period.”

Never forget th…"	28638902		1.5962571726395802e+18	['21947445']		
1596323735640109056	"RT @bigdurtynerd: Freedom Convoy 2.0? 

So I guess it really wasn't about the vaccine mandates but instead an actual insurrection to overth…"	1313264325847547905		1.5959698928675144e+18	['1199338955667324928']		
1596323735874985986	RT @ChinaUncensored: More Covid protests https://t.co/6zyhZhx23R	1240512036850634752		1.5961151268093993e+18	['833100331']		
1596323736637972480	@TheTownie88 @DiamondandSilk I thought it’s a vaccine? How did you still get it?	1472652540198244353	3805627427.0		['3805627427', '2908170952']	1.596292477123973e+18	
1596323737284251649	"@robert_spalding Yes, As a former PLAGSF DoF officer, I can assure you Wuhan Virus is only one of the readily weapons, and the situation is just one of the strategies' scenarios.

Doing evils with CCP under covers for half a century. That is real a why.

Please regret to God, then fight back."	1560523591745019904	14308180.0		['14308180']	1.5963038941325394e+18	
1596323737443659776	@Jim_Jordan Don’t forget to subpoena what is in the Covid-19 vax.	1594962159439839232	18166778.0		['18166778']	1.5963180818021786e+18	
1596323738341068801	"1st shot  2nd shot  Booster. Available on over 96 #redbubble products! #stickers #tshirts #mugs #masks #magnets #vaccine #booster
https://t.co/PjEHrxbIK4
 1669410212"	11591892					
1596323740010397697	RT @Deede797: Just lost a friend today who recently got his covid booster. Died of a heart attack. I'm so fed up with people on left saying…	1591032350611218433		1.596314715214553e+18	['1589680977726640130']		
1596323740458962944	@SkogNymfe Since I’m recovering from covid now, I’m going to be extra vigilant like I was in the beginning. Masks, hand sanitiser etc. never want to catch this horrible thing again. I live with a teacher, that’s how I caught it. Going to be really difficult with no mask mandate at schools	2171785590	1.2708120602013204e+18		['1270812060201320448']	1.5963160989362012e+18	
1596323739712753665	Sobering... https://t.co/arAcxkmKOV	1117065848018145281					1.5957179181589832e+18
1596323741398859778	"RT @disclosetv: NEW - Vaccinated people now make up a ""majority of covid deaths."" It is ""no longer"" a ""pandemic of the unvaccinated.""

http…"	798930692599971840		1.595468786324349e+18	['15392486']		
