tweet_id	text	author_id	in_reply_to_user_id	retweeted	mentions	quoted	replied_to
1596390635132841984	"RT @grace_breathing: And there you have it~!!!
Covid Injection Adverse Effects Hits the Mainstream!

MRNA injections destroy natural immune…"	1060711269634846720		1.594917462230827e+18	['1518720032225869824']		
1596390635170574336	"RT @biancoresearch: Has Tim Cook commented on this?

Because this is devastating as it makes Apple complicit in a massive human rights abus…"	1574956206627618816		1.596155610646532e+18	['188369814']		
1596390636759920641	"RT @Xx17965797N: Vaccine Passports,Digital ID and CBDC support the same functionality as the Chinese Social Credit System…
JUST SAY NO‼️⚠️…"	1293552363572269057		1.59585555025195e+18	['1552407495255199745']		
1596390637695160325	RT @diane_vesovic: People still dying daily in Australia due to covid &amp; @AlboMP has the power to slow it down but won’t. Why	448692159		1.5962188926572667e+18	['1478162558276157443', '254515782']		
1596390639574228992	"RT @1goodtern: Why does SARS-CoV-2 damage appear in such different ways in different people?
You have probably all known the answer to that…"	597290557		1.5960925759368274e+18	['960817018193764352']		
1596390640241229825	RT @drsimonegold: In the last press briefing of his federal career, Dr. Anthony Fauci attacked those who refused the COVID-19 injections, c…	275593339		1.5962870273011876e+18	['806344552718045184']		
1596390640950312961	"RT @IngrahamAngle: Finally admitting the truth about the “vaccines”?  Kind of…sort of. 

Vaccinated people now make up a majority of covid…"	1592551519123111937		1.595427203423953e+18	['50769180']		
1596390643517079554	It has to be rigged, it’s getting a lot of publicity for having a guy get into the final four even though he killed tens of thousands of people by letting covid positive patients into care homes https://t.co/QvJe4a9tmx	134490503				1.596367674673619e+18	
1596390642829037568	"#Now Playing NCDC - Funke Akindele shares steps to prevent coronavirus  
Listen Live @ https://t.co/XFEDnr8Fn8
#Music #Culture #Radio #Nigeria #World"	935534056388923393					
1596390643827609601	RT @WallStreetSilv: BREAKING: EVERY DAY, tens of thousands of Chinese people are being sent off to Covid camps because of their red QR code…	3121492912		1.5867912250084557e+18	['1366565625401909249']		
1596390643580166144	"@s0f0nisba @PatriciaVellet1 @EnemyInAState Interesting... supports concern covid injections 💉 of Wuhan Spike is causing ADE vs Delta &amp; Omicron spikes during infections?
https://t.co/2GdcTpLpNx

in other words the Wuhan Abs from c19💉are exploited by Omicron to increase infection."	1560402181861175297	91425768.0		['91425768', '1443409218304884743', '846454000585244672']	1.5961419813357076e+18	1.5960676639812526e+18
1596390644301582336	"RT @atRachelGilmore: ""Every heartbreaking story I hear of a family who sat beside the bed of a loved one, dying because they had believed t…"	1460007078077120518		1.5962239021703619e+18	['1107296448']		
1596390644393848832	RT @TrueNorthCentre: When asked about the effect Covid mandates had on Canadians, Prime Minister Justin Trudeau says he wished he had done…	1255563116609404928		1.596229428551422e+18	['3664109892']		
1596390644695502848	"RT @Arwenstar: “As a film maker, do you support mandatory vaccines on film sets?”

“I support mandatory vaccines. Period.”

Never forget th…"	1547183928796418050		1.5962571726395802e+18	['21947445']		
1596390645094297600	RT @The_OtherET: I love how in his deposition Fauci regularly used the excuse that he was “too busy” running the NIH to be bothered with co…	948690576404135936		1.596164627376767e+18	['77911392']		
1596390647329693696	"RT @beverleyturner: Oh purleeaasee!!
I'm a celebrity thrown into chaos over a cold! 

I'm A Celebrity thrown into chaos over Covid outbreak…"	1543400209		1.5961665394470052e+18	['62469990']		
1596390649137598464	"RT @IamBrookJackson: Dr. Malone: Ron Johnson’s COVID-19 Hearings Will Decimate COVID-19 Lies And Manipulation 
https://t.co/1EVlhQUDm9"	833436765805477888		1.596387504554668e+18	['1439405246518906881']		
1596390649741586433	RT @hodgetwins: Covid and the vaccine push showed us that the corruption is off the charts.	1560190356712456194		1.5963183104417915e+18	['18584875']		
1596390650555305985	"@DarrylMontgom18 Lordy! Govt’s can print as much as they like and then just tax it back in at the same rate when the blip is over.
Question: did you get more money during Covid than normal times?
If so, did you offer to pay 7% more for all yu shit?
No? Then what’s causing inflation?"	2489278904	1.1142495906166415e+18		['1114249590616641536']		1.5963624121180078e+18
1596390652836990978	RT @Bonisile_RMS: I am tired of scolding her. Like, it’s fine, wash your hands in Oros. Do whatever, bruh. It’s your life 😔 https://t.co/af…	1483776012936744961		1.5962154770844877e+18	['34433300']		
1596390652908273664	"Hai sir @sundeepkishan Am from Warangal Dist Telangana State. Could u please provide some financial help to buy a 2nd hand SUV so that I can run a cab for hire purpose,Coz I only know how to drive.This COVID period made my family such a bad condition with no job
Plz help me sir🙏"	991220223645798400			['140025069']		
1596390653604134916	"i talk to my one coworker about kpop a lot even though she's in her 40s and has no idea what i'm talking about but i told her about minho, han, and seungmin having covid and today she said ""how are your friends? are they feeling better?"" guess i'm besties with 2minsung now 🤗"	2746927823					
1596390655470993409	"RT @MarcTennant: Approximately HALF of all COVID deaths this week were in Aged Care in Australia.  What on earth are we doing!!!  
My immed…"	768982032604995585		1.59627217217502e+18	['2180874848']		
1596390655718481922	"RT @CharlesRixey: On 1/31/2020, 
the Wellcome Trust issued a press release calling on scientists and institutions to immediately release al…"	20301087		1.5963760047251784e+18	['1304319774906814464']		
1596390655781216256	RT @TheBernician: When Chancellor, unelected PM Sunak paid £196M to Moderna, which his company, Theleme, is a major shareholder of, for 7M…	1400329038271598593		1.5960936290678415e+18	['1921157221']		
1596390661640441856	"RT @badiucao: Thread/1

Massive protest happened in Ulumuqi，Xinjiang，China after more than 100 days zero-covid city lockdown.

People are c…"	265386907		1.5962472807129825e+18	['267695291']		
1596390661858762753	RT @david_r_morgan: If you watch any video today, make it this one. Andrew Tate absolutely nails the Covid scam in 90 seconds. 👇 https://t.…	217338850		1.5959077993047654e+18	['1108431749820882947']		
