tweet_id	text	author_id	in_reply_to_user_id	quoted	retweeted	mentions	replied_to
1596300367788408832	Being Right Wing is bad for you. And everybody else. https://t.co/sfEol9FNVu	347810579		1.5958477944677827e+18			
1596300367809155073	RT @ezralevant: Flashback: Trudeau's lockdown.	1484681649853980673			1.5962270682449306e+18	['20878297']	
1596300368526381057	RT @EricMMatheny: You were told if you got these vaccines you weren’t going to get covid. That the virus stops with the vaccinated. If you…	2935088015			1.5961510243180257e+18	['2730264319']	
1596300368774041602	"RT @dontwantadothis: @TMaritanoAquino Yup. And the newscaster started the story by saying that flu and rsv cases are increasing, adding ""an…"	1284041137808969729			1.5959487620691026e+18	['1184221955769229312', '1487947376719396867']	
1596300368635256832	Please let the world now https://t.co/HM81dlZnbb	1498443304094117888		1.5962472807129825e+18			
1596300369600327680	"RT @MyBoxerLuvMac1: 💔Precious💔
#NYCACC #157996 2y
▪️Urgent Medical
▪️Pneumonia
Adorable, sweet, youngster. Cute as a button girl's not feel…"	826663821641121793			1.5955690319516672e+18	['1214648962491269125']	
1596300369113620482	"There were also stone blockade stopping vehicles from entering the compound. All fire escapes were welded, and the gate was locked. All in the name of “pandemic control”.
These control measures stopped the residents from escaping the fire. https://t.co/beHuvLca4D"	1503157309240926209	1.5031573092409262e+18				1.5962980531323658e+18
1596300369885384706	I want to see Glass Onion so bad but I don't want to risk my life to see it, so I'm sorry it's getting shafted by a limited release, but I can't justify going to a theater. I wish with all my stupid little heart that anybody in charge gave a shit about the ongoing pandemic!	1138869533538705409					
1596300370242080769	"RT @david_r_morgan: Amnesty for every single person who was handed a fine or imprisoned for breaking ""Lockdown"" rules. Full reimbursement,…"	1416212822589984771			1.5962024451890586e+18	['1108431749820882947']	
1596300369897857028	"RT @david_conn: Michelle Mone’s lawyers sent us fierce denials that she was involved in PPE Medpro;

Company was “proud” its PPE “helped ke…"	2938229447			1.595691819584852e+18	['89236161']	
1596300370837311488	RT @KimDotcom: The #DiedSuddenly documentary creates a panic amongst the propaganda media which has sold the Covid vaccines 24/7. That’s gr…	1587542074542497793			1.5961710505467617e+18	['611986351']	
1596300370753589254	@upisdownpodcast @RhondaTxWriter @TEXITHedgehog @libertytarian @Ajhdfs1 @danallan_2 @Z8916660165 @bellarosa_tx @MonicaPerezShow @UScrimeReview @gardgoldsmith @buckrebel @GovGone @MimiscottZG @gldfit11 Media is controlled by entities far more powerful than Trump. They were gaming Covid for years. Again, I’m not defending Trump, but I don’t think there was anything he could do to change the plan that was already in motion 🤷🏼‍♀️	1917633787	1.2637203525106647e+18			['1263720352510664704', '801494686955208704', '1554244542890639361', '590211920', '1274876883981578240', '967068255524392962', '1335272165579649024', '4187723669', '384997325', '732612795078844416', '22413812', '43424420', '1286002988717400064', '720026249867833346', '4052379672']	1.596298105879941e+18
1596300371470979072	Hi hello don’t think I’ve seen any oomf’s but I have COVID! Stay vigilant and get boosted.	1507375234231513092					
1596300371575844864	RT @ChinaUncensored: More Covid protests https://t.co/6zyhZhx23R	248714401			1.5961151268093993e+18	['833100331']	
1596300371978133504	"Apache Corporation is hiring in Houston for a Receptionist. Click now to apply! 
https://t.co/MHSYLXDGtp

#houston #Houston #empleo #jobvacancies #covid #jobseekers"	1288222198679838721					
1596300374155010049	"RT @zoeharcombe: The origin of SARS-CoV-2 matters. A lot. 
We need to fully understand what happened to ensure it doesn't happen again.
htt…"	1519360197768134657			1.5960871968132628e+18	['30623732']	
1596300374536749057	RT @RobertKennedyJr: After analyzing more than 7 years of Massachusetts death certificates, independent investigator John Beaudoin, Sr., un…	2347699803			1.595173745165013e+18	['337808606']	
1596300374499102720	RT @jeffreyatucker: Incredibly, this is still up! https://t.co/kxDLUTP6II	2191490551			1.5962070723158385e+18	['23485648']	
1596300375438413824	"RT @badiucao: Thread/1

Massive protest happened in Ulumuqi，Xinjiang，China after more than 100 days zero-covid city lockdown.

People are c…"	20973272			1.5962472807129825e+18	['267695291']	
1596300375480762368	RT @melonconsumer: Many Xinjiang residents chanted the slogan 'serve the people' and waved the Chinese flag outside the governor's building…	1443771590165110789			1.5962989430588252e+18	['1291933342707757056']	
1596300375690444800	"RT @NewsHour: New COVID-19 cases and deaths are up from two weeks earlier. 

Yet, a fifth of the U.S. population hasn’t been vaccinated, mo…"	3022783169			1.5962624775533486e+18	['14437914']	
1596300376671629312	"RT @PeterSweden7: ▪️The birthrates have mysteriously collapsed and nobody knows why.

▪️Excess mortality is now higher than during the pand…"	1179923579439374336			1.595883267466535e+18	['707231479047315456']	
1596300376923377664	RT @david_r_morgan: I remember just as the first lockdown started in March 2020, I went for a walk with my dad up the Brecon Beacons. We we…	1419197923			1.5962012267519386e+18	['1108431749820882947']	
1596300377355608064	RT @waynemullins: Do you believe that covid 19 was just one way to bring down President Trump?	1374520669673693188			1.59624897405875e+18	['23526758']	
1596300377393336321	RT @BinitaKane: If you watch one thing today, let it be this. The excess cardiovascular deaths, lessons from history, the stark warning fro…	984874914447536128			1.596049390862762e+18	['867211584']	
1596300377087168512	@trose2121 @LayahHeilpern @PrimalGuru You were told if you got these vaccines you weren’t going to get covid. That the virus stops with the vaccinated. If you didn’t get it, you should lose your job and be ostracized from society. https://t.co/NqAwelEtcK	609909059	1199683632.0			['1199683632', '455937214', '1594774690245054465']	1.59614281132134e+18
1596300378689228800	@LayahHeilpern Lost trust in the medical-science and pharmaceuticals industry after watching a 2 year old die from the dtap vaccine and watching my mother die a slow death (35 years) from being a research monkey.	1482888660848623619	455937214.0			['455937214']	1.5961360820680827e+18
1596300378718408705	"RT @realdakz007: My first 3some vids way back during pandemic! Hahaha
Full vids Available in my TG Private Channel https://t.co/LcAmyztB1L"	882594792550481920			1.559528411756122e+18	['1406326192811110404']	
1596300378806648833	"RT @morethanmySLE: If you are still wearing a mask to protect yourself &amp; others from Covid, please reply with 😷

😷😷😷😷😷😷😷😷"	2216769620			1.5962829343525765e+18	['812361923304034304']	
1596300378890698752	@Jim_Oberst @RpsAgainstTrump The vaccine killed more than I did	872990701	7.646126053988188e+17			['764612605398818816', '1221462414744596483']	1.595188915761447e+18
1596300379771150337	RT @GCarabine: So....during a viral outbreak within a pandemic, your solution is not only to do nothing, but also to actively stop anyone e…	508310266			1.5959654427741757e+18	['524941932']	
1596300380257677312	The pandemic has driven radical changes to the way people work, and now some firms in Japan are aiming to make the office somewhere that is more than just a workplace. https://t.co/6JCQr57jln	7424642					
1596300381386162178	"RT @DawnButlerBrent: The Government counter fraud function warned of a high risk of fraud in PPE procurement.

Do you think that is why the…"	180750714			1.596130089195909e+18	['114505454']	
1596300381617033217	Hell yeah https://t.co/oGo5WuaQXn	1220850508161847299					
1596300381776408577	Uh oh I might have covid 💀	1204704938963722240					
1596300382325669890	RT @BohemianAtmosp1: The volume of people verbalising on here the fear of getting the new booster is staggering. Reactions to previous jabs…	1586436147080724481			1.596099576108548e+18	['1432116082157006853']	
1596300382665310210	🤷🏻‍♀️ but but all were jabbed so no-one should have caught or passed it on? Aargh no Pfizer didn’t test to see if it stops transmission so insisting on jabs has no reason or validity… and the much heralded AZ jab they have very quietly stopped making 👀@GBNEWS @MarkSteynOnline https://t.co/31lronbZ9E	1441824267885154304		1.5912019094149898e+18		['1339166129110065152', '270412323']	
1596300383324078081	@Magpieskitchen @Sweett_Gall @Canad_IANism @TomMarazzo No, you. All the laws and rules around covid were completely asinine. You had unvaxxed employees serving food for the last 3 years, but his virus was so dangerous everyone needed the jab. Yeah, no. It was all for more control.	2321522648	64866041.0			['64866041', '1586903904020824065', '1159360753603944449', '1468707251481423880']	1.5962993958758646e+18
1596300383965818882	@ULM_MAIN_UK @joeyjojojunior_ @CMO_England I have followed the recommendations of WHO, FDA, CDC and NIH very closely. None of these agencies every recommended ivermectin for COVID. This seems to be a fantasy that ivermectin promoters have falsely spread on social media.	1462637627656577026	8.286905900365292e+17			['828690590036529152', '2803301786', '1178622443814084608']	1.5962997405637673e+18
1596300384355897344	RT @JonathanTurley: ...These companies were fine with Twitter censoring free speech and blocking stories like the Hunter Biden laptop scand…	4073255479			1.5962733268756316e+18	['94784682']	
1596300384376848384	"RT @WallStreetSilv: BREAKING: China's Guangzhou city is building not only one, but dozens of quarantine camps now. 

The first one in the T…"	2845366230			1.5960359592497725e+18	['1366565625401909249']	
