tweet_id	text	author_id	in_reply_to_user_id	mentions	quoted	retweeted	replied_to
1596512864906477581	Thousands of Health Care Workers Face Job Loss as COVID Funding Dwindles ~ @Truthout https://t.co/Nd9FwDxNRI	15774048		['19605981']			
1596512864973586435	This is a good question. 👇🏻 https://t.co/1ehjxFTRW4	4799702183			1.5965124525895188e+18		
1596512866311495680	RT @Xx17965797N: Official UK document from the Ministry of Health reveals Convid never existed. This now being the case means the masks, lo…	1555840794073907200		['1552407495255199745']		1.5964351920208773e+18	
1596512866194149378	RT @TheRealKeean: Canada's most recent COVID update shows that 80% of Canadians have yet to receive a COVID vaccine in the last six months.…	540264349		['961134787']		1.596286679387865e+18	
1596512867918172160	RT @thevivafrei: Go to hell, Pete.	1519084444375601152		['96906231']		1.5962907409041572e+18	
1596512868329218048	@_ashawndabney Yes, but bear in mind that vaccines aren't meant to prevent  you from getting the virus, they're meant to keep you out of the hospital and or your grave.	38813294	1.2404614538549985e+18	['1240461453854998530']			1.5963794220467978e+18
1596512868538929153	RT @InternetHippo: I think the pandemic was the first time many people were forced to adjust their behavior out of consideration for others…	1601473026		['19638752']		1.596239466779226e+18	
1596512868660555776	RT @AlMorrison14: Did anyone pick up the pathetic Struan Stevensons unchallenged moaning about a £20m fund for independence that could be u…	250164072		['824883627041304576']		1.5964305785382257e+18	
1596512869436510208	RT @EricMMatheny: How can you listen to this and hear anything other than, “You’re not going to get COVID if you have these vaccinations?”…	968189504845737984		['2730264319']		1.596494930171818e+18	
1596512869503287298	RT @neilgibbons: England aren't playing badly. This game is simply the result of global factors, not least the effects of the pandemic and…	45611022		['28197128']		1.5962430017347502e+18	
1596512869264523265	"RT @LMShe4: Blackmail, indeed @columeastwood 
You have no shame."	40297170		['1310589305304371207', '20924620']		1.5964654131223265e+18	
1596512870421868545	RT @Harmindarboxoff: #SRK's #Pathaan teaser is the biggest success on YouTube for a bollywood movie in recent post pandemic times	1286329229680902145		['1421503989091246086']		1.5965028287089418e+18	
1596512870426349568	@alanataylor @RealTeaWallace @ianfarrow You may also notice this data indicates that not only were vaccine mandates in the US started much earlier, and lasted longer than Aus - you still have them, we don’t. You really do know very little about Australia while pretending to know a lot 👍	221204266	221204266.0	['12367712', '1545592443411714048', '20651091']			1.5965123408451707e+18
1596512870564614144	RT @jathorpmfm: The MOST EGREGIOUS ethical violation in the history of humanity is global pushing of a completely novel, untested, experime…	1519247119223242752		['1562904581478445057']		1.5958449821658644e+18	
1596512870908715011	"RT @rxjef77: CDC says it's now tracking a new COVID variant known as XBB:
The Centers for Disease Control and Prevention revealed Friday it…"	1227685162441420802		['22290536']		1.596503538578129e+18	
1596512871910875140	@standing_bison @jonjonweb85 @PaddySummitTher @AlexBerenson @pfizer Yep. The vaccine doesn't prevent a person getting the disease it was made for and since it doesn't prevent the disease it can't prevent spreading it so the push make no sense. There has to be a reason for them pushing it but they're keeping it secret. They're not trustworthy.	788937033582452736	1.5334239333110456e+18	['1533423933311045632', '2232209154', '741102318', '87679233', '56488059']			1.596502539071271e+18
