N,edges
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
10000,19997
