dataset,No,N_hat_nb,w_hat_nb,a_hat,upper_ci_nb,lower_ci_nb,N_hat_geom,w_hat_geom,upper_ci_geom,lower_ci_geom
arboreal_geckos.txt,70,100.35963578590372,1.0e-6,5249.9121658152435,115.59868138274068,89.2003055583766,167.99986419245016,1.0e-6,207.19493374793308,141.40974379338974
cottontail_rabbit.txt,76,96.13900752225535,0.2468659095280331,2.476241127594478,725.5355881874985,76.00000000004314,141.9999999924662,0.13157894739145748,192.51044905489303,101.92089861349305
diabetes_italy.txt,2059,2975.596345661612,1.0e-6,5451.1445407317115,3047.842767490569,2908.993383960615,4992.8929035379115,1.0e-6,5170.942900523086,4827.295343639632
dolphins_brazil.txt,382,783.0127992680318,1.0e-6,2.1860143392601,1144.4657960208592,613.4565049221251,1013.7046568186195,1.0e-6,1138.0045927272035,912.3736336863228
domestic_violence.txt,17662,545476.643281747,0.20966492842514806,0.0846174851598307,1.3837211676348175e6,195743.82329365826,70485.4424904706,0.3826814722176242,77108.46282965795,64863.45999949861
forced_labour.txt,5491,17578.89031168782,1.0e-6,1.9228405286184362,22486.399831500203,14634.594044791807,22458.38427457351,1.0e-6,23509.0041993128,21478.486449839715
hepatitis_taiwan.txt,271,441.4905964859954,0.1664069789783817,5608.3805480071815,550.4627881678693,350.72354542452933,926.7223103835253,1.0e-6,1093.5150709728834,795.8513574417518
heroin_usage.txt,9302,10394.905733253176,0.05525491184679763,1.6164659458125683,10756.945116040153,10079.06203450943,12207.145266759424,1.0e-6,12274.742968426573,12121.506743917851
illegal_immigrants.txt,1880,19420.000416682928,0.3524431062400443,0.2742579921386306,198208.96265441919,2643.642647848687,7335.357141229555,0.4553571429502545,9790.303480876693,5780.34544153135
meth_usage.txt,3345,477773.211791942,0.7957019523038308,0.005534830565335471,2.4385935176063087e7,3345.097436149713,3345.0,0.8695545129649206,3345.0,3345.0
opiate_usage.txt,2029,3819.0602297808455,0.09948576696265188,1.530398719742487,5857.347122407718,2634.1068726620047,4761.248322297255,0.0342740001345563,5086.763514597219,4368.283649921949
pleiades.txt,145,24136.88508537994,0.5537935883245734,0.005320013422566773,2.1260243549409565e6,233.03575967372052,226.11111074153095,0.6628352493452498,885.0597430010199,145.0
scrapie_france.txt,141,151.11578926255177,0.6910958835637252,22026.465794806678,5818.944704958664,141.0,377.77777754070456,0.5429472027194792,921.0809311578375,222.71428533281272
taxicab_edinburgh.txt,283,381.86838142957447,0.033959095281137046,4059.011501050233,420.975808011159,329.1377241281331,652.0731546672205,1.0e-6,719.7364118564863,595.1955168799071
