dataset,No,a_hat_oizt,a_hat_ztoi,log_pseudo_oizt,log_pseudo_ztoi,N_hat_oizt,N_hat_ztoi,w_hat_oizt,w_hat_ztoi
arboreal_geckos.txt,70.0,5249.9121658152435,22023.953073952016,-77.53934195569138,-77.53844809472872,100.35963578590372,100.35531076720052,1.0e-6,1.0000000000000003e-5
cottontail_rabbit.txt,76.0,2.476241127594478,2.4762553590390883,-97.6802203824225,-97.68022038242478,96.13900752225535,96.1388254911389,0.2468659095280331,0.18358294095364663
diabetes_italy.txt,2059.0,5451.1445407317115,1255.3162878654296,-2254.3784345602007,-2254.510012985728,2975.596345661612,2974.8659389023505,1.0e-6,1.0000000000000003e-5
dolphins_brazil.txt,382.0,2.1860143392601,2.1862547996537254,-405.2757865328749,-405.2758882983997,783.0127992680318,782.9769164789261,1.0e-6,1.0000000000000003e-5
domestic_violence.txt,17662.0,0.0846174851598307,0.03936684954949887,-8923.029168140227,-8922.85106955601,545476.643281747,1.141894719309233e6,0.20966492842514806,0.0035593862013917434
forced_labour.txt,5491.0,1.9228405286184362,1.9039040389839563,-4039.2246980995656,-4039.22733326029,17578.89031168782,17633.551055779695,1.0e-6,1.0000000000000003e-5
hepatitis_taiwan.txt,271.0,5608.3805480071815,22026.465794806678,-228.61990135373614,-228.61902460049293,441.4905964859954,441.324905841848,0.1664069789783817,0.10393995974028701
heroin_usage.txt,9302.0,1.6164659458125683,1.6164660763066814,-21418.12684864623,-21418.12684864619,10394.905733253176,10394.905342607728,0.05525491184679763,0.047713708996846765
illegal_immigrants.txt,1880.0,0.2742579921386306,0.3128086131965999,-872.5639391454929,-872.5646600588096,19420.000416682928,17364.298750277907,0.3524431062400443,0.05362633226707054
meth_usage.txt,3345.0,0.005534830565335471,0.0027590008308109493,-1119.4564973900865,-1119.4293698974238,477773.211791942,956833.3961428166,0.7957019523038308,0.009401280087582495
opiate_usage.txt,2029.0,1.530398719742487,1.5304135056907402,-2335.1192243931127,-2335.1192243931528,3819.0602297808455,3819.04279809313,0.09948576696265188,0.053158433833682246
pleiades.txt,145.0,0.005320013422566773,0.002194267580009688,-88.34556348700434,-88.34213782492904,24136.88508537994,58410.518785280285,0.5537935883245734,0.002416932181808444
scrapie_france.txt,141.0,22026.465794806678,22026.465794806678,-75.20799163425396,-75.20799200599497,151.11578926255177,151.15062358076636,0.6910958835637252,0.601639846645618
taxicab_edinburgh.txt,283.0,4059.011501050233,22026.465794806678,-333.67660719040754,-333.67538211032286,381.86838142957447,381.86354609641046,0.033959095281137046,0.024990457238601417
