w_hat,a_hat,Nu_hat,N_hat,No,trial,T,alpha,N,type
1.0e-6,430.96435665917477,627.9370323847529,769.9370323847529,142,1000,5,2.0,1000,MPLE-NB
1.0e-6,3.9331869403794024,696.3604970275651,1031.360497027565,335,1000,10,2.0,1000,MPLE-NB
1.0e-6,5.238676734119947,502.16636747841835,919.1663674784184,417,1000,15,2.0,1000,MPLE-NB
0.08449184342128047,6.733513147376912,266.7417575384509,820.7417575384509,554,1000,20,2.0,1000,MPLE-NB
0.13654484982716045,8.142976406720223,158.38111164995757,755.3811116499576,597,1000,25,2.0,1000,MPLE-NB
0.13086681152088867,5.752628634917099,158.46035234763895,798.460352347639,640,1000,30,2.0,1000,MPLE-NB
0.06914548075778625,3.2960101244378013,258.2934372662007,916.2934372662007,658,1000,35,2.0,1000,MPLE-NB
0.03926161881490281,2.7932380553967167,271.38811760306305,948.388117603063,677,1000,40,2.0,1000,MPLE-NB
1.0e-6,2.232990693563872,332.83982742510284,1021.8398274251028,689,1000,45,2.0,1000,MPLE-NB
0.0049792465674262576,2.419026217988872,284.8098266912092,995.8098266912092,711,1000,50,2.0,1000,MPLE-NB
1.0e-6,399.0255635047342,702.2351957085402,889.2351957085402,187,100,5,2.0,1000,MPLE-NB
1.0e-6,647.0705009895283,454.9019917264882,749.9019917264882,295,100,10,2.0,1000,MPLE-NB
0.11528460217133654,1.7326882451429043e7,280.275448622642,654.275448622642,374,100,15,2.0,1000,MPLE-NB
1.0e-6,4.135627981362715,427.57323679587125,893.5732367958713,466,100,20,2.0,1000,MPLE-NB
1.0e-6,2.7956913746481726,422.6693012213573,939.6693012213573,517,100,25,2.0,1000,MPLE-NB
1.0e-6,3.652997574656767,338.01206754948817,898.0120675494882,560,100,30,2.0,1000,MPLE-NB
1.0e-6,2.2053195285514775,366.78495007428353,989.7849500742835,623,100,35,2.0,1000,MPLE-NB
1.0e-6,2.3251590275434775,317.74590130351953,975.7459013035195,658,100,40,2.0,1000,MPLE-NB
