trial,id,N,density,avg_degree
6,0.43565557557003975,10000,0.0975047504750475,974.95
0,0.2544748248707914,10000,0.0975047504750475,974.95
5,0.2856954699811205,10000,0.0975047504750475,974.95
3,0.5990329023562365,10000,0.0975047504750475,974.95
4,0.7895637473656013,10000,0.0975047504750475,974.95
2,0.5626494554048951,10000,0.0975047504750475,974.95
1,0.0575276785617046,10000,0.0975047504750475,974.95
7,0.20722396069105553,10000,0.0975047504750475,974.95
8,0.6625354060588347,10000,0.0975047504750475,974.95
9,0.5007547316038631,10000,0.0975047504750475,974.95
10,0.34435898500275175,10000,0.0975047504750475,974.95
13,0.45216280172835666,10000,0.0975047504750475,974.95
11,0.12473354017581029,10000,0.0975047504750475,974.95
12,0.5775250297776511,10000,0.0975047504750475,974.95
14,0.9778954153700287,10000,0.0975047504750475,974.95
15,0.33540891116105653,10000,0.0975047504750475,974.95
16,0.03671355412768462,10000,0.0975047504750475,974.95
17,0.0018468361697810964,10000,0.0975047504750475,974.95
18,0.3707384147560877,10000,0.0975047504750475,974.95
19,0.6835356865783334,10000,0.0975047504750475,974.95
20,0.5366079684029799,10000,0.0975047504750475,974.95
21,0.8903810428475325,10000,0.0975047504750475,974.95
22,0.5624078879184058,10000,0.0975047504750475,974.95
23,0.2723950246008622,10000,0.0975047504750475,974.95
24,0.20227540819543088,10000,0.0975047504750475,974.95
25,0.16001216213547476,10000,0.0975047504750475,974.95
26,0.6397104937572902,10000,0.0975047504750475,974.95
27,0.7236734080473217,10000,0.0975047504750475,974.95
28,0.48392863805423325,10000,0.0975047504750475,974.95
29,0.044373079714670305,10000,0.0975047504750475,974.95
30,0.4868269943947805,10000,0.0975047504750475,974.95
31,0.12336083727515135,10000,0.0975047504750475,974.95
32,0.3563739875002375,10000,0.0975047504750475,974.95
33,0.388585146810714,10000,0.0975047504750475,974.95
34,0.45225005008191665,10000,0.0975047504750475,974.95
35,0.07433463214900249,10000,0.0975047504750475,974.95
37,0.03218059179112309,10000,0.0975047504750475,974.95
36,0.13035994895840441,10000,0.0975047504750475,974.95
38,0.019364545217128604,10000,0.0975047504750475,974.95
39,0.9997540851986648,10000,0.0975047504750475,974.95
40,0.5842291933003797,10000,0.0975047504750475,974.95
41,0.8894681578660276,10000,0.0975047504750475,974.95
42,0.26698770397647065,10000,0.0975047504750475,974.95
43,0.6569865642378265,10000,0.0975047504750475,974.95
44,0.5306988410849233,10000,0.0975047504750475,974.95
45,0.9228454477412569,10000,0.0975047504750475,974.95
