a_hat,Nu_hat,N_hat,No,trial,T,graph,N,type
0.9948538763169281,17296.336779783443,18178.336779783443,882,1,5,ba_50,10000,Pseudolikelihood
-999.0,8380.011904761905,9262.011904761905,882,1,5,ba_50,10000,Chao
-999.0,17248.14199205589,18130.14199205589,882,1,5,ba_50,10000,Turing Geometric
-999.0,5874.8,6756.8,882,1,5,ba_50,10000,Schnabel
-999.0,8375.857531336978,9257.857531336978,882,1,5,ba_50,10000,Zelterman
-999.0,6788.323957648032,7670.323957648032,882,1,5,ba_50,10000,Chao Lee Jeng 1
-999.0,10038.812731643127,10920.812731643127,882,1,5,ba_50,10000,Chao Lee Jeng 0
-999.0,1625.4916666666668,2507.491666666667,882,1,5,ba_50,10000,Jackknife k = 4
-999.0,1470.2999999999997,2352.2999999999997,882,1,5,ba_50,10000,Jackknife k = 3
-999.0,1625.4916666666668,2507.491666666667,882,1,5,ba_50,10000,Jackknife k = 5
-999.0,-1881,-999,882,1,5,ba_50,10000,Conway-Maxwell-Poisson
-999.0,6642.352139458135,7524.352139458135,882,1,5,ba_50,10000,Turing
-999.0,1155.6999999999998,2037.6999999999998,882,1,5,ba_50,10000,Jackknife k = 2
-999.0,671.2,1553.2,882,1,5,ba_50,10000,Jackknife k = 1
-999.0,6788.323957648032,7670.323957648032,882,1,5,ba_50,10000,Chao Lee Jeng 2
0.8421530828472185,12016.659329902945,14303.659329902945,2287,1,10,ba_50,10000,Pseudolikelihood
-999.0,5611.221183800623,7898.221183800623,2287,1,10,ba_50,10000,Chao
-999.0,11049.467253368648,13336.467253368648,2287,1,10,ba_50,10000,Turing Geometric
-999.0,3780.0167364016734,6067.016736401673,2287,1,10,ba_50,10000,Schnabel
-999.0,5682.097820943771,7969.097820943771,2287,1,10,ba_50,10000,Zelterman
-999.0,4783.12988470467,7070.12988470467,2287,1,10,ba_50,10000,Chao Lee Jeng 1
-999.0,5729.424376146881,8016.424376146881,2287,1,10,ba_50,10000,Chao Lee Jeng 0
-999.0,4716.761309523809,7003.761309523809,2287,1,10,ba_50,10000,Jackknife k = 4
-999.0,3976.729166666667,6263.729166666667,2287,1,10,ba_50,10000,Jackknife k = 3
-999.0,5270.7083994709,7557.7083994709,2287,1,10,ba_50,10000,Jackknife k = 5
-999.0,13591.098753147371,15878.098753147371,2287,1,10,ba_50,10000,Conway-Maxwell-Poisson
-999.0,4406.652324235321,6693.652324235321,2287,1,10,ba_50,10000,Turing
-999.0,2998.333333333334,5285.333333333334,2287,1,10,ba_50,10000,Jackknife k = 2
-999.0,1708.1999999999998,3995.2,2287,1,10,ba_50,10000,Jackknife k = 1
-999.0,4830.941344817186,7117.941344817186,2287,1,10,ba_50,10000,Chao Lee Jeng 2
0.6739709626570322,10457.504109298703,13755.504109298703,3298,1,15,ba_50,10000,Pseudolikelihood
-999.0,4138.761799410029,7436.761799410029,3298,1,15,ba_50,10000,Chao
-999.0,8270.696799381414,11568.696799381414,3298,1,15,ba_50,10000,Turing Geometric
-999.0,2568.313388182498,5866.313388182498,3298,1,15,ba_50,10000,Schnabel
-999.0,4269.231805678445,7567.231805678445,3298,1,15,ba_50,10000,Zelterman
-999.0,3757.4965189955383,7055.496518995538,3298,1,15,ba_50,10000,Chao Lee Jeng 1
-999.0,4274.694725046318,7572.694725046318,3298,1,15,ba_50,10000,Chao Lee Jeng 0
-999.0,5430.782112332114,8728.782112332114,3298,1,15,ba_50,10000,Jackknife k = 4
-999.0,4745.208791208793,8043.208791208793,3298,1,15,ba_50,10000,Jackknife k = 3
-999.0,5868.833005883005,9166.833005883005,3298,1,15,ba_50,10000,Jackknife k = 5
-999.0,9423.880422781162,12721.880422781162,3298,1,15,ba_50,10000,Conway-Maxwell-Poisson
-999.0,3133.184326442618,6431.184326442618,3298,1,15,ba_50,10000,Turing
-999.0,3718.5714285714284,7016.571428571428,3298,1,15,ba_50,10000,Jackknife k = 2
-999.0,2211.0666666666666,5509.066666666667,3298,1,15,ba_50,10000,Jackknife k = 1
-999.0,3783.0300824907754,7081.030082490775,3298,1,15,ba_50,10000,Chao Lee Jeng 2
0.6339640748466859,10944.644437090003,14580.644437090003,3636,1,20,ba_50,10000,Pseudolikelihood
-999.0,4299.18791064389,7935.18791064389,3636,1,20,ba_50,10000,Chao
-999.0,8399.411279735148,12035.411279735148,3636,1,20,ba_50,10000,Turing Geometric
-999.0,2526.9573019801983,6162.957301980198,3636,1,20,ba_50,10000,Schnabel
-999.0,4472.193487831569,8108.193487831569,3636,1,20,ba_50,10000,Zelterman
-999.0,4109.270247367436,7745.270247367436,3636,1,20,ba_50,10000,Chao Lee Jeng 1
-999.0,4526.3268881772365,8162.3268881772365,3636,1,20,ba_50,10000,Chao Lee Jeng 0
-999.0,5981.012641898866,9617.012641898866,3636,1,20,ba_50,10000,Jackknife k = 4
-999.0,5212.709649122808,8848.709649122808,3636,1,20,ba_50,10000,Jackknife k = 3
-999.0,6501.75540989422,10137.75540989422,3636,1,20,ba_50,10000,Jackknife k = 5
-999.0,9893.876204912975,13529.876204912975,3636,1,20,ba_50,10000,Conway-Maxwell-Poisson
-999.0,3210.8951244723366,6846.895124472337,3636,1,20,ba_50,10000,Turing
-999.0,4083.4473684210516,7719.447368421052,3636,1,20,ba_50,10000,Jackknife k = 2
-999.0,2430.1000000000004,6066.1,3636,1,20,ba_50,10000,Jackknife k = 1
-999.0,4126.8045878219855,7762.8045878219855,3636,1,20,ba_50,10000,Chao Lee Jeng 2
0.5914564613217281,11665.991411677054,15722.991411677054,4057,1,25,ba_50,10000,Pseudolikelihood
-999.0,4101.091847826087,8158.091847826087,4057,1,25,ba_50,10000,Chao
-999.0,8347.556561477393,12404.556561477393,4057,1,25,ba_50,10000,Turing Geometric
-999.0,2435.6655052264805,6492.6655052264805,4057,1,25,ba_50,10000,Schnabel
-999.0,4253.116466097254,8310.116466097254,4057,1,25,ba_50,10000,Zelterman
-999.0,4160.737421283386,8217.737421283386,4057,1,25,ba_50,10000,Chao Lee Jeng 1
-999.0,4505.156093242158,8562.156093242158,4057,1,25,ba_50,10000,Chao Lee Jeng 0
-999.0,6092.332720685114,10149.332720685114,4057,1,25,ba_50,10000,Jackknife k = 4
-999.0,5441.627246376811,9498.627246376811,4057,1,25,ba_50,10000,Jackknife k = 3
-999.0,6436.40719838133,10493.40719838133,4057,1,25,ba_50,10000,Jackknife k = 5
-999.0,8817.698793729322,12874.698793729322,4057,1,25,ba_50,10000,Conway-Maxwell-Poisson
-999.0,3163.766182422434,7220.766182422434,4057,1,25,ba_50,10000,Turing
-999.0,4353.226666666667,8410.226666666667,4057,1,25,ba_50,10000,Jackknife k = 2
-999.0,2637.12,6694.12,4057,1,25,ba_50,10000,Jackknife k = 1
-999.0,4172.145912424867,8229.145912424867,4057,1,25,ba_50,10000,Chao Lee Jeng 2
0.627136901944557,10483.306046253925,14872.306046253925,4389,1,30,ba_50,10000,Pseudolikelihood
-999.0,3783.4181818181823,8172.418181818182,4389,1,30,ba_50,10000,Chao
-999.0,7717.332324004223,12106.332324004223,4389,1,30,ba_50,10000,Turing Geometric
-999.0,2186.3785065191623,6575.378506519162,4389,1,30,ba_50,10000,Schnabel
-999.0,3980.0708871325332,8369.070887132533,4389,1,30,ba_50,10000,Zelterman
-999.0,3893.651452185415,8282.651452185415,4389,1,30,ba_50,10000,Chao Lee Jeng 1
-999.0,4156.074215255832,8545.074215255832,4389,1,30,ba_50,10000,Chao Lee Jeng 0
-999.0,6046.610280970624,10435.610280970624,4389,1,30,ba_50,10000,Jackknife k = 4
-999.0,5427.761658456484,9816.761658456484,4389,1,30,ba_50,10000,Jackknife k = 3
-999.0,6428.228885333485,10817.228885333485,4389,1,30,ba_50,10000,Jackknife k = 5
-999.0,7817.786087714552,12206.786087714552,4389,1,30,ba_50,10000,Conway-Maxwell-Poisson
-999.0,2852.7841076450413,7241.784107645041,4389,1,30,ba_50,10000,Turing
-999.0,4401.098850574712,8790.098850574712,4389,1,30,ba_50,10000,Jackknife k = 2
-999.0,2718.2666666666664,7107.266666666666,4389,1,30,ba_50,10000,Jackknife k = 1
-999.0,3902.63409953697,8291.63409953697,4389,1,30,ba_50,10000,Chao Lee Jeng 2
0.5872135842643375,9735.756481995522,14482.756481995522,4747,1,35,ba_50,10000,Pseudolikelihood
-999.0,3167.6736798679867,7914.673679867987,4747,1,35,ba_50,10000,Chao
-999.0,6599.524851339986,11346.524851339986,4747,1,35,ba_50,10000,Turing Geometric
