a_hat,Nu_hat,N_hat,No,trial,T,graph,N,type
-999.0,8228.994604316547,10662.994604316547,2434,1,25,sbm_50,10000,Chao
-999.0,18267.056936685618,20701.056936685618,2434,1,25,sbm_50,10000,Turing Geometric
-999.0,8274.536741214057,10708.536741214057,2434,1,25,sbm_50,10000,Schnabel
-999.0,8199.55979801309,10633.55979801309,2434,1,25,sbm_50,10000,Zelterman
-999.0,8159.395299709535,10593.395299709535,2434,1,25,sbm_50,10000,Chao Lee Jeng 1
-999.0,8564.716092863468,10998.716092863468,2434,1,25,sbm_50,10000,Chao Lee Jeng 0
-999.0,6399.892025691701,8833.8920256917,2434,1,25,sbm_50,10000,Jackknife k = 4
-999.0,5212.182173913043,7646.182173913043,2434,1,25,sbm_50,10000,Jackknife k = 3
-999.0,7373.266926877472,9807.266926877472,2434,1,25,sbm_50,10000,Jackknife k = 5
-999.0,4544.142149126916,6978.142149126916,2434,1,25,sbm_50,10000,Conway-Maxwell-Poisson
-999.0,8175.969757660068,10609.969757660068,2434,1,25,sbm_50,10000,Turing
-999.0,3776.2166666666662,6210.216666666666,2434,1,25,sbm_50,10000,Jackknife k = 2
-999.0,2053.4400000000005,4487.4400000000005,2434,1,25,sbm_50,10000,Jackknife k = 1
-999.0,8162.315031523831,10596.31503152383,2434,1,25,sbm_50,10000,Chao Lee Jeng 2
1000.0,8220.056656704684,11061.056656704684,2841,1,30,sbm_50,10000,Pseudolikelihood
-999.0,7796.518469656992,10637.518469656992,2841,1,30,sbm_50,10000,Chao
-999.0,17507.260548778715,20348.260548778715,2841,1,30,sbm_50,10000,Turing Geometric
-999.0,7867.320541760722,10708.320541760722,2841,1,30,sbm_50,10000,Schnabel
-999.0,7764.640006506685,10605.640006506685,2841,1,30,sbm_50,10000,Zelterman
-999.0,7771.491704255737,10612.491704255737,2841,1,30,sbm_50,10000,Chao Lee Jeng 1
-999.0,8097.126367179091,10938.126367179091,2841,1,30,sbm_50,10000,Chao Lee Jeng 0
-999.0,7095.03509548136,9936.03509548136,2841,1,30,sbm_50,10000,Jackknife k = 4
-999.0,5841.782717569786,8682.782717569786,2841,1,30,sbm_50,10000,Jackknife k = 3
-999.0,8082.14317338685,10923.14317338685,2841,1,30,sbm_50,10000,Jackknife k = 5
-999.0,4959.426843677445,7800.426843677445,2841,1,30,sbm_50,10000,Conway-Maxwell-Poisson
-999.0,7784.257832690122,10625.257832690122,2841,1,30,sbm_50,10000,Turing
-999.0,4277.3643678160915,7118.3643678160915,2841,1,30,sbm_50,10000,Jackknife k = 2
-999.0,2349.966666666667,5190.966666666667,2841,1,30,sbm_50,10000,Jackknife k = 1
-999.0,7774.079079595231,10615.07907959523,2841,1,30,sbm_50,10000,Chao Lee Jeng 2
1000.0,7759.721589763192,10945.721589763192,3186,1,35,sbm_50,10000,Pseudolikelihood
-999.0,7364.876041666666,10550.876041666666,3186,1,35,sbm_50,10000,Chao
-999.0,16760.195997869545,19946.195997869545,3186,1,35,sbm_50,10000,Turing Geometric
-999.0,7470.1517241379315,10656.151724137932,3186,1,35,sbm_50,10000,Schnabel
-999.0,7327.204235255236,10513.204235255236,3186,1,35,sbm_50,10000,Zelterman
-999.0,7383.153427638739,10569.15342763874,3186,1,35,sbm_50,10000,Chao Lee Jeng 1
-999.0,7653.434277760738,10839.434277760738,3186,1,35,sbm_50,10000,Chao Lee Jeng 0
-999.0,7523.784945569136,10709.784945569136,3186,1,35,sbm_50,10000,Jackknife k = 4
-999.0,6277.130888719124,9463.130888719124,3186,1,35,sbm_50,10000,Jackknife k = 3
-999.0,8442.59305290298,11628.59305290298,3186,1,35,sbm_50,10000,Jackknife k = 5
-999.0,5675.697262931055,8861.697262931055,3186,1,35,sbm_50,10000,Conway-Maxwell-Poisson
-999.0,7393.904033144014,10579.904033144014,3186,1,35,sbm_50,10000,Turing
-999.0,4650.825210084035,7836.825210084035,3186,1,35,sbm_50,10000,Jackknife k = 2
-999.0,2583.028571428571,5769.028571428571,3186,1,35,sbm_50,10000,Jackknife k = 1
-999.0,7385.195073687384,10571.195073687384,3186,1,35,sbm_50,10000,Chao Lee Jeng 2
1000.0,6765.867322954413,10248.867322954413,3483,1,40,sbm_50,10000,Pseudolikelihood
-999.0,6602.360504201681,10085.36050420168,3483,1,40,sbm_50,10000,Chao
-999.0,14989.18013262652,18472.18013262652,3483,1,40,sbm_50,10000,Turing Geometric
-999.0,6594.434108527132,10077.434108527132,3483,1,40,sbm_50,10000,Schnabel
-999.0,6585.430432722884,10068.430432722884,3483,1,40,sbm_50,10000,Zelterman
-999.0,6504.876692690343,9987.876692690343,3483,1,40,sbm_50,10000,Chao Lee Jeng 1
-999.0,6716.3277988915215,10199.327798891522,3483,1,40,sbm_50,10000,Chao Lee Jeng 0
-999.0,7620.4894527118195,11103.48945271182,3483,1,40,sbm_50,10000,Jackknife k = 4
-999.0,6444.319871794873,9927.319871794873,3483,1,40,sbm_50,10000,Jackknife k = 3
-999.0,8447.370149451071,11930.370149451071,3483,1,40,sbm_50,10000,Jackknife k = 5
-999.0,6001.765629963651,9484.765629963651,3483,1,40,sbm_50,10000,Conway-Maxwell-Poisson
-999.0,6509.182905696627,9992.182905696627,3483,1,40,sbm_50,10000,Turing
-999.0,4845.018589743591,8328.018589743591,3483,1,40,sbm_50,10000,Jackknife k = 2
-999.0,2732.9249999999993,6215.924999999999,3483,1,40,sbm_50,10000,Jackknife k = 1
-999.0,6506.947291133994,9989.947291133994,3483,1,40,sbm_50,10000,Chao Lee Jeng 2
13.310260734940512,6510.831691075183,10314.831691075182,3804,1,45,sbm_50,10000,Pseudolikelihood
-999.0,6056.581703910615,9860.581703910615,3804,1,45,sbm_50,10000,Chao
-999.0,13560.589283301193,17364.589283301193,3804,1,45,sbm_50,10000,Turing Geometric
-999.0,5823.0,9627.0,3804,1,45,sbm_50,10000,Schnabel
-999.0,6074.706958674698,9878.706958674698,3804,1,45,sbm_50,10000,Zelterman
-999.0,5784.913548184608,9588.913548184608,3804,1,45,sbm_50,10000,Chao Lee Jeng 1
-999.0,5959.281511966714,9763.281511966714,3804,1,45,sbm_50,10000,Chao Lee Jeng 0
-999.0,7687.621264975332,11491.621264975332,3804,1,45,sbm_50,10000,Jackknife k = 4
-999.0,6588.028376791168,10392.028376791168,3804,1,45,sbm_50,10000,Jackknife k = 3
-999.0,8415.95818930602,12219.95818930602,3804,1,45,sbm_50,10000,Jackknife k = 5
-999.0,7051.838042504107,10855.838042504107,3804,1,45,sbm_50,10000,Conway-Maxwell-Poisson
-999.0,5778.8561171296315,9582.856117129631,3804,1,45,sbm_50,10000,Turing
-999.0,5025.038383838386,8829.038383838386,3804,1,45,sbm_50,10000,Jackknife k = 2
-999.0,2879.5555555555557,6683.555555555556,3804,1,45,sbm_50,10000,Jackknife k = 1
-999.0,5786.906596035038,9590.906596035038,3804,1,45,sbm_50,10000,Chao Lee Jeng 2
122.30779389180051,5839.076731648703,9922.076731648704,4083,1,50,sbm_50,10000,Pseudolikelihood
-999.0,5825.7810975609755,9908.781097560975,4083,1,50,sbm_50,10000,Chao
-999.0,13343.790127089356,17426.790127089356,4083,1,50,sbm_50,10000,Turing Geometric
-999.0,5673.011774600505,9756.011774600505,4083,1,50,sbm_50,10000,Schnabel
-999.0,5833.645125036064,9916.645125036064,4083,1,50,sbm_50,10000,Zelterman
-999.0,5638.171280349123,9721.171280349123,4083,1,50,sbm_50,10000,Chao Lee Jeng 1
-999.0,5791.484582500658,9874.484582500658,4083,1,50,sbm_50,10000,Chao Lee Jeng 0
-999.0,7797.002419308148,11880.002419308148,4083,1,50,sbm_50,10000,Jackknife k = 4
-999.0,6767.198741496599,10850.198741496599,4083,1,50,sbm_50,10000,Jackknife k = 3
-999.0,8426.74145823894,12509.74145823894,4083,1,50,sbm_50,10000,Jackknife k = 5
