a_hat,Nu_hat,N_hat,No,trial,T,graph,N,type
-999.0,3165.967741935484,3845.967741935484,680,1,25,ba_25,10000,Schnabel
-999.0,3440.571681706485,4120.571681706485,680,1,25,ba_25,10000,Zelterman
-999.0,3335.06631299735,4015.06631299735,680,1,25,ba_25,10000,Chao Lee Jeng 1
-999.0,3494.6860126745823,4174.686012674582,680,1,25,ba_25,10000,Chao Lee Jeng 0
-999.0,1973.1134057971017,2653.1134057971017,680,1,25,ba_25,10000,Jackknife k = 4
-999.0,1574.5014492753621,2254.501449275362,680,1,25,ba_25,10000,Jackknife k = 3
-999.0,2320.888768115942,3000.888768115942,680,1,25,ba_25,10000,Jackknife k = 5
-999.0,2827.2657413689453,3507.2657413689453,680,1,25,ba_25,10000,Conway-Maxwell-Poisson
-999.0,3337.543583451421,4017.543583451421,680,1,25,ba_25,10000,Turing
-999.0,1118.1066666666666,1798.1066666666666,680,1,25,ba_25,10000,Jackknife k = 2
-999.0,596.1599999999999,1276.1599999999999,680,1,25,ba_25,10000,Jackknife k = 1
-999.0,3336.108435472243,4016.108435472243,680,1,25,ba_25,10000,Chao Lee Jeng 2
0.6740242226445037,10249.108699829538,11052.108699829538,803,1,30,ba_25,10000,Pseudolikelihood
-999.0,3987.7686567164183,4790.768656716418,803,1,30,ba_25,10000,Chao
-999.0,8157.4072790048685,8960.407279004869,803,1,30,ba_25,10000,Turing Geometric
-999.0,3499.4050632911394,4302.405063291139,803,1,30,ba_25,10000,Schnabel
-999.0,3991.3044416595676,4794.304441659568,803,1,30,ba_25,10000,Zelterman
-999.0,3779.3485542952267,4582.348554295227,803,1,30,ba_25,10000,Chao Lee Jeng 1
-999.0,3948.957768423752,4751.957768423752,803,1,30,ba_25,10000,Chao Lee Jeng 0
-999.0,2355.6354679802953,3158.6354679802953,803,1,30,ba_25,10000,Jackknife k = 4
-999.0,1875.292939244664,2678.292939244664,803,1,30,ba_25,10000,Jackknife k = 3
