a_hat,Nu_hat,N_hat,No,trial,T,avg_n,N,type
-999.0,731.7199400866517,865.7199400866517,134,10,5,28.6,1000.0,Turing
-999.0,170.95,304.95,134,10,5,28.6,1000.0,Jackknife k = 2
-999.0,100.0,234.0,134,10,5,28.6,1000.0,Jackknife k = 1
-999.0,868.0555555555555,1002.0555555555555,134,10,5,28.6,1000.0,Chao
0.3677834419251171,886.6163097425346,1120.6163097425347,234,10,10,36.7,1000.0,Pseudolikelihood
-999.0,454.798895306007,688.798895306007,234,10,10,36.7,1000.0,Turing Geometric
-999.0,5.268830068095895,239.2688300680959,234,10,10,36.7,1000.0,Huggins
-999.0,81.43609022556393,315.43609022556393,234,10,10,36.7,1000.0,Schnabel
-999.0,558.3825347142736,792.3825347142736,234,10,10,36.7,1000.0,Zelterman
-999.0,437.5742063492063,671.5742063492063,234,10,10,36.7,1000.0,Jackknife k = 4
-999.0,347.6194444444444,581.6194444444444,234,10,10,36.7,1000.0,Jackknife k = 3
-999.0,521.1467923280424,755.1467923280424,234,10,10,36.7,1000.0,Jackknife k = 5
-999.0,1964.2955909200032,2198.295590920003,234,10,10,36.7,1000.0,Conway-Maxwell-Poisson
-999.0,154.41485260541458,388.4148526054146,234,10,10,36.7,1000.0,Turing
-999.0,252.0888888888889,486.0888888888889,234,10,10,36.7,1000.0,Jackknife k = 2
-999.0,144.0,378.0,234,10,10,36.7,1000.0,Jackknife k = 1
-999.0,457.1428571428571,691.1428571428571,234,10,10,36.7,1000.0,Chao
1.4550837216876422,344.3830347765241,674.383034776524,330,10,15,38.4,1000.0,Pseudolikelihood
-999.0,442.5116240624051,772.5116240624051,330,10,15,38.4,1000.0,Turing Geometric
-999.0,3.8244267112866623,333.82442671128666,330,10,15,38.4,1000.0,Huggins
-999.0,71.21544715447152,401.2154471544715,330,10,15,38.4,1000.0,Schnabel
-999.0,283.22684663033056,613.2268466303306,330,10,15,38.4,1000.0,Zelterman
-999.0,426.646153846154,756.646153846154,330,10,15,38.4,1000.0,Jackknife k = 4
-999.0,357.4831501831503,687.4831501831503,330,10,15,38.4,1000.0,Jackknife k = 3
-999.0,499.627061827062,829.627061827062,330,10,15,38.4,1000.0,Jackknife k = 5
-999.0,565.295768849913,895.295768849913,330,10,15,38.4,1000.0,Conway-Maxwell-Poisson
-999.0,143.47098063310267,473.47098063310267,330,10,15,38.4,1000.0,Turing
