a_hat,Nu_hat,N_hat,No,trial,T,avg_n,N,type
51.583254224476974,1307.0095132099411,1392.0095132099411,85,1,5,17.0,1000.0,Pseudolikelihood
-999.0,Inf,Inf,85,1,5,17.0,1000.0,Turing Geometric
-999.0,7.166897987508676,92.16689798750868,85,1,5,17.0,1000.0,Huggins
-999.0,Inf,Inf,85,1,5,17.0,1000.0,Schnabel
-999.0,Inf,Inf,85,1,5,17.0,1000.0,Zelterman
-999.0,170.0,255.0,85,1,5,17.0,1000.0,Jackknife k = 4
-999.0,153.0,238.0,85,1,5,17.0,1000.0,Jackknife k = 3
-999.0,170.0,255.0,85,1,5,17.0,1000.0,Jackknife k = 5
-999.0,85.0,170.0,85,1,5,17.0,1000.0,Conway-Maxwell-Poisson
-999.0,Inf,Inf,85,1,5,17.0,1000.0,Turing
-999.0,119.0,204.0,85,1,5,17.0,1000.0,Jackknife k = 2
-999.0,68.0,153.0,85,1,5,17.0,1000.0,Jackknife k = 1
-999.0,Inf,Inf,85,1,5,17.0,1000.0,Chao
54.89392271922888,1732.8895364729394,1842.8895364729394,110,1,10,11.1,1000.0,Pseudolikelihood
-999.0,12044.749994834456,12154.749994834456,110,1,10,11.1,1000.0,Turing Geometric
-999.0,3.182128450112174,113.18212845011217,110,1,10,11.1,1000.0,Huggins
-999.0,3796.0,3906.0,110,1,10,11.1,1000.0,Schnabel
-999.0,5940.168194774891,6050.168194774891,110,1,10,11.1,1000.0,Zelterman
-999.0,323.72222222222223,433.72222222222223,110,1,10,11.1,1000.0,Jackknife k = 4
-999.0,259.7222222222222,369.7222222222222,110,1,10,11.1,1000.0,Jackknife k = 3
-999.0,376.77777777777777,486.77777777777777,110,1,10,11.1,1000.0,Jackknife k = 5
-999.0,109.0,219.0,110,1,10,11.1,1000.0,Conway-Maxwell-Poisson
-999.0,5390.035185721288,5500.035185721288,110,1,10,11.1,1000.0,Turing
-999.0,184.58888888888885,294.58888888888885,110,1,10,11.1,1000.0,Jackknife k = 2
-999.0,98.10000000000002,208.10000000000002,110,1,10,11.1,1000.0,Jackknife k = 1
-999.0,5940.5,6050.5,110,1,10,11.1,1000.0,Chao
30.84125572043281,513.4893310120559,653.4893310120559,140,1,15,10.533333333333333,1000.0,Pseudolikelihood
-999.0,1049.6235289153428,1189.6235289153428,140,1,15,10.533333333333333,1000.0,Turing Geometric
-999.0,2.158034198621408,142.1580341986214,140,1,15,10.533333333333333,1000.0,Huggins
-999.0,390.16666666666663,530.1666666666666,140,1,15,10.533333333333333,1000.0,Schnabel
-999.0,471.1568118893508,611.1568118893508,140,1,15,10.533333333333333,1000.0,Zelterman
-999.0,346.32783882783883,486.32783882783883,140,1,15,10.533333333333333,1000.0,Jackknife k = 4
-999.0,284.6996336996337,424.6996336996337,140,1,15,10.533333333333333,1000.0,Jackknife k = 3
-999.0,395.9432234432235,535.9432234432235,140,1,15,10.533333333333333,1000.0,Jackknife k = 5
-999.0,270.0804901378986,410.0804901378986,140,1,15,10.533333333333333,1000.0,Conway-Maxwell-Poisson
-999.0,454.9358692885344,594.9358692885344,140,1,15,10.533333333333333,1000.0,Turing
-999.0,208.52380952380952,348.5238095238095,140,1,15,10.533333333333333,1000.0,Jackknife k = 2
-999.0,114.80000000000001,254.8,140,1,15,10.533333333333333,1000.0,Jackknife k = 1
-999.0,472.78125,612.78125,140,1,15,10.533333333333333,1000.0,Chao
31.092421711943658,856.3854597611736,1040.3854597611735,184,1,20,10.15,1000.0,Pseudolikelihood
-999.0,1738.4029085006127,1922.4029085006127,184,1,20,10.15,1000.0,Turing Geometric
-999.0,2.022285435325216,186.02228543532522,184,1,20,10.15,1000.0,Huggins
-999.0,688.1578947368421,872.1578947368421,184,1,20,10.15,1000.0,Schnabel
-999.0,809.491309790983,993.491309790983,184,1,20,10.15,1000.0,Zelterman
-999.0,506.01096491228077,690.0109649122808,184,1,20,10.15,1000.0,Jackknife k = 4
-999.0,407.80511695906443,591.8051169590644,184,1,20,10.15,1000.0,Jackknife k = 3
-999.0,589.5921052631579,773.5921052631579,184,1,20,10.15,1000.0,Jackknife k = 5
-999.0,628.2528250807436,812.2528250807436,184,1,20,10.15,1000.0,Conway-Maxwell-Poisson
-999.0,779.9540419646797,963.9540419646797,184,1,20,10.15,1000.0,Turing
-999.0,292.60526315789474,476.60526315789474,184,1,20,10.15,1000.0,Jackknife k = 2
-999.0,157.7,341.7,184,1,20,10.15,1000.0,Jackknife k = 1
-999.0,810.4705882352941,994.4705882352941,184,1,20,10.15,1000.0,Chao
48.35670485297591,476.8731430802739,520.8731430802738,44,10,5,9.2,1000.0,Pseudolikelihood
-999.0,945.4997414683895,989.4997414683895,44,10,5,9.2,1000.0,Turing Geometric
-999.0,3.6314853321454237,47.631485332145424,44,10,5,9.2,1000.0,Huggins
-999.0,356.0,400.0,44,10,5,9.2,1000.0,Schnabel
-999.0,440.3491535705286,484.3491535705286,44,10,5,9.2,1000.0,Zelterman
-999.0,81.5,125.5,44,10,5,9.2,1000.0,Jackknife k = 4
-999.0,73.7,117.7,44,10,5,9.2,1000.0,Jackknife k = 3
-999.0,81.5,125.5,44,10,5,9.2,1000.0,Jackknife k = 5
-999.0,42.0,86.0,44,10,5,9.2,1000.0,Conway-Maxwell-Poisson
-999.0,365.3500504006307,409.3500504006307,44,10,5,9.2,1000.0,Turing
-999.0,57.89999999999999,101.89999999999999,44,10,5,9.2,1000.0,Jackknife k = 2
-999.0,33.599999999999994,77.6,44,10,5,9.2,1000.0,Jackknife k = 1
-999.0,441.0,485.0,44,10,5,9.2,1000.0,Chao
44.40243261943013,191.23631606937326,271.2363160693733,80,10,10,9.5,1000.0,Pseudolikelihood
-999.0,382.8831152733563,462.8831152733563,80,10,10,9.5,1000.0,Turing Geometric
-999.0,2.094158668367683,82.09415866836768,80,10,10,9.5,1000.0,Huggins
-999.0,154.26666666666668,234.26666666666668,80,10,10,9.5,1000.0,Schnabel
-999.0,136.3993875343625,216.3993875343625,80,10,10,9.5,1000.0,Zelterman
-999.0,145.83333333333334,225.83333333333334,80,10,10,9.5,1000.0,Jackknife k = 4
-999.0,127.83333333333334,207.83333333333334,80,10,10,9.5,1000.0,Jackknife k = 3
-999.0,156.66666666666669,236.66666666666669,80,10,10,9.5,1000.0,Jackknife k = 5
-999.0,65.0,145.0,80,10,10,9.5,1000.0,Conway-Maxwell-Poisson
-999.0,152.531248351808,232.531248351808,80,10,10,9.5,1000.0,Turing
