a_hat,Nu_hat,N_hat,No,trial,T,graph,N,type
1000.0,100000.0,100178.0,178,1,5,sbm_25,10000,Pseudolikelihood
-999.0,Inf,Inf,178,1,5,sbm_25,10000,Chao
-999.0,Inf,Inf,178,1,5,sbm_25,10000,Turing Geometric
-999.0,Inf,Inf,178,1,5,sbm_25,10000,Schnabel
-999.0,Inf,Inf,178,1,5,sbm_25,10000,Zelterman
-999.0,NaN,NaN,178,1,5,sbm_25,10000,Chao Lee Jeng 1
-999.0,NaN,NaN,178,1,5,sbm_25,10000,Chao Lee Jeng 0
-999.0,356.0,534.0,178,1,5,sbm_25,10000,Jackknife k = 4
-999.0,320.40000000000003,498.40000000000003,178,1,5,sbm_25,10000,Jackknife k = 3
-999.0,356.0,534.0,178,1,5,sbm_25,10000,Jackknife k = 5
-999.0,-1177,-999,178,1,5,sbm_25,10000,Conway-Maxwell-Poisson
-999.0,Inf,Inf,178,1,5,sbm_25,10000,Turing
-999.0,249.2,427.2,178,1,5,sbm_25,10000,Jackknife k = 2
-999.0,142.39999999999998,320.4,178,1,5,sbm_25,10000,Jackknife k = 1
-999.0,NaN,NaN,178,1,5,sbm_25,10000,Chao Lee Jeng 2
1000.0,100000.0,100300.0,300,1,10,sbm_25,10000,Pseudolikelihood
-999.0,Inf,Inf,300,1,10,sbm_25,10000,Chao
-999.0,Inf,Inf,300,1,10,sbm_25,10000,Turing Geometric
-999.0,Inf,Inf,300,1,10,sbm_25,10000,Schnabel
-999.0,Inf,Inf,300,1,10,sbm_25,10000,Zelterman
-999.0,NaN,NaN,300,1,10,sbm_25,10000,Chao Lee Jeng 1
-999.0,NaN,NaN,300,1,10,sbm_25,10000,Chao Lee Jeng 0
-999.0,900.0,1200.0,300,1,10,sbm_25,10000,Jackknife k = 4
-999.0,720.0,1020.0,300,1,10,sbm_25,10000,Jackknife k = 3
-999.0,1050.0,1350.0,300,1,10,sbm_25,10000,Jackknife k = 5
-999.0,-1299,-999,300,1,10,sbm_25,10000,Conway-Maxwell-Poisson
-999.0,Inf,Inf,300,1,10,sbm_25,10000,Turing
-999.0,510.0,810.0,300,1,10,sbm_25,10000,Jackknife k = 2
-999.0,270.0,570.0,300,1,10,sbm_25,10000,Jackknife k = 1
-999.0,NaN,NaN,300,1,10,sbm_25,10000,Chao Lee Jeng 2
1000.0,5610.0274252444815,6025.0274252444815,415,1,15,sbm_25,10000,Pseudolikelihood
-999.0,5333.333333333333,5748.333333333333,415,1,15,sbm_25,10000,Chao
-999.0,11270.41544108732,11685.41544108732,415,1,15,sbm_25,10000,Turing Geometric
-999.0,5179.466666666666,5594.466666666666,415,1,15,sbm_25,10000,Schnabel
-999.0,5328.42684020183,5743.42684020183,415,1,15,sbm_25,10000,Zelterman
-999.0,5136.77777777777,5551.77777777777,415,1,15,sbm_25,10000,Chao Lee Jeng 1
-999.0,5544.910361975349,5959.910361975349,415,1,15,sbm_25,10000,Chao Lee Jeng 0
-999.0,1271.5476190476193,1686.5476190476193,415,1,15,sbm_25,10000,Jackknife k = 4
-999.0,1006.5,1421.5,415,1,15,sbm_25,10000,Jackknife k = 3
-999.0,1505.357142857143,1920.357142857143,415,1,15,sbm_25,10000,Jackknife k = 5
-999.0,-1414,-999,415,1,15,sbm_25,10000,Conway-Maxwell-Poisson
-999.0,5150.956435009806,5565.956435009806,415,1,15,sbm_25,10000,Turing
-999.0,707.9285714285713,1122.9285714285713,415,1,15,sbm_25,10000,Jackknife k = 2
-999.0,373.33333333333326,788.3333333333333,415,1,15,sbm_25,10000,Jackknife k = 1
-999.0,5136.77777777777,5551.77777777777,415,1,15,sbm_25,10000,Chao Lee Jeng 2
249.6940949486842,7784.950380691869,8346.95038069187,562,1,20,sbm_25,10000,Pseudolikelihood
-999.0,8190.25,8752.25,562,1,20,sbm_25,10000,Chao
-999.0,15925.666330627097,16487.666330627097,562,1,20,sbm_25,10000,Turing Geometric
-999.0,7197.3,7759.3,562,1,20,sbm_25,10000,Schnabel
-999.0,8198.938078269268,8760.938078269268,562,1,20,sbm_25,10000,Zelterman
